,Edge,U,pval,adj_pvals
0,FLNA;ITGB1,299.0,0.23640263736681544,1.0
85,GRB2;ERBB3,173.0,0.11020066798188623,0.9166691927584173
86,GRB2;ERBB2,208.0,0.4073680799299285,1.0
87,GRB2;EGFR,254.5,0.8320997170868896,1.0
88,GRB2;NTRK2,228.0,0.6469561828790436,1.0
89,GRB2;SRC,343.5,0.020968755557951132,0.473366395655991
90,GRB2;SHC3,245.0,1.0,1.0
91,GRB2;JAK2,220.0,0.5064503481699495,1.0
92,GRB2;PIK3R1,278.0,0.4306123632147566,1.0
93,GRB2;NTRK1,256.0,0.7648552702176321,1.0
94,GRB2;SOS1,185.0,0.1785889732215773,1.0
95,GRB2;NCK1,165.0,0.07847216176591855,0.7762381407115186
96,NCK1;WASL,313.0,0.10870545198441545,0.9166691927584173
97,NCK1;WIPF3,357.0,0.003674240478538521,0.14941911279389986
98,NCK1;EGFR,273.0,0.540500461024072,1.0
99,NCK1;SOS1,179.5,0.15017778483119182,0.9642994604950211
100,NCK1;CDC42,124.0,0.007657137777843448,0.24766274354572562
101,SRC;PIK3R2,280.5,0.25141274797072954,1.0
102,SRC;KRAS,287.0,0.19215886411058847,1.0
103,SRC;PIK3R3,294.0,0.0777727586353708,0.7762381407115186
104,SRC;PIK3CA,294.0,0.0777727586353708,0.7762381407115186
105,SRC;ERBB3,293.0,0.2861589635346541,1.0
106,SRC;ERBB2,254.0,0.8476177394720286,1.0
107,SRC;EGFR,192.5,0.21214529468413046,1.0
108,SRC;NRAS,281.5,0.27546438080448354,1.0
109,SRC;PIK3CD,274.0,0.32711242125951023,1.0
110,SRC;SOS1,259.0,0.7602187476352184,1.0
111,SRC;SHC3,309.5,0.06828015656558081,0.7762381407115186
112,SRC;PIK3CG,266.5,0.445052620678952,1.0
113,SRC;HRAS,281.5,0.27546438080448354,1.0
114,SRC;PIK3CB,267.5,0.47095622029877093,1.0
115,SRC;AKT1,248.5,0.9275876175647932,1.0
116,SRC;ITGB1,141.0,0.02198696373265532,0.473366395655991
117,SRC;RHOA,243.0,0.9735174903707184,1.0
118,SRC;PIK3R1,253.5,0.7711055234318098,1.0
119,SRC;CDC42,94.0,0.000866074730533341,0.09800147693384934
120,ERBB2;PIK3R2,229.0,0.7285251901212046,1.0
121,ERBB2;KRAS,232.0,0.7795467873333453,1.0
122,ERBB2;PIK3R3,212.0,0.46067497597165974,1.0
123,ERBB2;PIK3CA,229.0,0.724955816074738,1.0
124,ERBB2;ERBB3,275.0,0.511457724983577,1.0
125,ERBB2;EGFR,242.5,0.9634334247178444,1.0
126,ERBB2;PIK3R1,213.0,0.47639153920727995,1.0
127,ERBB2;JAK2,169.0,0.07764723153918042,0.7762381407115186
128,ERBB2;SHC3,208.0,0.39363814331320246,1.0
129,ERBB2;PIK3CB,215.0,0.5077111543621295,1.0
130,EGFR;PIK3R2,276.0,0.47596166062262424,1.0
131,EGFR;KRAS,259.5,0.7415568547540528,1.0
132,EGFR;PIK3R3,272.0,0.5288687400014713,1.0
133,EGFR;PIK3CA,202.5,0.30276307163744776,1.0
134,EGFR;ERBB3,220.0,0.5796679760289077,1.0
135,EGFR;ITGB1,168.5,0.09256413799456477,0.8469618626502676
136,EGFR;NRAS,253.5,0.8505217271415072,1.0
137,EGFR;PIK3R1,184.5,0.1409722093641501,0.959715319897943
138,EGFR;CDC42,156.0,0.05013353116499134,0.73722966612849
139,EGFR;JAK2,247.0,0.9688275967474386,1.0
140,EGFR;SHC3,259.0,0.7078664763953273,1.0
141,EGFR;SOS1,257.0,0.7931277244352996,1.0
142,EGFR;HRAS,233.0,0.7895833507142582,1.0
143,EGFR;PIK3CB,246.0,0.9906765686654551,1.0
144,LUM;COL1A1,244.5,1.0,1.0
145,LUM;SPARC,286.0,0.37003357314639596,1.0
146,LUM;COL5A2,302.0,0.20779768085661998,1.0
147,LUM;FN1,296.0,0.2634803057076951,1.0
148,LUM;COL1A2,287.5,0.34411169553419374,1.0
149,LUM;COL3A1,255.5,0.8204271251455861,1.0
150,FN1;COL1A1,270.0,0.5865204882966638,1.0
151,FN1;SPARC,269.0,0.602966409689117,1.0
152,FN1;ITGA2,242.0,0.9558723913965098,1.0
153,FN1;COL1A2,273.5,0.5345933733150025,1.0
154,FN1;BGN,285.0,0.3805539359886323,1.0
155,FN1;ITGB1,223.0,0.6342000064839208,1.0
156,BGN;COL1A1,273.0,0.5204187920878869,1.0
157,CALM2;KCNQ4,357.5,0.01164048835400174,0.32772451827420285
158,CALM2;CALM3,314.0,0.12834554239966334,0.959715319897943
159,KCNQ5;KCNQ4,245.0,1.0,1.0
160,KCNQ5;KCNQ3,245.0,1.0,1.0
161,CALM3;KRAS,290.0,0.324700538688091,1.0
162,CALM3;KCNQ4,240.0,0.8611688499649433,1.0
163,CALM3;HRAS,230.0,0.748282889143565,1.0
164,CALM3;UNC13B,229.0,0.729668784807842,1.0
165,CALM3;KCNQ3,249.0,0.8987176072006785,1.0
166,CALM3;NRAS,279.0,0.4584511450523262,1.0
167,CALM3;UNC13A,243.0,0.9731310090690846,1.0
168,NTRK1;PIK3CA,273.0,0.19997815619594206,1.0
169,NTRK1;NTRK2,245.0,1.0,1.0
170,NTRK1;SHC3,245.0,1.0,1.0
171,NTRK1;PIK3R1,254.5,0.7045969415920056,1.0
172,NTRK2;SHC3,259.0,0.38352418558323176,1.0
173,RHOA;NGEF,216.0,0.5251702845053214,1.0
174,RHOA;CDC42,168.0,0.08998613751360354,0.8444852905122795
175,BMP4;GREM1,233.5,0.7540113519814549,1.0
176,BMP4;BMP2,262.0,0.6383323389548344,1.0
177,BMP2;RUNX2,231.5,0.7550997802629186,1.0
178,BMP2;GREM1,245.5,1.0,1.0
179,EPHA4;NGEF,305.0,0.1443142385949154,0.959715319897943
180,EPHA1;NGEF,299.0,0.14684168829039565,0.959715319897943
181,EPHB2;NGEF,297.0,0.17147777121883234,1.0
182,ITGB1;COL1A1,217.5,0.5501327291899903,1.0
183,ITGB1;PIK3CA,149.0,0.034554375050064486,0.5806866305019215
184,ITGB1;ITGA2,208.0,0.4192093700919509,1.0
185,ITGB1;COL1A2,226.5,0.6903543993810343,1.0
186,ITGB1;PIK3R1,150.0,0.036491236343016924,0.5806866305019215
187,WASL;CDC42,247.0,0.9735174903707184,1.0
188,WASL;WIPF3,349.0,0.007008622247761863,0.24766274354572562
189,AKT1;PIK3R2,216.0,0.4033018652138529,1.0
190,AKT1;PIK3R3,230.0,0.6486121683253263,1.0
191,AKT1;PIK3CA,249.5,0.9035533140367331,1.0
192,AKT1;PDPK1,210.5,0.30302035080014056,1.0
193,AKT1;PIK3CD,209.5,0.2890211321208418,1.0
194,AKT1;AKT2,210.5,0.3327696316912838,1.0
195,AKT1;PIK3CG,242.0,0.9373767023732311,1.0
196,AKT1;PIK3R1,236.5,0.8085107126068674,1.0
197,AKT1;AKT3,210.5,0.3327696316912838,1.0
198,AKT1;CDC42,113.0,0.0036111624910533484,0.14941911279389986
199,AKT1;PIK3CB,209.5,0.2890211321208418,1.0
200,NRAS;PIK3CA,280.5,0.25141274797072954,1.0
201,NRAS;PIK3R1,280.5,0.25141274797072954,1.0
202,NRAS;SOS1,246.0,0.9910421644241061,1.0
203,NRAS;PIK3CG,279.5,0.2652125201156572,1.0
204,NRAS;PIK3CD,280.5,0.25141274797072954,1.0
205,KRAS;PIK3R3,294.0,0.0777727586353708,0.7762381407115186
206,KRAS;PIK3CG,266.5,0.445052620678952,1.0
207,KRAS;PIK3CD,273.0,0.34437171698093194,1.0
208,KRAS;HRAS,203.5,0.21422466390081119,1.0
209,KRAS;PIK3R1,274.0,0.32711242125951023,1.0
210,KRAS;SOS1,282.5,0.4045939895034414,1.0
211,KRAS;PIK3CA,273.0,0.34437171698093194,1.0
212,KRAS;PIK3CB,287.0,0.19215886411058847,1.0
213,HRAS;PIK3CA,286.0,0.20309178757716784,1.0
214,HRAS;PIK3CD,266.5,0.4913552959460379,1.0
215,HRAS;SOS1,246.0,0.9910421644241061,1.0
216,HRAS;PIK3CB,273.0,0.3874551722971866,1.0
217,HRAS;PIK3CG,266.5,0.4913552959460379,1.0
218,HRAS;PIK3R1,275.0,0.35387692248829394,1.0
219,SOS1;RRAS,140.5,0.01986708351302195,0.473366395655991
220,SOS1;SHC3,215.0,0.490545286505638,1.0
221,RRAS;PIK3CA,243.0,0.96240128706151,1.0
222,RRAS;PIK3CG,230.0,0.6180827795299229,1.0
223,RRAS;PIK3CD,230.0,0.6180827795299229,1.0
224,CDC42;PIK3R2,100.0,0.0013839499293708652,0.09800147693384934
225,CDC42;PIK3CA,101.0,0.0014940006222484968,0.09800147693384934
226,CDC42;NGEF,341.0,0.03324322441054631,0.5806866305019215
227,CDC42;PIK3CD,104.0,0.0018743451872594136,0.09800147693384934
228,CDC42;PIK3R1,98.0,0.001185939615237956,0.09800147693384934
229,CDC42;PIK3CB,102.0,0.0016120642797956743,0.09800147693384934
230,AKT3;PIK3R2,230.0,0.6486121683253263,1.0
231,AKT3;PIK3R3,216.0,0.32711242125951023,1.0
232,AKT3;PIK3CA,269.0,0.4601901663892959,1.0
233,AKT3;PIK3CD,249.5,0.8957143106396647,1.0
234,AKT3;AKT2,189.5,0.0956853695724392,0.8541669576466524
235,AKT3;PIK3CG,232.5,0.6625511148335637,1.0
236,AKT3;PIK3R1,256.0,0.7414126830400161,1.0
237,AKT3;PIK3CB,243.0,0.96240128706151,1.0
238,AKT2;PIK3R2,230.0,0.6486121683253263,1.0
239,AKT2;PIK3R3,209.5,0.25141274797072954,1.0
240,AKT2;PIK3CA,243.0,0.96240128706151,1.0
241,AKT2;PDPK1,196.5,0.14592231620208812,0.959715319897943
242,AKT2;PIK3CD,236.5,0.7932025506832955,1.0
243,AKT2;PIK3R1,243.0,0.96240128706151,1.0
244,AKT2;PIK3CB,230.0,0.6486121683253263,1.0
245,AKT2;PIK3CG,209.5,0.25141274797072954,1.0
246,AIM2;NLRP2,223.5,0.445052620678952,1.0
247,AIM2;NLRC4,240.0,0.8338872904063295,1.0
248,AIM2;CASP1,233.0,0.749568418309843,1.0
249,AIM2;NLRP1,179.5,0.06407750645105952,0.7762381407115186
250,NLRC4;NLRP1,203.0,0.19215886411058847,1.0
251,NLRC4;CASP1,252.0,0.8131378789561,1.0
252,NLRC4;NLRP2,248.5,0.8730673866017802,1.0
253,CASP1;IL1A,255.0,0.8077961872614505,1.0
254,CASP1;NLRP2,225.0,0.5399914786295594,1.0
255,CASP1;NLRP1,273.0,0.4452698027819487,1.0
256,NLRP1;NLRP2,209.5,0.25141274797072954,1.0
257,THPO;CSF3,245.0,1.0,1.0
258,THPO;EPO,245.0,1.0,1.0
259,THPO;IL3,245.0,1.0,1.0
260,THPO;FLT3LG,245.0,1.0,1.0
261,EPO;CSF3,245.0,1.0,1.0
262,EPO;JAK2,245.0,1.0,1.0
263,EPO;IL3,245.0,1.0,1.0
264,JAK2;CSF3,245.0,1.0,1.0
265,JAK2;PIK3CA,277.0,0.3556366472862107,1.0
266,JAK2;ERBB3,238.5,0.8892707963805139,1.0
267,JAK2;IL3,245.0,1.0,1.0
268,JAK2;LEP,245.0,1.0,1.0
269,JAK2;CSF3R,245.0,1.0,1.0
270,JAK2;PIK3R1,285.0,0.26049264024631835,1.0
271,FLT3LG;CSF3,245.0,1.0,1.0
272,FLT3LG;IL3,245.0,1.0,1.0
273,PIK3R2;PIK3R3,259.0,0.38352418558323176,1.0
274,PIK3R2;PIK3R1,266.0,0.2749574355069564,1.0
275,PIK3R2;PIK3R5,252.0,0.5570155791476338,1.0
276,PIK3R2;PIK3CB,245.0,1.0,1.0
277,PIK3R2;PIK3CD,252.0,0.7292268137953286,1.0
278,PIK3R2;PIK3CA,259.0,0.5292470190010741,1.0
279,PIK3R2;PIK3CG,252.0,0.5570155791476338,1.0
280,PIK3R2;ERBB3,268.0,0.6152143866899109,1.0
281,PIK3R3;PIK3R5,245.0,1.0,1.0
282,PIK3R3;PIK3CA,245.0,1.0,1.0
283,PIK3R3;PIK3CG,245.0,1.0,1.0
284,PIK3R3;PIK3CD,245.0,1.0,1.0
285,PIK3R3;ERBB3,277.5,0.47102210624059804,1.0
286,PIK3R3;PIK3CB,259.0,0.38352418558323176,1.0
287,PIK3R3;PIK3R6,245.0,1.0,1.0
288,PIK3R3;PIK3R1,252.0,0.5570155791476338,1.0
289,PIK3R1;PIK3CA,238.0,0.5570155791476338,1.0
290,PIK3R1;ERBB3,282.0,0.41245164325187056,1.0
291,PIK3R1;PDPK1,275.5,0.32556890113674264,1.0
292,PIK3R1;PIK3CD,266.0,0.2749574355069564,1.0
293,PIK3R1;PIK3R5,252.0,0.5570155791476338,1.0
294,PIK3R1;PIK3CG,252.0,0.5570155791476338,1.0
295,PIK3R1;PIK3CB,259.0,0.5292470190010741,1.0
296,PIK3R5;PIK3CA,245.0,1.0,1.0
297,PIK3R5;PIK3CD,245.0,1.0,1.0
298,PIK3R5;PIK3R6,245.0,1.0,1.0
299,PIK3R5;PIK3CB,259.0,0.38352418558323176,1.0
300,PIK3R5;PIK3CG,245.0,1.0,1.0
301,PIK3CB;PIK3CA,259.0,0.5292470190010741,1.0
302,PIK3CB;ERBB3,272.0,0.5538483980990545,1.0
303,PIK3CB;PDPK1,256.0,0.7414126830400161,1.0
304,PIK3CB;PIK3CD,252.0,0.7292268137953286,1.0
305,PIK3CB;PIK3CG,252.0,0.5570155791476338,1.0
306,PIK3CD;RRAS2,236.5,0.7932025506832955,1.0
307,PIK3CD;PIK3CA,266.0,0.2749574355069564,1.0
308,PIK3CD;ERBB3,286.0,0.3644557578610318,1.0
309,PIK3CD;PIK3CG,245.0,1.0,1.0
310,PIK3CA;RRAS2,249.5,0.8957143106396647,1.0
311,PIK3CA;PDPK1,275.5,0.32556890113674264,1.0
312,PIK3CA;PIK3CG,245.0,1.0,1.0
313,PIK3CA;ERBB3,271.0,0.566923612657294,1.0
314,PIK3CG;RRAS2,230.0,0.6180827795299229,1.0
315,PIK3CG;PPP1R12C,207.5,0.22533510490906328,1.0
316,PIK3CG;PDPK1,268.0,0.43914244229259214,1.0
317,PIK3CG;IMMT,203.0,0.19215886411058847,1.0
318,PIK3CG;PIK3R6,245.0,1.0,1.0
319,ERBB3;SHC3,242.0,0.9537396770810563,1.0
320,RAB3A;RIMS1,219.0,0.35375179930460243,1.0
321,RIMS1;RIMBP2,245.0,1.0,1.0
322,RIMS1;ERC2,245.0,1.0,1.0
323,RIMS1;ERC1,235.0,0.7439334495882117,1.0
324,RIMS1;UNC13A,217.0,0.14305775335306667,0.959715319897943
325,RIMS1;UNC13B,229.0,0.5940657852165181,1.0
326,ITGA2;COL1A1,220.5,0.5887745208965034,1.0
327,ITGA2;COL1A2,241.0,0.9366759111653189,1.0
328,ITGA2;COL3A1,196.0,0.2634826900816396,1.0
329,UNC13B;ERC1,234.0,0.7180747774966341,1.0
330,COL1A2;COL1A1,267.0,0.6059444759997952,1.0
331,COL1A2;SPARC,272.5,0.5500411294870964,1.0
332,COL1A2;COL6A3,326.0,0.061767387428883845,0.7762381407115186
333,COL1A2;COL5A1,283.0,0.3872662643791681,1.0
334,COL1A2;COL5A2,307.5,0.14415022024847562,0.959715319897943
335,COL1A2;CRTAP,227.5,0.7067367961324488,1.0
336,COL1A2;COL11A1,292.0,0.26915757079648384,1.0
337,COL1A2;COL3A1,298.0,0.20778297601532814,1.0
338,COL3A1;COL1A1,235.0,0.8133391583281728,1.0
339,COL3A1;COL6A3,286.5,0.31442045879321834,1.0
340,COL3A1;COL5A1,248.0,0.9521675769639003,1.0
341,COL3A1;COL5A2,291.5,0.2785406410739596,1.0
342,COL3A1;COL11A1,290.0,0.27489155634672846,1.0
343,CSF3;CXCL1,238.0,0.5570155791476338,1.0
344,CSF3;LEP,245.0,1.0,1.0
345,CSF3;IL3,245.0,1.0,1.0
346,CSF3;IL1A,245.0,1.0,1.0
347,CSF3;CSF3R,245.0,1.0,1.0
348,CXCL1;IL1A,252.0,0.5570155791476338,1.0
349,IL3;IL1A,245.0,1.0,1.0
350,COL1A1;COL6A2,264.5,0.6718595811848164,1.0
351,COL1A1;CRTAP,219.5,0.5800597468328785,1.0
352,COL1A1;COL5A2,291.5,0.2785406410739596,1.0
353,COL1A1;COL5A1,248.0,0.9534082926134482,1.0
354,COL1A1;COL6A3,289.0,0.30126986990330196,1.0
355,COL1A1;COL6A1,280.0,0.44473993881695306,1.0
356,COL1A1;COL11A1,276.0,0.4642802295931019,1.0
357,COL1A1;RUNX2,230.0,0.746906824867781,1.0
358,COL1A1;SPARC,278.5,0.4650721581371887,1.0
359,COL6A2;COL6A3,164.0,0.07269919138741511,0.7762381407115186
360,COL6A2;COL6A1,249.0,0.9382421508934135,1.0
361,COL5A2;COL11A1,272.0,0.5288687400014713,1.0
362,COL5A2;COL5A1,225.0,0.6530100478700513,1.0
363,COL6A3;COL6A1,227.0,0.6983889811073862,1.0
364,KCNQ4;KCNE4,292.0,0.030227807155613382,0.5806866305019215
365,KCNQ4;KCNQ3,245.0,1.0,1.0
