drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,predicted_class,predicted_prob,true_class
Atezo,BLCA,KIRC,full_graph,edge,0.1,84,178,0,0.0646544080307015,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,85,178,0,0.45527435252554516,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,86,178,1,0.8144185108151687,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,87,178,0,0.47659520186313475,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,88,178,1,0.9943864189807587,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,89,178,1,0.9969529392055558,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,90,178,1,0.5456637508666102,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,91,178,1,0.9663064737422228,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,92,178,0,0.022978519271766414,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,93,178,0,0.014846441200495377,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,94,178,1,0.9496315260220843,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,95,178,0,0.00874160687616142,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,96,178,1,0.6650349821755993,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,97,178,0,0.00023481964626685193,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,98,178,1,0.700561407941251,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,99,178,0,0.060309807420174846,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,100,178,0,0.02988855392417735,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,101,178,0,0.02245562477973856,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,102,178,0,0.004201507929818859,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,103,178,0,0.3754232720025539,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,104,178,0,0.14234883669801637,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,105,178,1,0.6554975964657422,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,106,178,0,0.1190363804980967,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,107,178,0,0.04899192545600194,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,108,178,0,0.2823699469198238,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,109,178,0,0.0845598654491655,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,110,178,0,0.011677430858500556,0
