,Patient,Gene1,Gene2,Edge,Curvature,Response
40529,NCIH358_LUNG,PLK1,CENPE,PLK1;CENPE,0.27,1
40530,NCIH358_LUNG,PLK1,BRCA1,PLK1;BRCA1,-0.06,1
40531,NCIH358_LUNG,PLK1,UBE2C,PLK1;UBE2C,0.33,1
40532,NCIH358_LUNG,PLK1,CDK1,PLK1;CDK1,0.19,1
40533,NCIH358_LUNG,PLK1,TP53BP1,PLK1;TP53BP1,-0.15,1
40534,NCIH358_LUNG,RRP12,CEBPZ,RRP12;CEBPZ,-0.81,1
40535,NCIH358_LUNG,RRP12,RPS6,RRP12;RPS6,-1.93,1
40536,NCIH358_LUNG,EBP,NSDHL,EBP;NSDHL,0.39,1
40537,NCIH358_LUNG,NCK2,ILK,NCK2;ILK,-2.71,1
40538,NCIH358_LUNG,NCK2,WIPF2,NCK2;WIPF2,-1.93,1
40539,NCIH358_LUNG,CDK1,AURKA,CDK1;AURKA,0.26,1
40540,NCIH358_LUNG,CDK1,GMNN,CDK1;GMNN,-0.05,1
40541,NCIH358_LUNG,CDK1,CDK7,CDK1;CDK7,-0.3,1
40542,NCIH358_LUNG,CDK1,CENPE,CDK1;CENPE,0.09,1
40543,NCIH358_LUNG,CDK1,MELK,CDK1;MELK,0.12,1
40544,NCIH358_LUNG,CDK1,UBE2C,CDK1;UBE2C,0.24,1
40545,NCIH358_LUNG,CDK1,CDKN1A,CDK1;CDKN1A,-0.17,1
40546,NCIH358_LUNG,CDK1,BRCA1,CDK1;BRCA1,-0.02,1
40547,NCIH358_LUNG,CRK,PXN,CRK;PXN,-0.26,1
40548,NCIH358_LUNG,CRK,CRKL,CRK;CRKL,0.44,1
40549,NCIH358_LUNG,CRK,SHC1,CRK;SHC1,-0.03,1
40550,NCIH358_LUNG,CRK,SRC,CRK;SRC,-0.47,1
40551,NCIH358_LUNG,BRCA1,AURKA,BRCA1;AURKA,-0.41,1
40552,NCIH358_LUNG,BRCA1,RPA1,BRCA1;RPA1,-0.47,1
40553,NCIH358_LUNG,BRCA1,TOPBP1,BRCA1;TOPBP1,-0.44,1
40554,NCIH358_LUNG,BRCA1,UBE2C,BRCA1;UBE2C,-0.46,1
40555,NCIH358_LUNG,BRCA1,RPA2,BRCA1;RPA2,-0.4,1
40556,NCIH358_LUNG,BRCA1,TP53BP1,BRCA1;TP53BP1,-0.22,1
40557,NCIH358_LUNG,HK1,PFKL,HK1;PFKL,-1.13,1
40558,NCIH358_LUNG,HK1,GAA,HK1;GAA,-0.82,1
40559,NCIH358_LUNG,HK1,GNPDA1,HK1;GNPDA1,-1.12,1
40560,NCIH358_LUNG,RHOA,PXN,RHOA;PXN,0.28,1
40561,NCIH358_LUNG,RHOA,ARHGAP1,RHOA;ARHGAP1,0.3,1
40562,NCIH358_LUNG,RHOA,ARHGEF2,RHOA;ARHGEF2,0.21,1
40563,NCIH358_LUNG,RHOA,SRC,RHOA;SRC,0.0,1
40564,NCIH358_LUNG,PGRMC1,TMEM97,PGRMC1;TMEM97,0.54,1
40565,NCIH358_LUNG,MAPKAPK2,CREB1,MAPKAPK2;CREB1,-0.36,1
40566,NCIH358_LUNG,MAPKAPK2,MAPKAPK3,MAPKAPK2;MAPKAPK3,0.19,1
40567,NCIH358_LUNG,MRPS2,RPS6,MRPS2;RPS6,-0.64,1
40568,NCIH358_LUNG,PMAIP1,BID,PMAIP1;BID,-0.56,1
40569,NCIH358_LUNG,TOPBP1,RPA1,TOPBP1;RPA1,0.17,1
40570,NCIH358_LUNG,TOPBP1,TP53BP1,TOPBP1;TP53BP1,0.03,1
40571,NCIH358_LUNG,EIF4G1,RPS6,EIF4G1;RPS6,0.26,1
40572,NCIH358_LUNG,CENPE,AURKA,CENPE;AURKA,0.08,1
40573,NCIH358_LUNG,CENPE,MELK,CENPE;MELK,0.15,1
40574,NCIH358_LUNG,NUP133,NUP93,NUP133;NUP93,0.45,1
40575,NCIH358_LUNG,NUP133,NUP88,NUP133;NUP88,0.45,1
40576,NCIH358_LUNG,SHC1,CSK,SHC1;CSK,0.24,1
40577,NCIH358_LUNG,SHC1,PTPN12,SHC1;PTPN12,0.25,1
40578,NCIH358_LUNG,SHC1,PXN,SHC1;PXN,0.13,1
40579,NCIH358_LUNG,SHC1,CRKL,SHC1;CRKL,0.02,1
40580,NCIH358_LUNG,SHC1,SRC,SHC1;SRC,-0.43,1
40581,NCIH358_LUNG,PSME2,PSME1,PSME2;PSME1,0.85,1
40582,NCIH358_LUNG,IKBKB,SRC,IKBKB;SRC,-0.4,1
40583,NCIH358_LUNG,IKBKB,SQSTM1,IKBKB;SQSTM1,-0.46,1
40584,NCIH358_LUNG,HMGCS1,NSDHL,HMGCS1;NSDHL,-0.23,1
40585,NCIH358_LUNG,CASP2,BID,CASP2;BID,-0.85,1
40586,NCIH358_LUNG,AURKA,UBE2C,AURKA;UBE2C,0.44,1
40587,NCIH358_LUNG,AURKA,MELK,AURKA;MELK,0.37,1
40588,NCIH358_LUNG,GTF2E2,CDK7,GTF2E2;CDK7,0.17,1
40589,NCIH358_LUNG,GTF2E2,MNAT1,GTF2E2;MNAT1,0.38,1
40590,NCIH358_LUNG,HADH,HSD17B10,HADH;HSD17B10,-0.77,1
40591,NCIH358_LUNG,HADH,ECH1,HADH;ECH1,0.2,1
40592,NCIH358_LUNG,CTSD,BID,CTSD;BID,0.41,1
40593,NCIH358_LUNG,RPA2,RPA1,RPA2;RPA1,0.41,1
40594,NCIH358_LUNG,RPA2,TP53BP1,RPA2;TP53BP1,0.32,1
40595,NCIH358_LUNG,ILK,PXN,ILK;PXN,0.01,1
40596,NCIH358_LUNG,XBP1,HYOU1,XBP1;HYOU1,0.12,1
40597,NCIH358_LUNG,XBP1,TBPL1,XBP1;TBPL1,-0.38,1
40598,NCIH358_LUNG,CRKL,PXN,CRKL;PXN,-0.11,1
40599,NCIH358_LUNG,CRKL,SRC,CRKL;SRC,-0.46,1
40600,NCIH358_LUNG,PTPN12,PXN,PTPN12;PXN,0.04,1
40601,NCIH358_LUNG,CDK7,MNAT1,CDK7;MNAT1,0.17,1
40602,NCIH358_LUNG,NUP93,NUP88,NUP93;NUP88,0.61,1
40603,NCIH358_LUNG,PXN,CSK,PXN;CSK,0.32,1
40604,NCIH358_LUNG,PXN,SRC,PXN;SRC,0.08,1
40605,NCIH358_LUNG,SRC,CSK,SRC;CSK,-0.83,1
40606,NCIH358_LUNG,RPA1,TP53BP1,RPA1;TP53BP1,0.06,1
40607,NCIH358_LUNG,UBE2C,MELK,UBE2C;MELK,0.51,1
40608,NCIH441_LUNG,EED,SUZ12,EED;SUZ12,0.5,0
40609,NCIH441_LUNG,EED,EZH2,EED;EZH2,0.07,0
40610,NCIH441_LUNG,EED,MTF2,EED;MTF2,0.44,0
40611,NCIH441_LUNG,EED,HDAC2,EED;HDAC2,0.06,0
40612,NCIH441_LUNG,EED,DNMT1,EED;DNMT1,-0.09,0
40613,NCIH441_LUNG,HSPA4,FKBP4,HSPA4;FKBP4,-0.24,0
40614,NCIH441_LUNG,HSPA4,STUB1,HSPA4;STUB1,-0.23,0
40615,NCIH441_LUNG,HSPA4,HSPB1,HSPA4;HSPB1,-0.47,0
40616,NCIH441_LUNG,HSPA4,DNAJB1,HSPA4;DNAJB1,-0.19,0
40617,NCIH441_LUNG,HSPA4,DNAJB6,HSPA4;DNAJB6,-0.22,0
40618,NCIH441_LUNG,HSPA4,DNAJA3,HSPA4;DNAJA3,-0.29,0
40619,NCIH441_LUNG,HSPA4,ERBB2,HSPA4;ERBB2,-0.69,0
40620,NCIH441_LUNG,HSPA4,TJP1,HSPA4;TJP1,-0.94,0
40621,NCIH441_LUNG,HSPA4,EIF4G1,HSPA4;EIF4G1,-1.06,0
40622,NCIH441_LUNG,HSPA4,HSPA8,HSPA4;HSPA8,-0.03,0
40623,NCIH441_LUNG,HSPA4,AKT1,HSPA4;AKT1,-0.65,0
40624,NCIH441_LUNG,HSPA4,UBQLN2,HSPA4;UBQLN2,-0.58,0
40625,NCIH441_LUNG,HSPA4,SRC,HSPA4;SRC,-0.81,0
40626,NCIH441_LUNG,HSPA4,CYCS,HSPA4;CYCS,-0.75,0
40627,NCIH441_LUNG,HSPA4,HIF1A,HSPA4;HIF1A,-0.66,0
40628,NCIH441_LUNG,HSPA4,DNAJB2,HSPA4;DNAJB2,-0.22,0
40629,NCIH441_LUNG,HSPA4,HDAC6,HSPA4;HDAC6,-1.12,0
40630,NCIH441_LUNG,HSPA4,HSPD1,HSPA4;HSPD1,-0.54,0
40631,NCIH441_LUNG,HSPA4,BECN1,HSPA4;BECN1,-0.54,0
40632,NCIH441_LUNG,HSPA4,HSPA1A,HSPA4;HSPA1A,-0.14,0
40633,NCIH441_LUNG,HSPA4,GAPDH,HSPA4;GAPDH,-1.09,0
40634,NCIH441_LUNG,HSPA4,CASP3,HSPA4;CASP3,-0.49,0
40635,NCIH441_LUNG,HSPA4,BAG3,HSPA4;BAG3,-0.16,0
40636,NCIH441_LUNG,MTA1,HDAC2,MTA1;HDAC2,-0.07,0
40637,NCIH441_LUNG,POLE2,POLG2,POLE2;POLG2,-0.22,0
40638,NCIH441_LUNG,POLE2,MCM3,POLE2;MCM3,-0.08,0
40639,NCIH441_LUNG,POLE2,CDC45,POLE2;CDC45,-0.26,0
40640,NCIH441_LUNG,POLE2,ORC1,POLE2;ORC1,0.06,0
40641,NCIH441_LUNG,POLE2,TIMELESS,POLE2;TIMELESS,-0.06,0
40642,NCIH441_LUNG,RALB,RALA,RALB;RALA,0.45,0
40643,NCIH441_LUNG,RALB,MAPK9,RALB;MAPK9,0.21,0
40644,NCIH441_LUNG,RALB,RHOA,RALB;RHOA,0.08,0
40645,NCIH441_LUNG,RALB,RALGDS,RALB;RALGDS,0.52,0
40646,NCIH441_LUNG,ZFP36,FOS,ZFP36;FOS,-0.1,0
40647,NCIH441_LUNG,ZFP36,MAPKAPK2,ZFP36;MAPKAPK2,-0.11,0
40648,NCIH441_LUNG,CASP3,HSPB1,CASP3;HSPB1,-0.65,0
40649,NCIH441_LUNG,CASP3,PARP2,CASP3;PARP2,-0.42,0
40650,NCIH441_LUNG,CASP3,PAK1,CASP3;PAK1,-0.69,0
40651,NCIH441_LUNG,CASP3,APP,CASP3;APP,-1.33,0
40652,NCIH441_LUNG,CASP3,BAX,CASP3;BAX,-0.89,0
40653,NCIH441_LUNG,CASP3,BIRC5,CASP3;BIRC5,-0.86,0
40654,NCIH441_LUNG,CASP3,CYCS,CASP3;CYCS,-0.56,0
40655,NCIH441_LUNG,CASP3,CASP2,CASP3;CASP2,-0.36,0
40656,NCIH441_LUNG,CASP3,BIRC2,CASP3;BIRC2,-0.06,0
40657,NCIH441_LUNG,CASP3,CDKN1A,CASP3;CDKN1A,-0.59,0
40658,NCIH441_LUNG,CASP3,PRKCD,CASP3;PRKCD,-0.6,0
40659,NCIH441_LUNG,CASP3,GAPDH,CASP3;GAPDH,-0.9,0
40660,NCIH441_LUNG,CASP3,BECN1,CASP3;BECN1,-0.43,0
40661,NCIH441_LUNG,CASP3,CASP7,CASP3;CASP7,-0.15,0
40662,NCIH441_LUNG,CASP3,PARP1,CASP3;PARP1,-0.63,0
40663,NCIH441_LUNG,CASP3,MYC,CASP3;MYC,-0.64,0
40664,NCIH441_LUNG,CASP3,CFLAR,CASP3;CFLAR,-0.69,0
40665,NCIH441_LUNG,CASP3,DFFA,CASP3;DFFA,0.05,0
40666,NCIH441_LUNG,CASP3,TJP1,CASP3;TJP1,-0.92,0
40667,NCIH441_LUNG,CASP3,AKT1,CASP3;AKT1,-0.55,0
40668,NCIH441_LUNG,CASP3,CDK1,CASP3;CDK1,-0.84,0
40669,NCIH441_LUNG,CASP3,SPTAN1,CASP3;SPTAN1,-1.09,0
40670,NCIH441_LUNG,CAST,CAPN1,CAST;CAPN1,0.29,0
40671,NCIH441_LUNG,MCM3,GMNN,MCM3;GMNN,0.28,0
40672,NCIH441_LUNG,MCM3,RPA1,MCM3;RPA1,0.36,0
40673,NCIH441_LUNG,MCM3,TOPBP1,MCM3;TOPBP1,0.39,0
40674,NCIH441_LUNG,MCM3,CDK2,MCM3;CDK2,0.2,0
40675,NCIH441_LUNG,MCM3,ORC1,MCM3;ORC1,0.36,0
40676,NCIH441_LUNG,MCM3,RPA2,MCM3;RPA2,0.36,0
40677,NCIH441_LUNG,MCM3,PCNA,MCM3;PCNA,0.2,0
40678,NCIH441_LUNG,MCM3,CHEK1,MCM3;CHEK1,0.29,0
40679,NCIH441_LUNG,MCM3,CDC45,MCM3;CDC45,0.24,0
40680,NCIH441_LUNG,MCM3,RFC5,MCM3;RFC5,0.31,0
40681,NCIH441_LUNG,MCM3,TIMELESS,MCM3;TIMELESS,0.32,0
40682,NCIH441_LUNG,MCM3,CCNA2,MCM3;CCNA2,0.16,0
40683,NCIH441_LUNG,TEX10,RUVBL1,TEX10;RUVBL1,-0.6,0
40684,NCIH441_LUNG,MYCBP2,SKP1,MYCBP2;SKP1,-0.85,0
40685,NCIH441_LUNG,MYCBP2,MYC,MYCBP2;MYC,-0.94,0
40686,NCIH441_LUNG,MYCBP2,LRPAP1,MYCBP2;LRPAP1,-0.88,0
40687,NCIH441_LUNG,PLCB3,GNA11,PLCB3;GNA11,0.33,0
40688,NCIH441_LUNG,PLCB3,GNAI2,PLCB3;GNAI2,-0.12,0
40689,NCIH441_LUNG,PLCB3,PRKCD,PLCB3;PRKCD,-0.2,0
40690,NCIH441_LUNG,PIK3R4,PIK3C3,PIK3R4;PIK3C3,-0.09,0
40691,NCIH441_LUNG,PIK3R4,ATG3,PIK3R4;ATG3,0.12,0
40692,NCIH441_LUNG,PIK3R4,BECN1,PIK3R4;BECN1,-0.11,0
40693,NCIH441_LUNG,RRAGA,NPRL2,RRAGA;NPRL2,0.5,0
40694,NCIH441_LUNG,RRAGA,RHEB,RRAGA;RHEB,-1.42,0
40695,NCIH441_LUNG,GNB5,CDK7,GNB5;CDK7,-0.44,0
40696,NCIH441_LUNG,GNB5,MNAT1,GNB5;MNAT1,-0.22,0
40697,NCIH441_LUNG,GNB5,CCNH,GNB5;CCNH,-0.38,0
40698,NCIH441_LUNG,GNB5,PCNA,GNB5;PCNA,-0.98,0
40699,NCIH441_LUNG,GNB5,GNAI2,GNB5;GNAI2,-0.63,0
40700,NCIH441_LUNG,GNB5,GNAS,GNB5;GNAS,-1.64,0
40701,NCIH441_LUNG,CALM3,PIK3C3,CALM3;PIK3C3,0.16,0
40702,NCIH441_LUNG,CALM3,IQGAP1,CALM3;IQGAP1,0.21,0
40703,NCIH441_LUNG,CALM3,PHKB,CALM3;PHKB,0.01,0
40704,NCIH441_LUNG,CALM3,PHKG2,CALM3;PHKG2,0.01,0
40705,NCIH441_LUNG,CALM3,CREB1,CALM3;CREB1,0.1,0
40706,NCIH441_LUNG,CALM3,SRC,CALM3;SRC,0.04,0
40707,NCIH441_LUNG,CALM3,SPTAN1,CALM3;SPTAN1,0.08,0
40708,NCIH441_LUNG,CALM3,NRAS,CALM3;NRAS,0.11,0
40709,NCIH441_LUNG,CALM3,CCP110,CALM3;CCP110,0.21,0
40710,NCIH441_LUNG,CALM3,PRKACA,CALM3;PRKACA,0.13,0
40711,NCIH441_LUNG,PMM2,HK1,PMM2;HK1,-0.66,0
40712,NCIH441_LUNG,PNKP,POLB,PNKP;POLB,-0.11,0
40713,NCIH441_LUNG,PIH1D1,RUVBL1,PIH1D1;RUVBL1,0.22,0
40714,NCIH441_LUNG,PARP1,PARP2,PARP1;PARP2,0.06,0
40715,NCIH441_LUNG,PARP1,DDB2,PARP1;DDB2,0.02,0
40716,NCIH441_LUNG,PARP1,POLB,PARP1;POLB,-0.02,0
40717,NCIH441_LUNG,PARP1,CYCS,PARP1;CYCS,-0.35,0
40718,NCIH441_LUNG,PARP1,SMAD3,PARP1;SMAD3,0.06,0
40719,NCIH441_LUNG,PARP1,DNMT1,PARP1;DNMT1,-0.04,0
40720,NCIH441_LUNG,PARP1,TIMELESS,PARP1;TIMELESS,0.01,0
40721,NCIH441_LUNG,PARP1,TP53BP1,PARP1;TP53BP1,0.12,0
40722,NCIH441_LUNG,PARP1,HDAC2,PARP1;HDAC2,-0.04,0
40723,NCIH441_LUNG,PARP1,CDKN1A,PARP1;CDKN1A,0.05,0
40724,NCIH441_LUNG,PARP1,BRCA1,PARP1;BRCA1,0.11,0
40725,NCIH441_LUNG,PARP1,CHEK1,PARP1;CHEK1,0.03,0
40726,NCIH441_LUNG,PARP1,CASP7,PARP1;CASP7,0.04,0
40727,NCIH441_LUNG,PARP1,TIPARP,PARP1;TIPARP,0.08,0
40728,NCIH441_LUNG,PARP1,PCNA,PARP1;PCNA,0.06,0
40729,NCIH441_LUNG,PARP1,RPA2,PARP1;RPA2,0.07,0
40730,NCIH441_LUNG,NFE2L2,JUN,NFE2L2;JUN,0.11,0
40731,NCIH441_LUNG,NFE2L2,SQSTM1,NFE2L2;SQSTM1,0.06,0
40732,NCIH441_LUNG,NFE2L2,AKT1,NFE2L2;AKT1,0.02,0
40733,NCIH441_LUNG,NFE2L2,MYC,NFE2L2;MYC,0.0,0
40734,NCIH441_LUNG,DNAJB6,STUB1,DNAJB6;STUB1,0.17,0
40735,NCIH441_LUNG,DNAJB6,BAG3,DNAJB6;BAG3,0.38,0
40736,NCIH441_LUNG,DNAJB6,HSPA1A,DNAJB6;HSPA1A,0.36,0
40737,NCIH441_LUNG,DNAJB6,HSPA8,DNAJB6;HSPA8,0.13,0
40738,NCIH441_LUNG,HEATR1,CEBPZ,HEATR1;CEBPZ,-0.6,0
40739,NCIH441_LUNG,HEATR1,DDX10,HEATR1;DDX10,-0.46,0
40740,NCIH441_LUNG,HEATR1,EXOSC4,HEATR1;EXOSC4,-0.78,0
40741,NCIH441_LUNG,HEATR1,DNTTIP2,HEATR1;DNTTIP2,0.05,0
40742,NCIH441_LUNG,HEATR1,RPS6,HEATR1;RPS6,-1.09,0
40743,NCIH441_LUNG,HEATR1,RRP12,HEATR1;RRP12,-0.5,0
40744,NCIH441_LUNG,HEATR1,RPS5,HEATR1;RPS5,-0.57,0
40745,NCIH441_LUNG,HEATR1,RPP38,HEATR1;RPP38,-0.49,0
40746,NCIH441_LUNG,HEATR1,UTP14A,HEATR1;UTP14A,0.28,0
40747,NCIH441_LUNG,PSMD10,PSMD4,PSMD10;PSMD4,0.23,0
40748,NCIH441_LUNG,PSMD10,USP14,PSMD10;USP14,0.23,0
40749,NCIH441_LUNG,PSMD10,CDK4,PSMD10;CDK4,-0.64,0
40750,NCIH441_LUNG,PSMD10,PSMD9,PSMD10;PSMD9,0.3,0
40751,NCIH441_LUNG,PSMD10,PSMD2,PSMD10;PSMD2,0.29,0
40752,NCIH441_LUNG,PSMD2,USP14,PSMD2;USP14,0.52,0
40753,NCIH441_LUNG,PSMD2,PSMB10,PSMD2;PSMB10,0.38,0
40754,NCIH441_LUNG,PSMD2,PSMD4,PSMD2;PSMD4,0.51,0
40755,NCIH441_LUNG,PSMD2,PSMD9,PSMD2;PSMD9,0.56,0
40756,NCIH441_LUNG,G3BP1,RASA1,G3BP1;RASA1,0.11,0
40757,NCIH441_LUNG,G3BP1,HDAC6,G3BP1;HDAC6,0.13,0
40758,NCIH441_LUNG,G3BP1,ELAVL1,G3BP1;ELAVL1,0.12,0
40759,NCIH441_LUNG,G3BP1,EIF4G1,G3BP1;EIF4G1,-0.06,0
40760,NCIH441_LUNG,SPTAN1,STXBP1,SPTAN1;STXBP1,-0.28,0
40761,NCIH441_LUNG,MAPKAPK5,HSPB1,MAPKAPK5;HSPB1,-0.21,0
40762,NCIH441_LUNG,MAPKAPK5,DNAJB1,MAPKAPK5;DNAJB1,0.05,0
40763,NCIH441_LUNG,MRPS16,OXA1L,MRPS16;OXA1L,0.35,0
40764,NCIH441_LUNG,MRPS16,PSMG1,MRPS16;PSMG1,0.23,0
40765,NCIH441_LUNG,MRPS16,MRPL12,MRPS16;MRPL12,0.45,0
40766,NCIH441_LUNG,MRPS16,MRPS2,MRPS16;MRPS2,0.38,0
40767,NCIH441_LUNG,MRPS16,MRPL19,MRPS16;MRPL19,0.56,0
40768,NCIH441_LUNG,MRPS16,RPS5,MRPS16;RPS5,-0.4,0
40769,NCIH441_LUNG,MRPS16,POLR1C,MRPS16;POLR1C,0.08,0
40770,NCIH441_LUNG,POLB,PARP2,POLB;PARP2,0.08,0
40771,NCIH441_LUNG,POLB,LIG1,POLB;LIG1,0.1,0
40772,NCIH441_LUNG,SOX4,EZH2,SOX4;EZH2,-0.18,0
40773,NCIH441_LUNG,BUB1B,ZW10,BUB1B;ZW10,0.04,0
40774,NCIH441_LUNG,BUB1B,AURKA,BUB1B;AURKA,0.3,0
40775,NCIH441_LUNG,BUB1B,CCNB1,BUB1B;CCNB1,0.16,0
40776,NCIH441_LUNG,BUB1B,PPP2R5A,BUB1B;PPP2R5A,-0.37,0
40777,NCIH441_LUNG,BUB1B,CENPE,BUB1B;CENPE,0.26,0
40778,NCIH441_LUNG,BUB1B,PLK1,BUB1B;PLK1,0.23,0
40779,NCIH441_LUNG,BUB1B,KIF14,BUB1B;KIF14,0.22,0
40780,NCIH441_LUNG,BUB1B,JUN,BUB1B;JUN,-0.36,0
40781,NCIH441_LUNG,BUB1B,AURKB,BUB1B;AURKB,0.29,0
40782,NCIH441_LUNG,BUB1B,CDC20,BUB1B;CDC20,0.29,0
40783,NCIH441_LUNG,BUB1B,BRCA1,BUB1B;BRCA1,-0.18,0
40784,NCIH441_LUNG,BUB1B,CCNB2,BUB1B;CCNB2,0.22,0
40785,NCIH441_LUNG,BUB1B,BIRC5,BUB1B;BIRC5,0.26,0
40786,NCIH441_LUNG,BUB1B,KIF2C,BUB1B;KIF2C,0.35,0
40787,NCIH441_LUNG,BUB1B,TOP2A,BUB1B;TOP2A,0.29,0
40788,NCIH441_LUNG,BUB1B,CHEK1,BUB1B;CHEK1,-0.07,0
40789,NCIH441_LUNG,BUB1B,CCNA2,BUB1B;CCNA2,0.1,0
40790,NCIH441_LUNG,BUB1B,KIF20A,BUB1B;KIF20A,0.34,0
40791,NCIH441_LUNG,BUB1B,UBE2C,BUB1B;UBE2C,0.34,0
40792,NCIH441_LUNG,BUB1B,CDK1,BUB1B;CDK1,0.16,0
40793,NCIH441_LUNG,BUB1B,NUSAP1,BUB1B;NUSAP1,0.27,0
40794,NCIH441_LUNG,BUB1B,MELK,BUB1B;MELK,0.32,0
40795,NCIH441_LUNG,BUB1B,RAE1,BUB1B;RAE1,-0.75,0
40796,NCIH441_LUNG,COASY,HMGCS1,COASY;HMGCS1,0.15,0
40797,NCIH441_LUNG,SKIV2L,EXOSC4,SKIV2L;EXOSC4,-0.07,0
40798,NCIH441_LUNG,SKIV2L,WDR61,SKIV2L;WDR61,0.01,0
40799,NCIH441_LUNG,CDKN1B,CCND1,CDKN1B;CCND1,0.09,0
40800,NCIH441_LUNG,CDKN1B,CDK4,CDKN1B;CDK4,0.15,0
40801,NCIH441_LUNG,CDKN1B,MYC,CDKN1B;MYC,-0.05,0
40802,NCIH441_LUNG,CDKN1B,CCND3,CDKN1B;CCND3,0.19,0
40803,NCIH441_LUNG,CDKN1B,CDKN1A,CDKN1B;CDKN1A,0.21,0
40804,NCIH441_LUNG,CDKN1B,CCNB1,CDKN1B;CCNB1,-0.18,0
40805,NCIH441_LUNG,CDKN1B,CCNB2,CDKN1B;CCNB2,-0.34,0
40806,NCIH441_LUNG,CDKN1B,CDK7,CDKN1B;CDK7,-0.19,0
40807,NCIH441_LUNG,CDKN1B,DDB2,CDKN1B;DDB2,-0.34,0
40808,NCIH441_LUNG,CDKN1B,STMN1,CDKN1B;STMN1,-0.12,0
40809,NCIH441_LUNG,CDKN1B,FOXO3,CDKN1B;FOXO3,-0.26,0
40810,NCIH441_LUNG,CDKN1B,RHOA,CDKN1B;RHOA,-0.82,0
40811,NCIH441_LUNG,CDKN1B,AKT1,CDKN1B;AKT1,-0.41,0
40812,NCIH441_LUNG,CDKN1B,CDK2,CDKN1B;CDK2,0.07,0
40813,NCIH441_LUNG,CDKN1B,CDK1,CDKN1B;CDK1,-0.19,0
40814,NCIH441_LUNG,CDKN1B,CCNE2,CDKN1B;CCNE2,0.19,0
40815,NCIH441_LUNG,CDKN1B,SKP1,CDKN1B;SKP1,-0.1,0
40816,NCIH441_LUNG,CDKN1B,CCNA2,CDKN1B;CCNA2,-0.17,0
40817,NCIH441_LUNG,RRP8,SUV39H1,RRP8;SUV39H1,-1.34,0
40818,NCIH441_LUNG,RRP8,EBNA1BP2,RRP8;EBNA1BP2,-1.65,0
40819,NCIH441_LUNG,ACLY,PCK2,ACLY;PCK2,0.25,0
40820,NCIH441_LUNG,ACLY,HMGCS1,ACLY;HMGCS1,-0.29,0
40821,NCIH441_LUNG,ACLY,ACAA1,ACLY;ACAA1,-0.22,0
40822,NCIH441_LUNG,ACLY,SDHB,ACLY;SDHB,-0.45,0
40823,NCIH441_LUNG,CDK4,CCND1,CDK4;CCND1,0.31,0
40824,NCIH441_LUNG,CDK4,CCNB1,CDK4;CCNB1,0.21,0
40825,NCIH441_LUNG,CDK4,CDK2,CDK4;CDK2,0.34,0
40826,NCIH441_LUNG,CDK4,CCNE2,CDK4;CCNE2,0.46,0
40827,NCIH441_LUNG,CDK4,RB1,CDK4;RB1,0.33,0
40828,NCIH441_LUNG,CDK4,CCNA2,CDK4;CCNA2,0.23,0
40829,NCIH441_LUNG,CDK4,CCND3,CDK4;CCND3,0.49,0
40830,NCIH441_LUNG,CDK4,CDKN1A,CDK4;CDKN1A,0.38,0
40831,NCIH441_LUNG,CDK4,BRCA1,CDK4;BRCA1,0.27,0
40832,NCIH441_LUNG,CDK4,BIRC5,CDK4;BIRC5,0.17,0
40833,NCIH441_LUNG,CDK4,MYC,CDK4;MYC,0.26,0
40834,NCIH441_LUNG,CDK4,PCNA,CDK4;PCNA,0.21,0
40835,NCIH441_LUNG,CDK4,CDC25A,CDK4;CDC25A,0.44,0
40836,NCIH441_LUNG,CDK4,SMAD3,CDK4;SMAD3,0.25,0
40837,NCIH441_LUNG,MSH6,RFC2,MSH6;RFC2,0.36,0
40838,NCIH441_LUNG,MSH6,RPA1,MSH6;RPA1,0.28,0
40839,NCIH441_LUNG,MSH6,PCNA,MSH6;PCNA,0.07,0
40840,NCIH441_LUNG,MSH6,CHEK2,MSH6;CHEK2,0.31,0
40841,NCIH441_LUNG,MSH6,BRCA1,MSH6;BRCA1,0.07,0
40842,NCIH441_LUNG,EXOSC4,SUPV3L1,EXOSC4;SUPV3L1,-0.06,0
40843,NCIH441_LUNG,PAK4,NCK2,PAK4;NCK2,0.02,0
40844,NCIH441_LUNG,PAK4,ITGB5,PAK4;ITGB5,-0.06,0
40845,NCIH441_LUNG,PAK4,NCK1,PAK4;NCK1,-0.13,0
40846,NCIH441_LUNG,PAK4,CDC42,PAK4;CDC42,-0.45,0
40847,NCIH441_LUNG,VDAC1,FIS1,VDAC1;FIS1,0.1,0
40848,NCIH441_LUNG,VDAC1,SLC25A4,VDAC1;SLC25A4,0.04,0
40849,NCIH441_LUNG,VDAC1,BAX,VDAC1;BAX,-0.18,0
40850,NCIH441_LUNG,VDAC1,CYCS,VDAC1;CYCS,0.06,0
40851,NCIH441_LUNG,VDAC1,HSPD1,VDAC1;HSPD1,-0.09,0
40852,NCIH441_LUNG,VDAC1,ACBD3,VDAC1;ACBD3,0.11,0
40853,NCIH441_LUNG,VDAC1,SQSTM1,VDAC1;SQSTM1,-0.22,0
40854,NCIH441_LUNG,VDAC1,GAPDH,VDAC1;GAPDH,-0.41,0
40855,NCIH441_LUNG,VDAC1,HK1,VDAC1;HK1,-0.69,0
40856,NCIH441_LUNG,MRPL12,OXA1L,MRPL12;OXA1L,0.46,0
