,Patient,Gene1,Gene2,Edge,Curvature,Response
225,A549_LUNG,CDK4,MYC,CDK4;MYC,0.17,0
226,A549_LUNG,CDK4,PCNA,CDK4;PCNA,0.15,0
227,A549_LUNG,CDK4,CDC25A,CDK4;CDC25A,0.4,0
228,A549_LUNG,CDK4,SMAD3,CDK4;SMAD3,0.3,0
229,A549_LUNG,MSH6,RFC2,MSH6;RFC2,0.38,0
230,A549_LUNG,MSH6,RPA1,MSH6;RPA1,0.33,0
231,A549_LUNG,MSH6,PCNA,MSH6;PCNA,0.07,0
232,A549_LUNG,MSH6,CHEK2,MSH6;CHEK2,0.4,0
233,A549_LUNG,MSH6,BRCA1,MSH6;BRCA1,0.16,0
234,A549_LUNG,EXOSC4,SUPV3L1,EXOSC4;SUPV3L1,0.07,0
235,A549_LUNG,PAK4,NCK2,PAK4;NCK2,0.28,0
236,A549_LUNG,PAK4,ITGB5,PAK4;ITGB5,0.17,0
237,A549_LUNG,PAK4,NCK1,PAK4;NCK1,0.12,0
238,A549_LUNG,PAK4,CDC42,PAK4;CDC42,-0.12,0
239,A549_LUNG,VDAC1,FIS1,VDAC1;FIS1,0.26,0
240,A549_LUNG,VDAC1,SLC25A4,VDAC1;SLC25A4,0.42,0
241,A549_LUNG,VDAC1,BAX,VDAC1;BAX,0.22,0
242,A549_LUNG,VDAC1,CYCS,VDAC1;CYCS,0.22,0
243,A549_LUNG,VDAC1,HSPD1,VDAC1;HSPD1,0.16,0
244,A549_LUNG,VDAC1,ACBD3,VDAC1;ACBD3,0.11,0
245,A549_LUNG,VDAC1,SQSTM1,VDAC1;SQSTM1,0.15,0
246,A549_LUNG,VDAC1,GAPDH,VDAC1;GAPDH,0.05,0
247,A549_LUNG,VDAC1,HK1,VDAC1;HK1,-0.07,0
248,A549_LUNG,MRPL12,OXA1L,MRPL12;OXA1L,0.47,0
249,A549_LUNG,MRPL12,MRPS2,MRPL12;MRPS2,0.52,0
250,A549_LUNG,MRPL12,MRPL19,MRPL12;MRPL19,0.49,0
251,A549_LUNG,MRPL12,RPS5,MRPL12;RPS5,-0.09,0
252,A549_LUNG,MRPL12,POLR1C,MRPL12;POLR1C,0.31,0
253,A549_LUNG,KIF2C,AURKA,KIF2C;AURKA,0.37,0
254,A549_LUNG,KIF2C,CCNB1,KIF2C;CCNB1,0.19,0
255,A549_LUNG,KIF2C,CENPE,KIF2C;CENPE,0.34,0
256,A549_LUNG,KIF2C,CCNB2,KIF2C;CCNB2,0.32,0
