,Patient,Gene1,Gene2,Edge,Curvature,Response
129,A549_LUNG,CASP3,HSP90AA1,CASP3;HSP90AA1,-0.37,0
130,A549_LUNG,CASP3,CASP8,CASP3;CASP8,0.01,0
131,A549_LUNG,CASP3,HSP90AB1,CASP3;HSP90AB1,-0.54,0
132,A549_LUNG,CASP3,CDKN1A,CASP3;CDKN1A,-0.06,0
133,A549_LUNG,CASP3,MYC,CASP3;MYC,-0.18,0
134,A549_LUNG,CASP3,CTNNB1,CASP3;CTNNB1,-0.41,0
135,A549_LUNG,CASP3,CASP9,CASP3;CASP9,0.11,0
136,A549_LUNG,CASP3,BIRC6,CASP3;BIRC6,-0.3,0
137,A549_LUNG,CASP3,AKT1,CASP3;AKT1,-0.17,0
138,A549_LUNG,ARID1A,MSH2,ARID1A;MSH2,-0.68,0
139,A549_LUNG,ARID1A,KRAS,ARID1A;KRAS,-0.56,0
140,A549_LUNG,ARID1A,EP300,ARID1A;EP300,-0.88,0
141,A549_LUNG,ARID1A,PIK3CA,ARID1A;PIK3CA,-0.74,0
142,A549_LUNG,ARID1A,EZH2,ARID1A;EZH2,-0.58,0
143,A549_LUNG,ARID1A,ARID1B,ARID1A;ARID1B,0.06,0
144,A549_LUNG,ARID1A,SS18L1,ARID1A;SS18L1,-0.17,0
145,A549_LUNG,ARID1A,SMARCD1,ARID1A;SMARCD1,0.07,0
146,A549_LUNG,ARID1A,PPP2R1A,ARID1A;PPP2R1A,-0.93,0
147,A549_LUNG,ARID1A,SS18,ARID1A;SS18,0.06,0
148,A549_LUNG,ARID1A,SMARCE1,ARID1A;SMARCE1,0.06,0
149,A549_LUNG,ARID1A,SMARCB1,ARID1A;SMARCB1,0.14,0
150,A549_LUNG,ARID1A,PBRM1,ARID1A;PBRM1,0.0,0
151,A549_LUNG,XPC,MSH2,XPC;MSH2,0.21,0
152,A549_LUNG,XPC,MSH6,XPC;MSH6,0.09,0
153,A549_LUNG,XPC,DDB2,XPC;DDB2,0.1,0
154,A549_LUNG,XPC,ATM,XPC;ATM,0.09,0
155,A549_LUNG,XPC,XPA,XPC;XPA,0.31,0
156,A549_LUNG,XPC,ERCC4,XPC;ERCC4,0.22,0
157,A549_LUNG,XPC,ERCC3,XPC;ERCC3,0.29,0
158,A549_LUNG,XPC,FEN1,XPC;FEN1,0.24,0
159,A549_LUNG,XPC,POLD1,XPC;POLD1,0.18,0
160,A549_LUNG,XPC,SMARCB1,XPC;SMARCB1,-0.45,0
161,A549_LUNG,XPC,ERCC5,XPC;ERCC5,0.33,0
162,A549_LUNG,EIF3E,EIF1AX,EIF3E;EIF1AX,0.07,0
163,A549_LUNG,EIF3E,EIF4A2,EIF3E;EIF4A2,0.55,0
164,A549_LUNG,KMT2D,KMT2C,KMT2D;KMT2C,0.41,0
165,A549_LUNG,KMT2D,CREBBP,KMT2D;CREBBP,-0.4,0
166,A549_LUNG,KMT2D,EP300,KMT2D;EP300,-0.38,0
167,A549_LUNG,KMT2D,SETD1B,KMT2D;SETD1B,0.47,0
168,A549_LUNG,KMT2D,KDM6A,KMT2D;KDM6A,-0.24,0
169,A549_LUNG,KMT2D,MEN1,KMT2D;MEN1,0.11,0
170,A549_LUNG,KMT2D,CTNNB1,KMT2D;CTNNB1,-0.38,0
171,A549_LUNG,KMT2D,KMT2A,KMT2D;KMT2A,0.02,0
172,A549_LUNG,PDE4DIP,AKAP9,PDE4DIP;AKAP9,-0.46,0
173,A549_LUNG,TPR,TFG,TPR;TFG,0.14,0
174,A549_LUNG,TPR,RANBP2,TPR;RANBP2,0.08,0
175,A549_LUNG,TPR,NUP98,TPR;NUP98,-0.24,0
176,A549_LUNG,TPR,TPM3,TPR;TPM3,-0.77,0
177,A549_LUNG,EZR,MYH9,EZR;MYH9,-0.14,0
178,A549_LUNG,EZR,ERBB2,EZR;ERBB2,0.26,0
179,A549_LUNG,EZR,PRKACA,EZR;PRKACA,0.25,0
180,A549_LUNG,EZR,HSP90AA1,EZR;HSP90AA1,0.16,0
181,A549_LUNG,EZR,HSP90AB1,EZR;HSP90AB1,0.15,0
182,A549_LUNG,EZR,RHOA,EZR;RHOA,0.13,0
183,A549_LUNG,HSP90AA1,MAPK1,HSP90AA1;MAPK1,0.15,0
184,A549_LUNG,HSP90AA1,DNAJB1,HSP90AA1;DNAJB1,0.47,0
185,A549_LUNG,HSP90AA1,CDK4,HSP90AA1;CDK4,0.31,0
186,A549_LUNG,HSP90AA1,MDM2,HSP90AA1;MDM2,0.11,0
