,Edge,U,pval,adj_pvals
0,CACNA2D1;CACNB3,86.5,0.35635595702904566,1.0
80,CCL5;CCR1,72.0,1.0,1.0
81,CCL5;CXCL10,72.0,1.0,1.0
82,CCL5;CXCL8,72.0,1.0,1.0
83,CCL5;CXCL11,72.0,1.0,1.0
84,CCL5;CXCR2,76.5,0.5049850750938458,1.0
85,CCL5;CCR4,69.0,0.8245749453478984,1.0
86,CCL5;CXCL14,72.0,1.0,1.0
87,CCL5;CCR6,72.0,1.0,1.0
88,CCL5;CCRL2,69.0,0.8691785730401042,1.0
89,CCL5;CX3CR1,81.0,0.30659583036396365,1.0
90,CCL5;CCL20,72.0,1.0,1.0
91,CCL5;CCL28,72.0,1.0,1.0
92,CCL5;CXCL9,72.0,1.0,1.0
93,CCL5;XCL1,72.0,1.0,1.0
94,CCL5;XCL2,72.0,1.0,1.0
95,CCL5;ACKR1,65.0,0.7118194620382687,1.0
96,CCL5;JUN,102.0,0.08088175347414063,1.0
97,CCL5;CXCR3,72.0,1.0,1.0
98,CCL5;CCL25,72.0,1.0,1.0
99,CCL5;CCL8,72.0,1.0,1.0
100,CCL5;CCL26,72.0,1.0,1.0
101,CCL5;CXCL1,81.0,0.30659583036396365,1.0
102,CCL5;CXCL12,72.0,1.0,1.0
103,CCL5;IL6,54.0,0.1207453704017659,1.0
104,CCL5;CD8A,115.0,0.009471423864962785,0.6148532659005008
105,CCL5;CXCR4,73.0,0.9600183874643179,1.0
106,CCL5;CXCR6,96.0,0.1082460643945389,1.0
107,CCL5;TNF,63.0,0.30659583036396365,1.0
108,CCL5;CCL24,64.0,0.2112995473337107,1.0
109,CCL5;ACKR2,72.0,1.0,1.0
110,CCL5;CXCL2,76.5,0.5049850750938458,1.0
111,CCL5;CCR3,72.0,1.0,1.0
112,CCL5;CXCL17,72.0,1.0,1.0
113,CCL5;CCL16,72.0,1.0,1.0
114,CCL5;CCL4,73.0,0.9600183874643179,1.0
115,CXCR4;CCL22,73.0,0.9600183874643179,1.0
116,CXCR4;CCL2,72.0,1.0,1.0
117,CXCR4;CCR7,72.0,1.0,1.0
118,CXCR4;CCL21,72.0,1.0,1.0
119,CXCR4;CXCL13,73.0,0.9600183874643179,1.0
120,CXCR4;CCR2,73.0,0.9600183874643179,1.0
121,CXCR4;CXCL5,72.0,1.0,1.0
122,CXCR4;PPBP,72.0,1.0,1.0
123,CXCR4;CXCL10,72.0,1.0,1.0
124,CXCR4;CXCL8,72.0,1.0,1.0
125,CXCR4;CXCL11,72.0,1.0,1.0
126,CXCR4;CCL19,73.0,0.9600183874643179,1.0
127,CXCR4;CXCR2,72.0,1.0,1.0
128,CXCR4;CXCL14,72.0,1.0,1.0
129,CXCR4;CCL20,72.0,1.0,1.0
130,CXCR4;CXCL9,74.0,0.8804557252298884,1.0
131,CXCR4;CXCR3,72.0,1.0,1.0
132,CXCR4;CXCL1,72.0,1.0,1.0
133,CXCR4;CXCL12,73.0,0.9600183874643179,1.0
134,CXCR4;CCL3,76.0,0.7563096246483585,1.0
135,CXCR4;CCL4,81.0,0.4911155176507782,1.0
136,CXCR4;CXCL2,72.0,1.0,1.0
137,CXCR1;CCL2,72.0,1.0,1.0
138,CXCR1;CXCL6,76.5,0.5049850750938458,1.0
139,CXCR1;CXCL13,76.5,0.5049850750938458,1.0
140,CXCR1;CCR2,76.5,0.5049850750938458,1.0
141,CXCR1;CXCL8,76.5,0.5049850750938458,1.0
142,CXCR1;CXCL12,76.5,0.5049850750938458,1.0
143,CXCR1;CXCL1,81.0,0.30659583036396365,1.0
