,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
21,Atezo,BLCA,targets,21,0.5829596412556054,0.6029411764705883,0.5466666666666666,0.4432048681541582,34,24,10,7
22,Atezo,BLCA,targets,22,0.5381165919282511,0.5072959416324669,0.6666666666666666,0.7119675456389452,35,23,2,15
23,Atezo,BLCA,targets,23,0.5964125560538116,0.5872093023255814,0.49333333333333335,0.47160243407707914,28,30,8,9
24,Atezo,BLCA,targets,24,0.5874439461883408,0.5640674874601003,0.52,0.5517241379310345,29,29,7,10
25,Atezo,BLCA,targets,25,0.45739910313901344,0.4960100319197447,0.3466666666666667,0.2697768762677485,22,36,13,4
26,Atezo,BLCA,targets,26,0.5829596412556054,0.5624715002279981,0.5466666666666666,0.5801217038539553,32,26,8,9
27,Atezo,BLCA,targets,27,0.5605381165919282,0.5473096215230278,0.6133333333333333,0.5993914807302232,37,21,8,9
28,Atezo,BLCA,targets,28,0.5650224215246636,0.5538075695394437,0.6,0.5750507099391481,35,23,7,10
29,Atezo,BLCA,targets,29,0.5515695067264574,0.553921568627451,0.64,0.579107505070994,42,16,11,6
30,Atezo,BLCA,targets,30,0.5695067264573991,0.5528955768353854,0.5866666666666667,0.5801217038539553,35,23,8,9
31,Atezo,BLCA,targets,31,0.5560538116591929,0.532717738258094,0.6133333333333333,0.6430020283975659,36,22,7,10
32,Atezo,BLCA,targets,32,0.5829596412556054,0.54468764249886,0.52,0.603448275862069,26,32,4,13
33,Atezo,BLCA,targets,33,0.5919282511210763,0.5937072503419972,0.52,0.47667342799188644,34,24,12,5
34,Atezo,BLCA,targets,34,0.57847533632287,0.5508435932512539,0.56,0.592292089249493,33,25,8,9
35,Atezo,BLCA,targets,35,0.5650224215246636,0.562015503875969,0.5866666666666667,0.5567951318458417,35,23,8,9
36,Atezo,BLCA,targets,36,0.6053811659192825,0.5862973096215229,0.4666666666666667,0.4969574036511157,26,32,8,9
37,Atezo,BLCA,targets,37,0.5874439461883408,0.5679434564523483,0.5333333333333333,0.5344827586206897,35,23,12,5
38,Atezo,BLCA,targets,38,0.547085201793722,0.5493616051071591,0.6533333333333333,0.5872210953346856,40,18,8,9
39,Atezo,BLCA,targets,39,0.5739910313901345,0.5566575467396261,0.56,0.5628803245436106,30,28,5,12
40,Atezo,BLCA,targets,40,0.5650224215246636,0.5536935704514364,0.6,0.5851926977687627,36,22,8,9
41,Atezo,BLCA,targets,41,0.547085201793722,0.5217738258093936,0.64,0.6855983772819473,35,23,4,13
42,Atezo,BLCA,targets,42,0.5695067264573991,0.5575695394436845,0.5866666666666667,0.563894523326572,32,26,5,12
43,Atezo,BLCA,targets,43,0.5829596412556054,0.5844733242134063,0.5466666666666666,0.48478701825557813,35,23,11,6
44,Atezo,BLCA,targets,44,0.5381165919282511,0.5336297309621523,0.6666666666666666,0.6480730223123733,39,19,6,11
45,Atezo,BLCA,targets,45,0.5695067264573991,0.553921568627451,0.5733333333333334,0.5912778904665315,34,24,8,9
46,Atezo,BLCA,targets,46,0.5829596412556054,0.5704514363885089,0.5333333333333333,0.5476673427991887,31,27,8,9
47,Atezo,BLCA,targets,47,0.5650224215246636,0.5482216142270862,0.5866666666666667,0.6054766734279919,34,24,7,10
48,Atezo,BLCA,targets,48,0.5829596412556054,0.5750113999088008,0.5466666666666666,0.5141987829614605,31,27,7,10
49,Atezo,BLCA,targets,49,0.5829596412556054,0.562015503875969,0.5333333333333333,0.5578093306288032,31,27,8,9
50,Atezo,BLCA,node,0,0.49327354260089684,0.5759233926128591,0.5066666666666667,0.5963488843813388,27,31,6,11
51,Atezo,BLCA,node,1,0.49327354260089684,0.5713634290925672,0.4266666666666667,0.5983772819472617,20,38,5,12
52,Atezo,BLCA,node,2,0.5291479820627802,0.6304149566803466,0.44,0.4107505070993915,26,32,10,7
