,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,1891.0,0.46828086181521333,1.0
99,MLH1;BRAF,2551.5,0.015935395322177193,1.0
100,MLH1;NBN,2602.5,0.007890453863392669,1.0
101,MLH1;KRAS,2505.5,0.028396703022197017,1.0
102,MLH1;PMS1,2549.5,0.01613699524836231,1.0
103,MLH1;ATM,2502.5,0.029165871162886315,1.0
104,MLH1;BRCA1,2345.0,0.15290466262375924,1.0
105,MLH1;TP53,2411.5,0.08099921593651994,1.0
106,MLH1;MSH2,2523.5,0.0223358454124271,1.0
107,MLH1;PMS2,2510.0,0.02614473548112087,1.0
108,MLH1;POLD1,2320.5,0.18905333936544877,1.0
109,MLH1;PALB2,2549.0,0.016316065319519818,1.0
110,MLH1;MSH6,2402.5,0.0878209437090429,1.0
111,KDM6A;KMT2C,1958.0,0.6840724540677715,1.0
112,KDM6A;EP300,2064.5,0.9242670445067589,1.0
113,KDM6A;KMT2D,1964.0,0.705412921675585,1.0
114,KDM6A;SUZ12,2031.0,0.9526189125639707,1.0
115,KDM6A;EZH2,2048.0,0.9867271589054442,1.0
116,KDM6A;KDM5C,2112.5,0.7465016653093921,1.0
117,KDM6A;SETD2,2101.5,0.7864482430969755,1.0
118,SPOP;BRD4,2093.0,0.8176632429057761,1.0
119,SPOP;CUL3,2240.5,0.3514698832204952,1.0
120,SPOP;DAXX,2181.5,0.5148654500496408,1.0
121,SPOP;BRD3,2005.5,0.8566651768707747,1.0
122,SPOP;TRIM24,1994.5,0.8158347662744074,1.0
123,SPOP;PTEN,2062.0,0.9337031717682792,1.0
124,SPOP;DEK,2269.0,0.2859147765656077,1.0
125,SPOP;LZTR1,2134.5,0.6685193332623739,1.0
126,THRAP3;BCLAF1,2044.0,1.0,1.0
127,THRAP3;MED12,2184.0,0.5070583733481752,1.0
128,DCTN1;KIF5B,2320.0,0.1902269665334183,1.0
129,DCTN1;HSP90AA1,2070.5,0.9016310480842116,1.0
130,DCTN1;CLIP1,2075.5,0.8827580338945227,1.0
131,DCTN1;NIN,2225.5,0.38956643085204123,1.0
132,ASXL1;DNMT3A,1868.5,0.40533810459688957,1.0
133,ASXL1;NPM1,1899.5,0.4936442967524458,1.0
134,ASXL1;RUNX1,1957.5,0.6825471616943033,1.0
