,Edge,U,pval,adj_pvals
178,CXCR2;CXCL12,263.5,1.0,1.0
179,CXCR2;CXCL1,263.5,1.0,1.0
180,CXCR2;CCL4,263.5,1.0,1.0
181,CXCR2;CXCL2,263.5,1.0,1.0
182,CXCR2;CXCL9,263.5,1.0,1.0
183,CD8A;TNF,263.5,1.0,1.0
184,TNF;CCL2,263.5,1.0,1.0
185,TNF;NFKB1,237.0,0.32934971566450433,1.0
186,TNF;CXCL10,263.5,1.0,1.0
187,TNF;FN1,283.0,0.5639699056059633,1.0
188,TNF;JUN,253.0,0.7075390338592185,1.0
189,TNF;CXCL1,263.5,1.0,1.0
190,TNF;IL6,245.0,0.4642963497607461,1.0
191,TNF;CCL4,263.5,1.0,1.0
192,IL6;CCL2,244.0,0.4398504967246367,1.0
193,IL6;NFKB1,236.0,0.3110884058459146,1.0
194,IL6;CXCL10,245.0,0.4642963497607461,1.0
195,IL6;JUN,236.0,0.3110884058459146,1.0
196,IL6;CXCL1,245.0,0.4642963497607461,1.0
197,IL6;CXCL2,245.0,0.4642963497607461,1.0
198,LUM;COL1A1,215.5,0.2928026824223243,1.0
199,LUM;SPARC,297.0,0.47680138423304375,1.0
200,LUM;COL5A2,256.5,0.8876957129386909,1.0
201,LUM;FN1,237.0,0.574944038666278,1.0
202,LUM;COL1A2,234.5,0.5312922500555506,1.0
203,LUM;COL3A1,207.5,0.21900771103583527,1.0
204,FN1;COL1A1,170.5,0.045176532548066965,1.0
205,FN1;SPARC,246.0,0.7139861149059192,1.0
206,FN1;ITGA2,216.0,0.30987032899023814,1.0
207,FN1;COL1A2,229.0,0.46213558651083575,1.0
208,FN1;BGN,177.0,0.06289053028398443,1.0
209,FN1;ITGB1,230.0,0.476609865812078,1.0
210,FN1;ITGB2,196.0,0.14803265508019425,1.0
211,BGN;COL1A1,260.0,0.9453514492175534,1.0
212,ITGB2;THY1,257.0,0.7873078537753844,1.0
213,ITGB2;ITGA2,239.0,0.5802381644843242,1.0
214,ITGB2;ITGB1,277.0,0.7383565634712312,1.0
215,ITGB2;ITGAM,248.0,0.19127367246338967,1.0
216,NFKB1;CCL2,236.0,0.3110884058459146,1.0
217,NFKB1;CXCL2,238.0,0.34829158271073624,1.0
218,NFKB1;JUN,237.0,0.38792000718892183,1.0
219,NFKB1;CXCL1,235.0,0.29350796024950987,1.0
220,JUN;CCL2,236.0,0.3110884058459146,1.0
221,JUN;CXCL1,236.0,0.3110884058459146,1.0
222,JUN;RUNX2,257.0,0.8970845084247159,1.0
223,JUN;CXCL2,236.0,0.3110884058459146,1.0
224,ITGB1;COL1A1,216.0,0.3107130705890686,1.0
225,ITGB1;ITGA2,226.0,0.422314531106075,1.0
226,ITGB1;COL1A2,229.0,0.46335451447848097,1.0
227,ITGB1;ITGAM,286.0,0.5790503297616072,1.0
228,ACKR2;CCL17,263.5,1.0,1.0
229,ACKR2;CCL2,263.5,1.0,1.0
230,ACKR2;CCL21,263.5,1.0,1.0
231,ACKR2;CCL27,263.5,1.0,1.0
232,ACKR2;CCL25,263.5,1.0,1.0
233,CXCL10;CCL2,263.5,1.0,1.0
234,CXCL10;CCL13,263.5,1.0,1.0
235,CXCL10;CXCL6,263.5,1.0,1.0
236,CXCL10;CCR7,263.5,1.0,1.0
