,Edge,U,pval,adj_pvals
182,NPRL2;RRAGA,154.5,0.4670597179586603,1.0
183,NR3C1;FKBP4,87.5,0.14414482035707604,1.0
184,NR3C1;STUB1,89.0,0.15883821791386565,1.0
185,NR3C1;FOS,116.5,0.6142608407169157,1.0
186,NR3C1;NRIP1,108.0,0.20757475255472213,1.0
187,NR3C1;NCOA3,100.0,0.29188057452541916,1.0
188,NR3C1;HDAC2,96.5,0.24599213485485782,1.0
189,NR3C1;SMARCA4,102.5,0.3369558904322494,1.0
190,NR3C1;DAXX,111.5,0.5026873153059828,1.0
191,NR3C1;HSPA4,93.0,0.20204096605262467,1.0
192,NR3C1;TP53,99.5,0.28404964532928134,1.0
193,NR3C1;JUN,114.5,0.5699590024634571,1.0
194,NR3C1;STAT3,103.0,0.340448160444081,1.0
195,NR3C1;HIF1A,110.0,0.4707525923541297,1.0
196,NR3C1;CREB1,100.5,0.2997819116140312,1.0
197,PSMD4;PSMD10,96.0,0.20990906576653479,1.0
198,PSMD4;STUB1,94.5,0.21116058235294244,1.0
199,PSMD4;USP14,124.0,0.7863035027561573,1.0
200,PSMD4;TP53,137.5,0.8647630682977587,1.0
201,PSMD4;PSMD2,132.0,1.0,1.0
202,PSMD4;UBQLN2,160.0,0.3395269123176965,1.0
203,PSMD4;PSMB10,131.0,0.9866788024300985,1.0
204,PSMD4;PSMB8,111.0,0.49232172102941796,1.0
205,PSMD4;PSMD9,100.0,0.25217650062759656,1.0
206,RAC2;RALA,114.5,0.5752183707345118,1.0
207,RAC2;NCK2,106.0,0.4001328370191368,1.0
208,RAC2;IQGAP1,100.5,0.3061837140773044,1.0
209,RAC2;RALGDS,119.0,0.680133762032294,1.0
210,RAC2;SRC,102.0,0.3307102834451533,1.0
211,RAC2;PIK3CA,113.0,0.5413914145457999,1.0
212,RAC2;PRKCD,111.0,0.4986130462454943,1.0
213,RAC2;PTK2B,109.5,0.46867837405458945,1.0
214,RAC2;VAV3,101.0,0.3148347575276238,1.0
215,RAC2;RALB,109.5,0.4662744187840764,1.0
216,RAC2;ABL1,105.0,0.3827857886749022,1.0
217,RAC2;CDC42,103.0,0.3464564882630584,1.0
218,RAC2;CTNND1,102.5,0.33545891578232323,1.0
219,RAC2;PAK4,118.0,0.6562282199041166,1.0
220,RAC2;PAK1,114.0,0.5629189458362795,1.0
221,RAC2;AKT1,103.0,0.34763945691222065,1.0
222,RAC2;RHOA,110.0,0.47745679800998264,1.0
223,RAC2;FYN,109.5,0.467529260878075,1.0
224,RAC2;MAPK9,107.0,0.4182749483405894,1.0
225,PSMF1;FBXO7,110.5,0.48747166989826873,1.0
226,PSMF1;PSMB10,123.0,0.7767480938212049,1.0
227,BTK;PIK3CA,130.5,0.9736943395752127,1.0
228,BTK;FYN,132.0,1.0,1.0
229,BTK;SH3BP5,125.5,0.8427669567704417,1.0
230,BTK;PTPN6,128.5,0.9212864829955482,1.0
231,BTK;IKBKB,125.5,0.8432358024081645,1.0
232,BTK;BIRC2,139.5,0.8173945439780043,1.0
233,KDM3A;PRKACA,152.0,0.5195360988015685,1.0
234,KDM3A;SMARCA4,130.5,0.9736029591727812,1.0
235,KDM3A;HIF1A,150.5,0.5498445760484576,1.0
236,DNMT3A;EZH2,97.5,0.25898617758976616,1.0
237,DNMT3A;DNMT1,95.5,0.23306706080061035,1.0
238,DNMT3A;SMARCA4,88.5,0.15455785970905905,1.0
239,DNMT3A;MYC,88.0,0.15102185819302216,1.0
240,DNMT3A;MAT2A,100.0,0.2929220940238495,1.0
241,DNMT3A;HDAC2,83.0,0.1076688281701644,1.0
242,TGFB3;TGFBR2,128.5,0.9211318811855556,1.0
243,ATF6;EDEM1,129.5,0.9449623782352886,1.0
244,ATF6;MBTPS1,151.0,0.516951978589355,1.0
245,ATF6;VAPB,151.0,0.516951978589355,1.0
246,ATF6;ATF5,151.0,0.516951978589355,1.0
247,EZH2;SOX4,135.0,0.8935304395031656,1.0
248,EZH2;STAT3,122.5,0.7661792443371124,1.0
249,EZH2;RB1,109.0,0.45602488748487024,1.0
250,EZH2;TP53,113.0,0.5413382025080136,1.0
251,EZH2;STAT5B,117.5,0.6426372502097104,1.0
252,EZH2;SUZ12,120.5,0.7133056042350505,1.0
253,EZH2;MYC,102.5,0.33814657072796006,1.0
254,EZH2;BRCA1,109.0,0.456739816704662,1.0
255,EZH2;SMARCA4,114.5,0.5746154946950592,1.0
256,EZH2;EED,124.0,0.8002394765702647,1.0
257,EZH2;JUN,118.0,0.6558617278957848,1.0
258,EZH2;DNMT1,115.5,0.5958697362647967,1.0
259,EZH2;AKT1,116.5,0.6207094957694377,1.0
260,EZH2;MTF2,127.5,0.8927806311851414,1.0
261,EZH2;HDAC2,103.0,0.3459688428862001,1.0
262,EZH2;USP7,112.5,0.5296680758513095,1.0
263,PRKAG2;FOXO3,117.0,0.6326095078019884,1.0
264,PRKAG2;HMGCR,106.0,0.40081300024315214,1.0
265,PRKAG2;ELAVL1,111.5,0.509052228287119,1.0
266,JUN;NFKBIA,120.5,0.717021633264374,1.0
267,JUN;CCL2,127.5,0.895153847751644,1.0
268,JUN;CCND1,119.5,0.6923498571554625,1.0
269,JUN;EGR1,123.0,0.7795184261448759,1.0
270,JUN;STAT3,124.5,0.8174730393389494,1.0
271,JUN;TP53,132.0,1.0,1.0
272,JUN;BUB1B,118.0,0.6564812615795879,1.0
273,JUN;FOS,132.5,1.0,1.0
274,JUN;PRKACA,122.0,0.7543913959491494,1.0
275,JUN;STAT1,121.5,0.7418049310058423,1.0
276,JUN;MAPK9,126.0,0.8561691814822824,1.0
277,JUN;AKT1,132.0,1.0,1.0
278,JUN;NCOA3,118.5,0.6674315637251552,1.0
279,JUN;MYC,125.5,0.8432966475106681,1.0
280,JUN;ETS1,122.0,0.7542979726134913,1.0
281,JUN;SRC,126.5,0.8692284656834335,1.0
282,JUN;NFE2L2,127.5,0.8952084480489364,1.0
283,JUN;CREB1,126.5,0.869047139096,1.0
284,JUN;HIF1A,130.5,0.9737035404614927,1.0
285,RPP38;HSD17B10,179.5,0.12170173152705342,1.0
286,RPP38;HEATR1,204.0,0.01815266039727448,1.0
287,RPP38;RPS6,189.5,0.06052334669983994,1.0
288,RPP38;POP4,179.5,0.09028238844184487,1.0
289,FOXO4;STAT3,126.5,0.8692680305681612,1.0
290,FOXO4;CDK2,124.5,0.8177860116796032,1.0
291,FOXO4;TP53,129.0,0.9343928165766833,1.0
292,FOXO4;FOXO3,127.0,0.8821742568167257,1.0
293,FOXO4;USP7,138.5,0.8433506726151024,1.0
294,FOXO4;CSNK1E,127.0,0.8821895728072683,1.0
295,FOXO4;IKBKB,131.0,0.9868620425462135,1.0
296,FOXO4;MAPK9,125.5,0.8433709176291839,1.0
297,FOXO4;AKT1,120.5,0.7171516918334986,1.0
298,MYCBP2;SKP1,149.0,0.5848134106316729,1.0
299,MYCBP2;MYC,139.0,0.8297167268014598,1.0
300,MYCBP2;LRPAP1,136.5,0.8948703802516753,1.0
301,NUSAP1;CCNB1,154.5,0.4651098333567726,1.0
302,NUSAP1;BUB1B,154.5,0.4542792527524815,1.0
303,NUSAP1;MELK,165.5,0.20616453877560426,1.0
304,NUSAP1;AURKB,154.0,0.4519457115118901,1.0
305,NUSAP1;SMC4,173.5,0.17006240470652045,1.0
306,NUSAP1;UBE2C,173.0,0.1211117483306512,1.0
307,NUSAP1;CDC20,156.5,0.41025168541734125,1.0
308,NUSAP1;KIF20A,160.0,0.27046193713152167,1.0
309,NUSAP1;CCNF,176.0,0.14552234895976457,1.0
310,NUSAP1;CDC45,186.5,0.07196462591028699,1.0
311,NUSAP1;TOP2A,178.0,0.09898450822077831,1.0
312,NUSAP1;CCNA2,148.0,0.6078368434384795,1.0
313,GNA11;PLCB3,141.0,0.7788118568494052,1.0
314,PNKP;POLB,135.0,0.9334920228625249,1.0
315,GADD45B;MAP3K4,132.0,1.0,1.0
316,GADD45B;GADD45A,141.0,0.7793682594254311,1.0
317,GADD45B;CCNB1,135.5,0.9213412338252389,1.0
318,GADD45B;TP53,135.5,0.9213549036906007,1.0
319,MCM3;GMNN,93.5,0.20371436103963614,1.0
320,MCM3;CDK2,75.0,0.05482619714024144,1.0
321,MCM3;ORC1,95.5,0.22611507552104249,1.0
322,MCM3;RPA2,86.0,0.12086257049600027,1.0
323,MCM3;KEAP1,81.0,0.09162864219083892,1.0
324,MCM3;CHEK1,130.0,0.9582345858132812,1.0
325,MCM3;CDC45,87.0,0.12842395008377008,1.0
326,MCM3;RFC5,64.0,0.0206806656493192,1.0
327,MCM3;TIMELESS,96.0,0.23294700261220458,1.0
328,MCM3;CCNA2,66.5,0.02725075137894105,1.0
329,CFLAR;TICAM1,107.5,0.4184851396106857,1.0
330,CFLAR;ATG3,108.0,0.43619133143689437,1.0
331,CFLAR;CASP10,125.0,0.8259852445128177,1.0
332,CFLAR;CASP3,115.5,0.596145803355983,1.0
333,CFLAR;FAS,116.5,0.6140675999895011,1.0
334,CFLAR;BIRC2,129.5,0.9463859082157514,1.0
335,HMGCR;INSIG1,164.5,0.2901665757057784,1.0
336,HMGCR;HMGCS1,158.5,0.38851502202083854,1.0
337,HMGCR;FDFT1,165.0,0.28309737495506915,1.0
338,HMGCR;ACAT2,158.0,0.3996988310894817,1.0
339,POLR1C;TBP,155.5,0.44293653041430125,1.0
340,POLR1C;RRS1,163.5,0.2977061624852111,1.0
341,POLR1C;MRPL12,133.0,0.9863841890055052,1.0
342,POLR1C;MRPS2,138.5,0.8407777808326207,1.0
343,POLR1C;MRPS16,161.5,0.31498855467986697,1.0
344,POLR1C;MRPL19,148.0,0.5946466467901295,1.0
345,POLR1C;RPS5,135.5,0.9206028555038704,1.0
346,RRP1B;GRWD1,133.0,0.9867716668902807,1.0
347,RRP1B;RRS1,116.0,0.6085473963025148,1.0
348,RRP1B;EBNA1BP2,128.5,0.920805974073033,1.0
349,PTK2;NCK2,124.0,0.8032940002268156,1.0
350,PTK2;PTPN12,123.0,0.7754619640209764,1.0
351,PTK2;PIK3CA,134.0,0.959781660856742,1.0
352,PTK2;STAT3,123.5,0.7882241176890904,1.0
353,PTK2;PXN,110.0,0.46003115570796616,1.0
354,PTK2;TP53,114.0,0.5594085506529516,1.0
355,PTK2;ERBB2,122.0,0.7486345155549066,1.0
356,PTK2;ITGB5,117.5,0.6430041078689369,1.0
357,PTK2;CRK,120.0,0.6977070089793725,1.0
358,PTK2;PRKACA,127.0,0.8809977310100205,1.0
359,PTK2;FOXO3,120.0,0.7017541077939158,1.0
360,PTK2;MEF2C,132.0,1.0,1.0
361,PTK2;AKT1,130.0,0.9598454788487717,1.0
362,PTK2;FYN,132.5,1.0,1.0
363,PTK2;CRKL,114.0,0.5499889370753647,1.0
364,PTK2;RHOA,118.0,0.6511354765916763,1.0
365,PTK2;CTTN,124.5,0.8141692320389806,1.0
366,PTK2;ARHGEF2,119.5,0.6909610908666524,1.0
367,PTK2;CDC42,111.5,0.49846382634146835,1.0
368,PTK2;STAT1,118.0,0.6537961517328499,1.0
369,PTK2;SHC1,129.0,0.9327846269615353,1.0
370,PTK2;PTK2B,117.5,0.6408306525082437,1.0
371,PTK2;IGF1R,117.5,0.6386322985337743,1.0
372,PTK2;SRC,113.0,0.5327112071423104,1.0
373,HIF1A;CCND1,116.5,0.6204031255231623,1.0
374,HIF1A;STAT3,119.0,0.6798953949545375,1.0
375,HIF1A;TP53,121.0,0.7290712789657599,1.0
376,HIF1A;HSPA4,112.5,0.5278817053154362,1.0
377,HIF1A;ARNT2,122.5,0.7621580784906185,1.0
378,HIF1A;FOXO3,118.0,0.6507672226076143,1.0
379,HIF1A;BNIP3,97.5,0.2580550162866255,1.0
380,HIF1A;SRC,121.5,0.7416960961012186,1.0
381,HIF1A;HSPA8,119.0,0.6745128656958925,1.0
382,HIF1A;AKT1,120.0,0.7043677821958254,1.0
383,HIF1A;NOTCH1,150.5,0.5501986167986443,1.0
384,HIF1A;MYC,122.5,0.7664182545258674,1.0
385,ARHGAP1;RASA1,136.5,0.8938172868434412,1.0
386,ARHGAP1;RHOA,133.5,0.9733505565369907,1.0
387,ARHGAP1;CDC42,130.0,0.9601422956021841,1.0
388,FKBP4;HSPA8,142.0,0.7540483218061426,1.0
389,FKBP4;AKT1,141.5,0.7666168709768489,1.0
390,FKBP4;DNAJB1,157.0,0.4180908693027534,1.0
391,FKBP4;HSPA4,143.0,0.7288316199165861,1.0
392,RAD51C;CHEK2,95.0,0.2235276870464189,1.0
393,RAD51C;BRCA1,114.0,0.559830034675831,1.0
394,DDX10;CEBPZ,131.0,0.9867340463621922,1.0
395,DDX10;RBM34,122.5,0.7658393876058434,1.0
396,DDX10;RRP12,117.0,0.6315932105958817,1.0
397,DDX10;HEATR1,116.0,0.6059551442744795,1.0
398,DDX10;EBNA1BP2,121.0,0.7279935477081783,1.0
399,DDX10;UTP14A,95.0,0.22472716759335953,1.0
400,PTPN1;SRC,126.5,0.8689846336625467,1.0
401,PTPN1;IGF1R,120.5,0.715842981930388,1.0
402,STX4;STXBP1,161.5,0.3389933309917851,1.0
403,GNB5;MNAT1,167.0,0.25447717433817363,1.0
404,GNB5;CCNH,153.5,0.4884647348734934,1.0
405,GNB5;GNAI2,149.0,0.587113933916562,1.0
406,GNB5;GNAS,148.5,0.598398066651569,1.0
407,DDB2;CDKN1B,101.5,0.3223679907159208,1.0
408,DDB2;COPS7A,113.0,0.5393024144974409,1.0
409,DDB2;TP53,105.5,0.3903549479886911,1.0
410,MNAT1;POLR2I,98.0,0.26510014029195805,1.0
411,MNAT1;TBP,132.0,1.0,1.0
412,MNAT1;GTF2A2,115.0,0.579545629835811,1.0
413,MNAT1;GTF2E2,108.5,0.43982701360927945,1.0
414,MNAT1;CCNH,139.0,0.8273255580805937,1.0
415,BECN1;TP53,143.0,0.7270311720718523,1.0
416,BECN1;ERBB2,138.0,0.8557695850026659,1.0
417,BECN1;ATG3,147.5,0.617815701602804,1.0
418,BECN1;HSPA4,144.0,0.7029381738656759,1.0
419,BECN1;CASP3,142.5,0.7411169657348595,1.0
420,BECN1;PIK3R4,135.5,0.9183406369005658,1.0
421,BECN1;SQSTM1,131.0,0.9866644335394479,1.0
422,BECN1;BIRC2,150.5,0.5486703206515985,1.0
423,BECN1;BNIP3,149.0,0.5823224405206275,1.0
424,BECN1;ABL1,148.5,0.5953485469710986,1.0
425,BECN1;BNIP3L,141.5,0.7643323481171386,1.0
426,BECN1;AKT1,137.0,0.8817068141883422,1.0
427,ALDOA;PFKL,105.5,0.3818808426616467,1.0
428,ALDOA;PGAM1,97.0,0.24486759005775172,1.0
429,ALDOA;GAPDH,128.0,0.9051760119903507,1.0
430,ALDOA;DERA,121.5,0.7332755490165506,1.0
431,ALDOA;HK1,115.0,0.5803348484771458,1.0
432,DERA;GAPDH,126.0,0.8562188978749281,1.0
433,PCK2;ACLY,164.5,0.2919420527555928,1.0
434,CASP2;GABPB1,132.0,1.0,1.0
435,CASP2;CASP3,92.5,0.1838449504496591,1.0
436,CASP2;BIRC2,112.5,0.5235897812366931,1.0
437,PYGL;AGL,98.0,0.2554400315901907,1.0
438,PYGL;PGM1,98.0,0.2554400315901907,1.0
439,PYGL;PHKG2,110.0,0.4585540431820688,1.0
440,PYGL;CALM3,103.0,0.3460112882042755,1.0
441,DNMT1;STAT3,123.0,0.7768356448679843,1.0
442,DNMT1;DAXX,152.0,0.4938081818860186,1.0
443,DNMT1;TP53,128.5,0.9206098856279237,1.0
444,DNMT1;MAT2A,106.0,0.38597262566867574,1.0
445,DNMT1;SUZ12,111.0,0.4901588067458671,1.0
446,DNMT1;EED,123.5,0.7839623717774601,1.0
447,DNMT1;USP7,128.5,0.9200199518660093,1.0
448,DNMT1;HDAC2,94.5,0.21310600561676218,1.0
449,RSU1;ILK,162.0,0.32913940088615823,1.0
450,MTF2;SUZ12,155.5,0.4459756560594288,1.0
451,MTF2;EED,158.0,0.39728485011545833,1.0
452,TP53BP1;RB1,159.0,0.3786330438492139,1.0
453,TP53BP1;TP53,172.0,0.19025629451166837,1.0
454,TP53BP1;PLK1,182.0,0.1009509742290351,1.0
455,TP53BP1;RAD9A,157.5,0.40331153521010776,1.0
456,TP53BP1;RPA2,153.5,0.47193903815461435,1.0
457,TP53BP1;CHEK1,140.0,0.7974968938532617,1.0
458,TP53BP1;CHEK2,181.5,0.10318436379789611,1.0
459,TP53BP1;BRCA1,165.5,0.27030536653069637,1.0
460,TP53BP1;TIMELESS,156.0,0.42976070981407,1.0
461,CCND3;CCND1,152.0,0.5167809019277652,1.0
462,CCND3;CDKN1B,158.0,0.3969706261289281,1.0
463,CCND3;CDK4,147.0,0.6249658041594724,1.0
464,CCND3;CDK6,155.0,0.44607243044377753,1.0
465,CCND3;CDK2,148.5,0.5940696849223492,1.0
466,CCND3;RB1,148.5,0.5947761897665249,1.0
467,CCND3;CDKN1A,167.0,0.24976623654124053,1.0
468,BAD;BAX,118.0,0.6565935456587076,1.0
469,BAD;PRKACA,127.5,0.8950763510306756,1.0
