,Edge,U,pval,adj_pvals
106,PBRM1;SMARCD1,142.0,0.7251636610102844,1.0
107,PBRM1;SS18,154.5,0.40331756510948324,1.0
108,PBRM1;SETD2,145.0,0.6751243466428007,1.0
109,PBRM1;ARID1B,150.5,0.4941245444092638,1.0
110,PBRM1;BCL7A,144.0,0.6775597920338556,1.0
111,SET;NUP214,125.0,0.8229098857645076,1.0
112,SET;XPO1,121.0,0.7156181926544642,1.0
113,MSI2;NUP98,107.0,0.41274028541229146,1.0
114,TFG;TPM3,148.5,0.5956256787190927,1.0
115,TFG;TPR,176.5,0.14394914181953952,1.0
116,SIRPA;PTPN6,102.5,0.33003295425372714,1.0
117,SIRPA;PTPN11,111.0,0.49608999282254007,1.0
118,NBN;MLH1,91.5,0.17128629548142615,1.0
119,NBN;MSH6,109.0,0.44285452086475074,1.0
120,NBN;BRIP1,105.0,0.3650189656147653,1.0
121,NBN;BARD1,106.0,0.38810518931379934,1.0
122,NBN;WRN,122.0,0.7376955366264084,1.0
123,NBN;ATR,131.5,1.0,1.0
124,NBN;CHEK2,126.0,0.8506573127540906,1.0
125,NBN;RAD17,93.5,0.18787162819920078,1.0
126,NBN;ATM,118.0,0.6470347363227659,1.0
127,NBN;BLM,123.0,0.7735463046026316,1.0
128,NBN;BRCA1,106.5,0.4028033362173358,1.0
129,NBN;FANCD2,111.5,0.4925198206036361,1.0
130,NBN;BRCA2,114.5,0.5702707204807195,1.0
131,B2M;CALR,171.0,0.18853560525888646,1.0
132,B2M;TFRC,149.5,0.5635794006202882,1.0
133,B2M;HLA-A,140.0,0.7577155624646678,1.0
134,PICALM;MLLT10,138.5,0.8407848680529613,1.0
135,PICALM;EPS15,125.5,0.8288417284305072,1.0
136,PICALM;CLTC,141.5,0.760524824748389,1.0
137,ARHGAP26;RHOA,96.0,0.24063673454036405,1.0
138,SDHAF2;TMEM127,127.5,0.8941796300741598,1.0
139,SDHAF2;SDHA,130.5,0.9735726756857241,1.0
140,SDHAF2;SDHD,119.5,0.6728050920981252,1.0
141,SDHAF2;SDHB,123.5,0.7900389685938671,1.0
142,SDHAF2;SDHC,143.0,0.7081516079204389,1.0
143,DAXX;MDM2,130.0,0.9602891365327603,1.0
144,DAXX;ATRX,143.5,0.7139432555995697,1.0
145,DAXX;SMAD4,138.0,0.854537650819495,1.0
146,DAXX;TP53,133.0,0.9867428924668045,1.0
147,DAXX;DEK,137.0,0.8817739324415881,1.0
148,DAXX;MEN1,137.0,0.8814215821844061,1.0
149,DAXX;FADD,144.0,0.7029506946814514,1.0
150,DAXX;SPOP,143.0,0.727496239762853,1.0
151,DAXX;FAS,159.0,0.3791407270345697,1.0
152,DAXX;PML,130.0,0.9601742789352532,1.0
153,DAXX;TGFBR2,129.0,0.9340618624150925,1.0
