,Patient,Gene1,Gene2,Edge,Curvature,Response
111,A101D_SKIN,AKT2,PIK3R1,AKT2;PIK3R1,0.28523511383452926,0
112,A101D_SKIN,AKT2,PIK3CB,AKT2;PIK3CB,0.37040365615797244,0
113,A101D_SKIN,AKT2,PIK3CG,AKT2;PIK3CG,0.14956016714733378,0
114,A101D_SKIN,PIK3R2,PIK3R3,PIK3R2;PIK3R3,0.4711886172899089,0
115,A101D_SKIN,PIK3R2,PIK3R1,PIK3R2;PIK3R1,0.3647390483501186,0
116,A101D_SKIN,PIK3R2,PIK3R5,PIK3R2;PIK3R5,0.0,0
117,A101D_SKIN,PIK3R2,PIK3CB,PIK3R2;PIK3CB,0.41677547946783333,0
118,A101D_SKIN,PIK3R2,PIK3CD,PIK3R2;PIK3CD,0.28413915543562474,0
119,A101D_SKIN,PIK3R2,PIK3CA,PIK3R2;PIK3CA,0.3522108301436917,0
120,A101D_SKIN,PIK3R2,PIK3CG,PIK3R2;PIK3CG,0.0,0
121,A101D_SKIN,PIK3R2,ERBB3,PIK3R2;ERBB3,0.4428507466616918,0
122,A101D_SKIN,PIK3R3,PIK3R5,PIK3R3;PIK3R5,0.0,0
123,A101D_SKIN,PIK3R3,PIK3CA,PIK3R3;PIK3CA,0.0,0
124,A101D_SKIN,PIK3R3,PIK3CG,PIK3R3;PIK3CG,0.0,0
125,A101D_SKIN,PIK3R3,PIK3CD,PIK3R3;PIK3CD,0.0,0
126,A101D_SKIN,PIK3R3,ERBB3,PIK3R3;ERBB3,0.39393580091470004,0
127,A101D_SKIN,PIK3R3,PIK3CB,PIK3R3;PIK3CB,0.4105753782284187,0
128,A101D_SKIN,PIK3R3,PIK3R6,PIK3R3;PIK3R6,0.0,0
129,A101D_SKIN,PIK3R3,PIK3R1,PIK3R3;PIK3R1,0.0,0
130,A101D_SKIN,PIK3R1,PIK3CA,PIK3R1;PIK3CA,0.0,0
131,A101D_SKIN,PIK3R1,ERBB3,PIK3R1;ERBB3,0.2131003458512336,0
132,A101D_SKIN,PIK3R1,PDPK1,PIK3R1;PDPK1,0.09396651904456554,0
133,A101D_SKIN,PIK3R1,PIK3CD,PIK3R1;PIK3CD,0.37626919255442504,0
134,A101D_SKIN,PIK3R1,PIK3R5,PIK3R1;PIK3R5,0.0,0
135,A101D_SKIN,PIK3R1,PIK3CG,PIK3R1;PIK3CG,0.0,0
136,A101D_SKIN,PIK3R1,PIK3CB,PIK3R1;PIK3CB,0.4571945144726962,0
137,A101D_SKIN,PIK3R5,PIK3CA,PIK3R5;PIK3CA,0.0,0
138,A101D_SKIN,PIK3R5,PIK3CD,PIK3R5;PIK3CD,0.0,0
139,A101D_SKIN,PIK3R5,PIK3R6,PIK3R5;PIK3R6,0.0,0
140,A101D_SKIN,PIK3R5,PIK3CB,PIK3R5;PIK3CB,0.12463797888850159,0
141,A101D_SKIN,PIK3R5,PIK3CG,PIK3R5;PIK3CG,0.0,0
142,A101D_SKIN,PIK3CB,PIK3CA,PIK3CB;PIK3CA,0.4376381774610614,0
143,A101D_SKIN,PIK3CB,ERBB3,PIK3CB;ERBB3,0.4033085809810275,0
144,A101D_SKIN,PIK3CB,PDPK1,PIK3CB;PDPK1,0.2559107920397753,0
145,A101D_SKIN,PIK3CB,PIK3CD,PIK3CB;PIK3CD,0.4021085322566167,0
146,A101D_SKIN,PIK3CB,PIK3CG,PIK3CB;PIK3CG,0.0,0
147,A101D_SKIN,PIK3CD,RRAS2,PIK3CD;RRAS2,0.26212701648489056,0
148,A101D_SKIN,PIK3CD,PIK3CA,PIK3CD;PIK3CA,0.4262790516620051,0
149,A101D_SKIN,PIK3CD,ERBB3,PIK3CD;ERBB3,0.32738040610708774,0
150,A101D_SKIN,PIK3CD,PIK3CG,PIK3CD;PIK3CG,0.0,0
151,A101D_SKIN,PIK3CA,RRAS2,PIK3CA;RRAS2,0.1300584625527783,0
152,A101D_SKIN,PIK3CA,PDPK1,PIK3CA;PDPK1,0.07848732809060666,0
153,A101D_SKIN,PIK3CA,PIK3CG,PIK3CA;PIK3CG,0.0,0
154,A101D_SKIN,PIK3CA,ERBB3,PIK3CA;ERBB3,0.16113822530915123,0
155,A101D_SKIN,PIK3CG,RRAS2,PIK3CG;RRAS2,0.0,0
156,A101D_SKIN,PIK3CG,PPP1R12C,PIK3CG;PPP1R12C,0.1632806454398701,0
157,A101D_SKIN,PIK3CG,PDPK1,PIK3CG;PDPK1,0.0,0
158,A101D_SKIN,PIK3CG,IMMT,PIK3CG;IMMT,0.21919072664418893,0
159,A101D_SKIN,PIK3CG,PIK3R6,PIK3CG;PIK3R6,0.0,0
160,A101D_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.36889958902806774,0
161,A101D_SKIN,MLX,MLXIPL,MLX;MLXIPL,0.0,0
162,A101D_SKIN,MLX,MLXIP,MLX;MLXIP,0.9903273735722178,0
163,A101D_SKIN,MLXIPL,MLXIP,MLXIPL;MLXIP,0.0,0
164,A101D_SKIN,KCNQ4,KCNE4,KCNQ4;KCNE4,0.0,0
165,A101D_SKIN,KCNQ4,KCNQ3,KCNQ4;KCNQ3,0.0,0
166,A101D_SKIN,MASP2,FCN2,MASP2;FCN2,0.0,0
167,A101D_SKIN,MASP2,COLEC10,MASP2;COLEC10,0.0,0
168,A101D_SKIN,MASP2,COLEC11,MASP2;COLEC11,0.0,0
169,A101D_SKIN,FCN2,COLEC10,FCN2;COLEC10,0.0,0
170,A101D_SKIN,COLEC10,COLEC11,COLEC10;COLEC11,0.0,0
171,A2058_SKIN,LYN,SRC,LYN;SRC,0.4787850593272974,1
172,A2058_SKIN,LYN,PIK3CD,LYN;PIK3CD,0.384382244119712,1
173,A2058_SKIN,LYN,PIK3CG,LYN;PIK3CG,0.2863876691444083,1
174,A2058_SKIN,LYN,PIK3R1,LYN;PIK3R1,0.4228164218666228,1
175,A2058_SKIN,LYN,PIK3CB,LYN;PIK3CB,0.41893092529125364,1
176,A2058_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.42645768583729626,1
177,A2058_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.0,1
178,A2058_SKIN,GRB2,EGFR,GRB2;EGFR,0.0,1
