,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
28,Atezo,BLCA,targets,2,1,0.5739910313901345,0.5748974008207934,0.5733333333333334,0.5233265720081136,35,23,9,8
29,Atezo,BLCA,DiffExp,2,38,0.7847533632286996,0.8956908344733243,0.68,0.6196754563894523,43,15,9,8
30,Atezo,BLCA,edge,2,17,0.7488789237668162,0.8285453716370269,0.6133333333333333,0.5111561866125761,42,16,13,4
31,Atezo,BLCA,edge-random,2,17,0.6278026905829597,0.7517099863201094,0.6133333333333333,0.6805273833671399,36,22,7,10
32,Atezo,BLCA,node,2,10,0.7040358744394619,0.7902416780665754,0.6133333333333333,0.41683569979716023,42,16,13,4
33,Atezo,BLCA,node-random,2,10,0.7130044843049327,0.781235750113999,0.6133333333333333,0.565922920892495,37,21,8,9
34,Atezo,BLCA,node-norm,2,96,0.9282511210762332,0.9838121295029639,0.6666666666666666,0.504056795131846,45,13,12,5
35,Atezo,BLCA,node-norm-random,2,96,0.8878923766816144,0.9563383492932056,0.6133333333333333,0.5811359026369168,40,18,11,6
36,Atezo,BLCA,edge+targets,2,18,0.7713004484304933,0.8497492020063839,0.6266666666666667,0.5344827586206897,43,15,13,4
37,Atezo,BLCA,edge+targets-random,2,18,0.7130044843049327,0.8031235750113999,0.72,0.6206896551724138,48,10,11,6
38,Atezo,BLCA,node+targets,2,11,0.726457399103139,0.8035795713634291,0.5866666666666667,0.4645030425963489,41,17,14,3
39,Atezo,BLCA,node+targets-random,2,11,0.6233183856502242,0.7087323301413588,0.6266666666666667,0.6419878296146045,36,22,6,11
40,Atezo,BLCA,node-norm+targets,2,97,0.9282511210762332,0.9823301413588691,0.6933333333333334,0.5202839756592292,47,11,12,5
41,Atezo,BLCA,node-norm+targets-random,2,97,0.9775784753363229,0.9998860009119926,0.6933333333333334,0.5983772819472617,46,12,11,6
42,Atezo,BLCA,targets,3,1,0.5515695067264574,0.5543775649794802,0.6266666666666667,0.5679513184584178,39,19,9,8
43,Atezo,BLCA,DiffExp,3,38,0.7533632286995515,0.8642270861833106,0.6666666666666666,0.7008113590263692,38,20,5,12
44,Atezo,BLCA,edge,3,5,0.6367713004484304,0.6747606019151847,0.5466666666666666,0.5993914807302232,31,27,7,10
45,Atezo,BLCA,edge-random,3,5,0.57847533632287,0.6217510259917921,0.5866666666666667,0.5892494929006085,34,24,7,10
46,Atezo,BLCA,node,3,2,0.5381165919282511,0.5469676242590059,0.5866666666666667,0.5851926977687627,35,23,8,9
47,Atezo,BLCA,node-random,3,2,0.6098654708520179,0.651390788873689,0.52,0.49391480730223125,32,26,10,7
48,Atezo,BLCA,node-norm,3,97,0.8340807174887892,0.9323985408116735,0.6933333333333334,0.704868154158215,41,17,6,11
