,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
16,erlotinib,BRCA,targets,16,0.7307692307692307,0.8195488721804511,0.5555555555555556,0.6428571428571428,4,3,1,1
17,erlotinib,BRCA,targets,17,0.7307692307692307,0.8421052631578947,0.5555555555555556,0.6428571428571428,4,3,1,1
18,erlotinib,BRCA,targets,18,0.6153846153846154,0.6691729323308271,1.0,1.0,7,0,0,2
19,erlotinib,BRCA,targets,19,0.6923076923076923,0.736842105263158,0.6666666666666666,0.8571428571428572,5,2,1,1
20,erlotinib,BRCA,targets,20,0.6538461538461539,0.8120300751879699,0.7777777777777778,0.8571428571428572,7,0,2,0
21,erlotinib,BRCA,targets,21,0.6923076923076923,0.7142857142857143,0.7777777777777778,0.9285714285714286,6,1,1,1
22,erlotinib,BRCA,targets,22,0.7307692307692307,0.774436090225564,0.6666666666666666,0.7857142857142857,5,2,1,1
23,erlotinib,BRCA,targets,23,0.6538461538461539,0.7894736842105263,0.7777777777777778,0.8571428571428572,6,1,1,1
24,erlotinib,BRCA,targets,24,0.7692307692307693,0.8421052631578947,0.5555555555555556,0.6428571428571428,4,3,1,1
25,erlotinib,BRCA,targets,25,0.6923076923076923,0.8045112781954887,0.6666666666666666,0.7857142857142857,6,1,2,0
26,erlotinib,BRCA,targets,26,0.6923076923076923,0.8045112781954887,0.6666666666666666,0.6428571428571428,4,3,0,2
27,erlotinib,BRCA,targets,27,0.7307692307692307,0.7443609022556391,0.6666666666666666,0.7142857142857143,5,2,1,1
28,erlotinib,BRCA,targets,28,0.7307692307692307,0.7443609022556391,0.7777777777777778,0.9285714285714286,6,1,1,1
29,erlotinib,BRCA,targets,29,0.7307692307692307,0.7894736842105263,0.6666666666666666,0.7142857142857143,5,2,1,1
30,erlotinib,BRCA,targets,30,0.7692307692307693,0.8421052631578948,0.5555555555555556,0.4285714285714286,5,2,2,0
31,erlotinib,BRCA,targets,31,0.7307692307692307,0.774436090225564,0.7777777777777778,0.7857142857142857,6,1,1,1
32,erlotinib,BRCA,targets,32,0.7692307692307693,0.8345864661654137,0.5555555555555556,0.4285714285714286,5,2,2,0
33,erlotinib,BRCA,targets,33,0.6923076923076923,0.774436090225564,0.7777777777777778,0.7857142857142857,6,1,1,1
34,erlotinib,BRCA,targets,34,0.7307692307692307,0.7819548872180451,0.6666666666666666,0.7857142857142857,5,2,1,1
35,erlotinib,BRCA,targets,35,0.7692307692307693,0.8646616541353384,0.5555555555555556,0.4285714285714286,5,2,2,0
36,erlotinib,BRCA,targets,36,0.6538461538461539,0.7744360902255639,0.6666666666666666,0.7142857142857143,5,2,1,1
37,erlotinib,BRCA,targets,37,0.7692307692307693,0.849624060150376,0.5555555555555556,0.2857142857142857,5,2,2,0
38,erlotinib,BRCA,targets,38,0.7307692307692307,0.8345864661654135,0.5555555555555556,0.8571428571428572,3,4,0,2
39,erlotinib,BRCA,targets,39,0.7692307692307693,0.8646616541353382,0.5555555555555556,0.4285714285714286,5,2,2,0
40,erlotinib,BRCA,targets,40,0.7307692307692307,0.7969924812030076,0.5555555555555556,0.7142857142857143,5,2,2,0
41,erlotinib,BRCA,targets,41,0.7307692307692307,0.7518796992481204,0.6666666666666666,0.7857142857142857,5,2,1,1
42,erlotinib,BRCA,targets,42,0.7307692307692307,0.7669172932330828,0.6666666666666666,0.7857142857142857,5,2,1,1
43,erlotinib,BRCA,targets,43,0.7307692307692307,0.774436090225564,0.6666666666666666,0.7857142857142857,5,2,1,1
44,erlotinib,BRCA,targets,44,0.6923076923076923,0.8045112781954886,0.4444444444444444,0.7142857142857143,3,4,1,1
45,erlotinib,BRCA,targets,45,0.7692307692307693,0.7894736842105263,0.5555555555555556,0.7857142857142857,4,3,1,1
46,erlotinib,BRCA,targets,46,0.7307692307692307,0.81203007518797,0.5555555555555556,0.7142857142857143,4,3,1,1
47,erlotinib,BRCA,targets,47,0.7692307692307693,0.7969924812030076,0.5555555555555556,0.7857142857142857,4,3,1,1
48,erlotinib,BRCA,targets,48,0.7307692307692307,0.7894736842105263,0.6666666666666666,0.7857142857142857,4,3,0,2
49,erlotinib,BRCA,targets,49,0.6538461538461539,0.7293233082706767,0.7777777777777778,1.0,5,2,0,2
50,erlotinib,BRCA,node,0,0.5769230769230769,0.5864661654135339,0.4444444444444444,0.5714285714285714,3,4,1,1
