,Edge,U,pval,adj_pvals
224,BUB1B;RANBP2,52.0,0.26608350410710013,0.9021004489013115
225,BUB1B;CLIP1,61.5,0.5688364963789199,1.0
226,BUB1B;TRIM33,59.0,0.47633638179044424,0.988698424344685
227,BUB1B;FEN1,59.5,0.4910117972641752,0.9904710206177333
228,BUB1B;BRCA2,58.5,0.454181187549453,0.9811879930671651
229,BUB1B;UBR5,58.5,0.45791300074161345,0.9811879930671651
230,BUB1B;BCOR,61.5,0.5667131153470094,1.0
231,BUB1B;PPP2R1A,61.5,0.5663306461028778,1.0
232,BUB1B;JUN,61.0,0.546845469280794,1.0
233,BUB1B;STIL,64.5,0.6850906684104092,1.0
234,BUB1B;BRCA1,60.5,0.527020952396827,1.0
235,BUB1B;CHEK2,56.0,0.3733179950677715,0.9557449682802966
236,BUB1B;NUMA1,68.5,0.8639373755032329,1.0
237,BUB1B;KNL1,66.5,0.7736649010720185,1.0
238,BUB1B;EML4,64.5,0.6881657434246882,1.0
239,BUB1B;XPO1,54.0,0.3146331111872026,0.9254765641425997
240,BUB1B;NUP98,68.0,0.8407994734200166,1.0
241,TRRAP;MLLT1,48.5,0.18412152992673592,0.8182366639714753
242,TRRAP;KAT7,50.5,0.19107591521052847,0.8234625879003528
243,TRRAP;EP300,29.0,0.013150673723999003,0.541014849160106
244,TRRAP;BRD4,37.5,0.04629381725458495,0.6444608208043728
245,TRRAP;KAT6A,40.5,0.0645467706821674,0.6746790337103465
246,TRRAP;NCOR1,46.5,0.14589732495376323,0.7908425267001691
247,TRRAP;TP53,37.0,0.04686804014908645,0.6444608208043728
248,TRRAP;ATM,35.0,0.03128123676425028,0.5963552709111086
249,TRRAP;JAZF1,46.5,0.1515078327239717,0.7934762879584559
250,TRRAP;KAT6B,51.5,0.22712286917817315,0.8626968452490691
251,TRRAP;KMT2D,44.0,0.10694484779136935,0.7501700675708067
252,TRRAP;MAX,44.5,0.11369754000965683,0.7501700675708067
253,TRRAP;MED12,29.5,0.0145050653919595,0.5483502761352257
254,TRRAP;TFPT,52.0,0.26137773691050403,0.9004978066590333
255,TRRAP;MYC,28.5,0.012555947803387979,0.5312025008602386
256,TRRAP;CHD4,37.0,0.046386593281398644,0.6444608208043728
257,TRRAP;CTNNB1,35.0,0.035858081283799303,0.613535060498034
258,TRRAP;MTOR,39.5,0.06333558175117734,0.6735423841013557
259,TRRAP;NCOR2,36.0,0.037626105310522795,0.6303529036697637
260,TRRAP;MLLT3,39.5,0.05612705425528519,0.6596302991615803
261,CHIC2;FIP1L1,44.5,0.12116976192625846,0.7629870460560313
262,CHIC2;ETV6,69.5,0.9094328530059914,1.0
263,ZRSR2;DNMT3A,62.0,0.5807764534447072,1.0
264,ZRSR2;TP53,54.0,0.31616213195334764,0.9254765641425997
265,ZRSR2;U2AF1,53.5,0.2962698714842864,0.916323897708448
266,ZRSR2;NPM1,59.0,0.47382788565401357,0.988698424344685
