,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,409.5,0.6167991618000422,1.0
114,ASXL1;SUZ12,321.5,0.36543627346313445,1.0
115,ASXL1;EZH2,242.5,0.029311055024185774,0.9414485580874371
116,ASXL1;EED,311.5,0.2854135061567624,1.0
117,ASXL1;ASXL2,255.5,0.048637654039897026,0.9414485580874371
118,ASXL1;BAP1,275.5,0.09930811719232999,1.0
119,ASXL1;SRSF2,245.0,0.032430049960986876,0.9414485580874371
120,ASXL1;IDH1,343.5,0.5832777408489851,1.0
121,NACA;RPL22,378.5,1.0,1.0
122,NACA;RPL5,426.5,0.4370575288468449,1.0
123,NACA;RPL10,387.0,0.8901702584049964,1.0
124,EML4;PLCG1,576.5,0.0013872199364709573,0.3573478556349186
125,EML4;KRAS,569.0,0.0020891403474799985,0.3844018239363197
126,EML4;PIK3CA,558.5,0.0036557708520047927,0.5885791071727716
127,EML4;NPM1,593.0,0.0005383789480854365,0.23807647965206893
128,EML4;KIF5B,604.5,0.0002656825501521482,0.23807647965206893
129,EML4;NRAS,589.5,0.0006546851260841426,0.23807647965206893
130,EML4;JAK1,531.0,0.013753873398178343,0.92943901589412
131,EML4;PIK3R1,551.0,0.005346047292935939,0.6608643559231656
132,EML4;HRAS,587.5,0.0007393679492300277,0.23807647965206893
133,EML4;PIK3CB,542.0,0.008256270377558638,0.7089384164197018
134,CASP9;MDM2,313.5,0.3018413312594078,1.0
135,CASP9;BAX,314.5,0.30933691099446525,1.0
136,CASP9;FADD,312.0,0.290645554659527,1.0
137,CASP9;CASP3,326.0,0.4059825823159179,1.0
138,CASP9;CASP8,332.5,0.46786862184001954,1.0
139,CASP9;AKT1,319.0,0.3452908099628459,1.0
140,CASP9;AKT2,328.0,0.4245534562927952,1.0
141,CASP9;BIRC6,343.0,0.5777628326008978,1.0
142,KDM5C;SETD2,461.5,0.17994167791824278,1.0
143,KDM5C;PBRM1,394.0,0.802462729265852,1.0
144,GNAS;SRC,337.5,0.5179764272133787,1.0
145,GNAS;PRKAR1A,281.5,0.11861751430682138,1.0
146,APC;AXIN1,375.0,0.9678259612567983,1.0
147,APC;TBL1XR1,298.5,0.2023039734194253,1.0
148,APC;CTNNB1,384.0,0.9292877904645603,1.0
149,APC;CTNNA1,412.0,0.588895058240103,1.0
150,SUFU;CUL3,454.5,0.22016021586646484,1.0
151,SUFU;PRKACA,428.0,0.4245663279599945,1.0
152,MSH2;PMS2,447.5,0.26397573030709875,1.0
153,MSH2;POLD1,467.0,0.15091370190276207,1.0
