,Edge,U,pval,adj_pvals
1040,KIFC1/NUSAP1,7783.0,0.9531465773416515,0.97108041131284
1041,KIFC1/HJURP,7926.5,0.8641581646756862,0.9140241580596152
1042,KIFC1/CCNA2,8678.0,0.16910108541196978,0.2994175182065153
1043,KIFC1/GTSE1,7672.0,0.8124949192019288,0.8818378530934596
1044,MPHOSPH9/RAD51,6147.5,0.0073670448064009405,0.038041134955775296
1045,CEP72/PLK1,7053.0,0.21945869603631318,0.3602113902227103
1046,ACVR1/TGFBR2,6575.0,0.046150959708185335,0.11922936913587094
1047,CIP2A/KIF11,6817.0,0.10813066018241968,0.21752096631423604
1048,CIP2A/SMC2,6752.0,0.08711990047831043,0.1869459734920448
1049,CIP2A/PLK1,7496.5,0.604744838514374,0.7273342430959168
1050,SNRPD1/HNRNPL,7889.0,0.9124954022892385,0.94334305913026
1051,SNRPD1/SNRNP40,7274.0,0.3803463769663994,0.5323875694653397
1052,SNRPD1/SNRNP25,7718.5,0.8713003819747933,0.9195035552458337
1053,SNRPD1/BCAS2,7999.5,0.7738831671585451,0.8546316632269224
1054,SNRPD1/LSM3,7160.0,0.2890770784579735,0.4366767469708153
1055,SNRPD1/SF3B3,8006.0,0.7639870816343071,0.8479843081333428
1056,SNRPD1/SF3B2,7507.5,0.6139625227514682,0.7346502688357284
1057,SNRPD1/MAGOHB,7758.0,0.9213084589721663,0.9490778819113587
1058,SNRPD1/HTATSF1,7592.5,0.7152581062033787,0.811496775081215
1059,SNRPD1/SCNM1,7984.0,0.7929803065775061,0.868123791898242
1060,SNRPD1/RBM8A,7421.5,0.5226451782692876,0.6592844405619117
1061,SNRPD1/LSM1,7800.0,0.9750705419643305,0.985584241585018
1062,SNRPD1/USP39,7591.0,0.7136725383855931,0.811496775081215
1063,SNRPD1/DHX9,7432.0,0.5342554111516101,0.666944732136409
1064,SNRPD1/HNRNPM,7107.5,0.2534499771816745,0.3978318919324727
1065,SNRPD1/HNRNPA2B1,7087.5,0.24015909212695075,0.3847690548380865
1066,SNRPD1/SLBP,6810.5,0.10582660470636979,0.21459647097750265
1067,SNRPD1/LSM5,7414.5,0.5151177698926853,0.6535581604864271
1068,RRM2/TRIP13,7722.0,0.8751316315530517,0.9220638674134755
1069,RRM2/CDC6,8211.5,0.5287718115269773,0.6636956058224991
1070,RRM2/MYBL2,7416.0,0.5168313100497148,0.6552254746032127
1071,RRM2/RAD51AP1,7947.0,0.8387134028683336,0.8981131445205622
1072,RRM2/FBXO5,7073.0,0.23045196364223075,0.37320478416098674
1073,RRM2/NCAPG,8603.5,0.20712245845815425,0.3475264817292362
1074,RRM2/KIF23,8277.0,0.4624768018328551,0.6067118699774481
1075,RRM2/KIF11,9107.5,0.03869386959876022,0.1051639006148192
1076,RRM2/LMNB1,8871.0,0.09226965110953278,0.1950585853592915
1077,RRM2/NDC80,7804.0,0.9801024687419158,0.9889271362986178
1078,RRM2/MCM4,8036.5,0.7285040268860713,0.8220739457548221
1079,RRM2/MCM2,8214.5,0.5271579586419055,0.6627669820104856
1080,RRM2/NUF2,8434.5,0.32324431170241086,0.4736777966483296
1081,RRM2/BUB1B,8319.5,0.42028349441358615,0.568639235122052
1082,RRM2/CCNB2,8541.0,0.24425968560207156,0.38884814578379273
1083,RRM2/PLK1,8735.0,0.14240243371454855,0.26366951750419515
1084,RRM2/TPX2,8120.0,0.6267781270568982,0.7418206591319096
1085,RRM2/FEN1,8779.0,0.12424773919713607,0.2403636982935162
1086,RRM2/SHCBP1,7730.0,0.8855759180773762,0.9300814939858744
1087,RRM2/MCM7,8339.5,0.4044994587631122,0.5550659657891138
1088,RRM2/FANCI,7316.5,0.4187788266964475,0.5673052561482429
1089,RRM2/AURKB,8560.5,0.23484015171445627,0.37825750504424693
1090,RRM2/TYMS,8405.0,0.3479076490303157,0.4989007851697839
1091,RRM2/EZH2,7749.0,0.9100318070440275,0.9424919062220499
1092,RRM2/SPAG5,8104.5,0.6477541836607845,0.7580066450446864
1093,RRM2/KIF15,7879.0,0.9251080508805543,0.9516394360056174
1094,RRM2/UBE2C,7938.0,0.8489374977014342,0.9046326501975984
1095,RRM2/PRIM1,6962.0,0.1687259922264409,0.2989146762931709
1096,RRM2/RAD54L,7276.0,0.38214001529791,0.5344734471790775
1097,RRM2/ECT2,7827.5,0.990993352334547,0.9934726350981248
1098,RRM2/SLBP,7669.5,0.809913013854338,0.8796175433485875
1099,RRM2/HJURP,8092.0,0.6622447978773649,0.7710522291822691
1100,RRM2/CCNA2,8860.5,0.09507266299610266,0.19868369891096357
1101,RRM2/MCM10,8114.0,0.636689511694132,0.7484694689603895
1102,RRM2/RACGAP1,7617.0,0.7439492438480871,0.8327865810527376
1103,RRM2/RFC4,8039.0,0.7257319879190278,0.8199471943396454
1104,RRM2/RAD51,9119.0,0.037373012941342064,0.10254310594298288
1105,RRM2/TFDP1,6844.5,0.1172562785393773,0.22995687381213203
1106,RRM2/CDK1,8946.0,0.0709356539601097,0.16128889857458067
1107,RRM2/NUSAP1,8139.5,0.6062673555184346,0.7286312063941333
1108,RRM2/CCNE2,7688.5,0.8334586415197549,0.894822579458873
1109,RRM2/KIF14,7740.0,0.8982487277016523,0.9373899731517561
1110,RRM2/MKI67,7619.5,0.746653507799202,0.8349591544271241
1111,RRM2/PCNA,8431.0,0.32740427100433456,0.47827845644043704
1112,RRM2/CEP55,8156.0,0.5890303553925311,0.7150156676869015
1113,RRM2/UHRF1,8315.5,0.42739647982119866,0.5756518268856128
1114,RRM2/TTK,8471.5,0.29428483950463435,0.4421009882851215
1115,RRM2/KIF4A,7949.0,0.8360245477041068,0.8972837883602142
1116,RRM2/NCAPG2,8437.5,0.3213961695269931,0.47181245289398854
1117,RRM2/EXO1,8429.5,0.32689025603484323,0.4779110374947966
1118,RRM2/GTSE1,6761.5,0.0888675413942582,0.18958023622533235
1119,RRM2/PRC1,7295.0,0.3957840187039522,0.5455128494559456
1120,RRM2/DTL,9110.0,0.03865201395620463,0.1051639006148192
1121,RRM2/CENPF,7889.5,0.9114758433991077,0.94334305913026
1122,UBE2C/PSMC4,8261.5,0.4798063191666251,0.6234631814596819
1123,UBE2C/TRIP13,7311.5,0.41273830410600554,0.5625254191393078
1124,UBE2C/CDC6,8018.0,0.7508754396953478,0.8376818489086828
1125,UBE2C/MYBL2,7420.0,0.5210834309222039,0.6583268143456877
1126,UBE2C/RAD51AP1,7620.5,0.7489233780548561,0.8363339599944736
1127,UBE2C/FBXO5,6652.0,0.060867770587038905,0.14367421244321915
1128,UBE2C/NCAPG,8234.5,0.5046351846055706,0.6452486518670604
1129,UBE2C/TROAP,7367.5,0.46774100969509536,0.610930833124844
1130,UBE2C/KIF23,8361.0,0.38456741626231794,0.535099954519366
1131,UBE2C/KIF11,8513.5,0.2655430977501346,0.4103849185517741
1132,UBE2C/NDC80,7577.0,0.6959172668591384,0.7994763839512721
1133,UBE2C/MCM4,7635.5,0.7676596361506215,0.8506218393144847
1134,UBE2C/UBE2S,8295.5,0.4464293557847311,0.5922906252849587
1135,UBE2C/NUF2,8091.0,0.6628340534950896,0.7714645368986836
1136,UBE2C/SKP2,7592.0,0.7152019585883107,0.811496775081215
1137,UBE2C/SMC2,7159.5,0.2892893427391373,0.436796287863373
