iter,source drug,target drug,geneset,source tissue,target tissue,pval,Test Accuracy,Test ROC_AUC
29,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5012121212121212,0.5079699248120302
30,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.6018181818181818,0.6160902255639098
31,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5333333333333332,0.5203759398496239
32,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5230303030303031,0.5047368421052633
33,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.566060606060606,0.5780451127819548
34,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.4896969696969697,0.47661654135338344
35,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5181818181818181,0.5344360902255639
36,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.513939393939394,0.526842105263158
37,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5624242424242424,0.5738345864661654
38,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5781818181818182,0.5936090225563909
39,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5945454545454545,0.6042105263157894
40,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5333333333333333,0.5163157894736843
41,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.4981818181818181,0.5175187969924813
42,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.6084848484848484,0.6214285714285714
43,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.48484848484848486,0.47097744360902255
44,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5787878787878787,0.5960902255639098
45,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5357575757575757,0.5233082706766917
46,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5006060606060606,0.4965413533834586
47,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5327272727272727,0.5227067669172932
48,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5690909090909091,0.5947368421052631
49,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5175757575757576,0.5033082706766918
