,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
15,Ipi+Pembro,SKCM,targets,15,0.5555555555555556,0.6111111111111112,1.0,1.0,3,0,0,4
16,Ipi+Pembro,SKCM,targets,16,0.7777777777777778,0.8472222222222223,0.42857142857142855,0.16666666666666669,2,1,3,1
17,Ipi+Pembro,SKCM,targets,17,0.6666666666666666,0.763888888888889,0.7142857142857143,0.5,2,1,1,3
18,Ipi+Pembro,SKCM,targets,18,0.5555555555555556,0.6111111111111112,1.0,1.0,3,0,0,4
19,Ipi+Pembro,SKCM,targets,19,0.7222222222222222,0.763888888888889,0.5714285714285714,0.5,2,1,2,2
20,Ipi+Pembro,SKCM,targets,20,0.5555555555555556,0.6805555555555556,0.5714285714285714,0.75,1,2,1,3
21,Ipi+Pembro,SKCM,targets,21,0.6111111111111112,0.6944444444444445,0.8571428571428571,0.9166666666666667,2,1,0,4
22,Ipi+Pembro,SKCM,targets,22,0.5555555555555556,0.5833333333333334,0.7142857142857143,0.9166666666666667,2,1,1,3
23,Ipi+Pembro,SKCM,targets,23,0.6666666666666666,0.8194444444444444,0.2857142857142857,0.16666666666666669,2,1,4,0
24,Ipi+Pembro,SKCM,targets,24,0.7777777777777778,0.7916666666666666,0.5714285714285714,0.33333333333333337,2,1,2,2
25,Ipi+Pembro,SKCM,node,0,0.6666666666666666,0.75,0.5714285714285714,0.6666666666666667,1,2,1,3
26,Ipi+Pembro,SKCM,node,1,0.6666666666666666,0.6527777777777778,0.7142857142857143,0.6666666666666667,3,0,2,2
27,Ipi+Pembro,SKCM,node,2,0.7777777777777778,0.763888888888889,0.42857142857142855,0.6666666666666667,2,1,3,1
28,Ipi+Pembro,SKCM,node,3,0.5,0.5972222222222223,0.8571428571428571,1.0,3,0,1,3
29,Ipi+Pembro,SKCM,node,4,0.6666666666666666,0.6944444444444444,0.5714285714285714,0.5833333333333333,2,1,2,2
30,Ipi+Pembro,SKCM,node,5,0.5,0.625,0.7142857142857143,0.8333333333333334,3,0,2,2
31,Ipi+Pembro,SKCM,node,6,0.6111111111111112,0.6666666666666667,0.5714285714285714,0.75,3,0,3,1
32,Ipi+Pembro,SKCM,node,7,0.8333333333333334,0.8888888888888888,0.2857142857142857,0.41666666666666663,2,1,4,0
33,Ipi+Pembro,SKCM,node,8,0.5555555555555556,0.6527777777777777,0.7142857142857143,0.6666666666666666,3,0,2,2
34,Ipi+Pembro,SKCM,node,9,0.6666666666666666,0.6666666666666667,0.7142857142857143,0.6666666666666666,2,1,1,3
35,Ipi+Pembro,SKCM,node,10,0.6111111111111112,0.7222222222222221,0.7142857142857143,0.5833333333333334,1,2,0,4
36,Ipi+Pembro,SKCM,node,11,0.5,0.6111111111111112,0.7142857142857143,0.6666666666666666,3,0,2,2
37,Ipi+Pembro,SKCM,node,12,0.7222222222222222,0.8472222222222221,0.5714285714285714,0.4166666666666667,2,1,2,2
38,Ipi+Pembro,SKCM,node,13,0.7777777777777778,0.8333333333333334,0.42857142857142855,0.5,1,2,2,2
39,Ipi+Pembro,SKCM,node,14,0.6111111111111112,0.6805555555555555,0.5714285714285714,0.75,3,0,3,1
40,Ipi+Pembro,SKCM,node,15,0.7222222222222222,0.7083333333333333,0.42857142857142855,0.5833333333333334,2,1,3,1
41,Ipi+Pembro,SKCM,node,16,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.5,2,1,1,3
42,Ipi+Pembro,SKCM,node,17,0.6666666666666666,0.7777777777777777,0.7142857142857143,0.5,2,1,1,3
43,Ipi+Pembro,SKCM,node,18,0.5555555555555556,0.6666666666666666,0.7142857142857143,0.6666666666666667,3,0,2,2
44,Ipi+Pembro,SKCM,node,19,0.6666666666666666,0.7083333333333333,0.7142857142857143,0.6666666666666667,2,1,1,3
45,Ipi+Pembro,SKCM,node,20,0.6111111111111112,0.7222222222222222,0.5714285714285714,0.5833333333333334,3,0,3,1
46,Ipi+Pembro,SKCM,node,21,0.6111111111111112,0.763888888888889,0.7142857142857143,0.6666666666666667,2,1,1,3
47,Ipi+Pembro,SKCM,node,22,0.5555555555555556,0.6666666666666667,0.7142857142857143,0.75,3,0,2,2
48,Ipi+Pembro,SKCM,node,23,0.6666666666666666,0.75,0.42857142857142855,0.5833333333333334,2,1,3,1
49,Ipi+Pembro,SKCM,node,24,0.5,0.6111111111111112,0.8571428571428571,1.0,3,0,1,3
