,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
92,Ipi+Pembro,SKCM,edge+targets,6,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
93,Ipi+Pembro,SKCM,edge+targets-random,6,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
94,Ipi+Pembro,SKCM,node+targets,6,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
95,Ipi+Pembro,SKCM,node+targets-random,6,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
96,Ipi+Pembro,SKCM,node-norm+targets,6,66,1.0,1.0,0.7142857142857143,0.9166666666666667,2,1,1,3
97,Ipi+Pembro,SKCM,node-norm+targets-random,6,66,1.0,1.0,1.0,1.0,3,0,0,4
98,Ipi+Pembro,SKCM,targets,7,2,0.7222222222222222,0.75,0.42857142857142855,0.41666666666666663,2,1,3,1
99,Ipi+Pembro,SKCM,DiffExp,7,31,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
100,Ipi+Pembro,SKCM,edge,7,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
101,Ipi+Pembro,SKCM,edge-random,7,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
102,Ipi+Pembro,SKCM,node,7,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
103,Ipi+Pembro,SKCM,node-random,7,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
104,Ipi+Pembro,SKCM,node-norm,7,66,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
105,Ipi+Pembro,SKCM,node-norm-random,7,66,1.0,1.0,0.8571428571428571,0.8333333333333334,3,0,1,3
106,Ipi+Pembro,SKCM,edge+targets,7,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
107,Ipi+Pembro,SKCM,edge+targets-random,7,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
108,Ipi+Pembro,SKCM,node+targets,7,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
109,Ipi+Pembro,SKCM,node+targets-random,7,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
110,Ipi+Pembro,SKCM,node-norm+targets,7,66,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
111,Ipi+Pembro,SKCM,node-norm+targets-random,7,66,1.0,1.0,0.7142857142857143,0.9166666666666667,3,0,2,2
112,Ipi+Pembro,SKCM,targets,8,2,0.6111111111111112,0.6666666666666667,0.8571428571428571,1.0,3,0,1,3
113,Ipi+Pembro,SKCM,DiffExp,8,31,1.0,1.0,1.0,1.0,3,0,0,4
114,Ipi+Pembro,SKCM,edge,8,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
115,Ipi+Pembro,SKCM,edge-random,8,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
116,Ipi+Pembro,SKCM,node,8,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
117,Ipi+Pembro,SKCM,node-random,8,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
118,Ipi+Pembro,SKCM,node-norm,8,66,1.0,1.0,0.8571428571428571,0.9166666666666667,2,1,0,4
119,Ipi+Pembro,SKCM,node-norm-random,8,66,1.0,1.0,0.8571428571428571,0.9166666666666667,2,1,0,4
120,Ipi+Pembro,SKCM,edge+targets,8,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
121,Ipi+Pembro,SKCM,edge+targets-random,8,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
122,Ipi+Pembro,SKCM,node+targets,8,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
123,Ipi+Pembro,SKCM,node+targets-random,8,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
124,Ipi+Pembro,SKCM,node-norm+targets,8,66,1.0,1.0,0.8571428571428571,0.9166666666666667,2,1,0,4
125,Ipi+Pembro,SKCM,node-norm+targets-random,8,66,1.0,1.0,1.0,1.0,3,0,0,4
126,Ipi+Pembro,SKCM,targets,9,2,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.5,1,2,0,4
127,Ipi+Pembro,SKCM,DiffExp,9,31,1.0,1.0,1.0,1.0,3,0,0,4
128,Ipi+Pembro,SKCM,edge,9,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
