,Edge,U,pval,adj_pvals
182,NRAS;ATM,2644.0,0.3860018559701337,1.0
183,NRAS;GNAQ,2645.5,0.3889388526826888,1.0
184,NRAS;PPARG,2717.0,0.54183465804834,1.0
185,NRAS;ARAF,2808.0,0.771691402509108,1.0
186,NRAS;NPM1,2646.0,0.3899166807594049,1.0
187,NRAS;RUNX1,2690.0,0.480832101479878,1.0
188,NRAS;MAP2K1,2801.0,0.7528748445408389,1.0
189,NRAS;ZRSR2,2817.0,0.796022197573186,1.0
190,NRAS;MET,2773.0,0.6794246904771439,1.0
191,NRAS;EZH2,2722.5,0.5547064955961395,1.0
192,NRAS;ARID1A,2794.5,0.735655774779217,1.0
193,NRAS;EML4,2753.0,0.6287877328603475,1.0
194,NRAS;PPP2R1A,2761.5,0.6500969650851115,1.0
195,NRAS;STK11,2793.5,0.7329438532425276,1.0
196,NRAS;PHF6,2687.5,0.4753021591613912,1.0
197,NRAS;IDH2,2767.0,0.6639762580550124,1.0
198,NRAS;HSP90AA1,2757.5,0.6400156826228143,1.0
199,NRAS;RAP1GDS1,2678.0,0.455021818743783,1.0
200,NRAS;SMAD4,2744.5,0.607715818038167,1.0
201,NRAS;AKAP9,2709.5,0.5245669615709089,1.0
202,NRAS;NF1,2830.0,0.8314493919960313,1.0
203,NRAS;MTOR,2650.0,0.3976732583564122,1.0
204,NRAS;BRAF,2750.0,0.621142843046738,1.0
205,NRAS;GNAS,2796.0,0.7395635679701418,1.0
206,NRAS;AKT1,2779.5,0.6962578321359117,1.0
207,NRAS;PIK3R1,2636.0,0.3707578991183629,1.0
208,NRAS;EIF1AX,2463.0,0.13291472806903887,1.0
209,NRAS;VAV1,2727.0,0.5653886660111086,1.0
210,NRAS;FGFR1,2658.5,0.41459263613046704,1.0
211,NRAS;RAF1,2798.0,0.7449153948847049,1.0
212,NRAS;HSP90AB1,2799.5,0.7489692984182759,1.0
213,NRAS;PIK3CB,2655.5,0.40866323171726304,1.0
214,NRAS;SRC,2595.5,0.2993848993659751,1.0
215,NRAS;FBXW7,2867.5,0.9355239454955606,1.0
216,NRAS;PTPN11,2689.0,0.47846796613734477,1.0
217,NRAS;TET2,2772.5,0.6780535998655688,1.0
218,NRAS;PTEN,2782.5,0.7040324024992467,1.0
219,NRAS;LZTR1,2863.0,0.9229724771521564,1.0
220,NRAS;ETV6,2605.5,0.3163535721719153,1.0
221,NRAS;CTNNB1,2692.5,0.48626373189109773,1.0
222,NRAS;ARHGEF12,2678.0,0.4549139721817369,1.0
223,NRAS;LYN,2591.5,0.2930241967932078,1.0
224,NRAS;ATP1A1,2858.0,0.9090498454441157,1.0
225,NRAS;ASXL1,2649.5,0.3966730832238461,1.0
226,NRAS;ABL1,2592.0,0.2937869546068138,1.0
227,NRAS;JAK1,2696.0,0.49392052428826805,1.0
228,NRAS;MITF,2685.5,0.47099995912103143,1.0
229,NRAS;JAK3,2747.0,0.6138905155321837,1.0
230,NRAS;SYK,2664.0,0.4258152502351963,1.0
231,NRAS;IDH1,2696.5,0.49499876389077,1.0
232,NRAS;JAK2,2735.5,0.5856321201605381,1.0
233,NRAS;MYC,2653.0,0.40366982469929114,1.0
234,NRAS;HRAS,2741.5,0.5998527520287216,1.0
235,NRAS;MAP3K1,2722.5,0.5545834355784817,1.0
236,NRAS;RALGDS,2816.0,0.7932985489860142,1.0
237,NRAS;SETBP1,2552.0,0.23399860632007208,1.0
238,NRAS;SRSF2,2645.0,0.3880640431611222,1.0
239,CHD4;KAT7,2711.5,0.5271644240470592,1.0
240,CHD4;EP300,2730.5,0.5691927784290218,1.0
241,CHD4;BRD4,2632.5,0.3569808045881532,1.0
242,CHD4;NCOR1,2637.5,0.3656951030197436,1.0
243,CHD4;TP53,2713.5,0.529767302395908,1.0
244,CHD4;NONO,2683.5,0.46458358668736555,1.0
245,CHD4;ATM,2705.0,0.5100959287552924,1.0
246,CHD4;NAB2,3003.0,0.6945218694710694,1.0
247,CHD4;BRD3,2753.0,0.6255352781707675,1.0
248,CHD4;SUZ12,2828.0,0.8240666867889436,1.0
249,CHD4;EZH2,2787.5,0.7139255531913988,1.0
250,CHD4;ARID1A,2924.5,0.9059455654436039,1.0
251,CHD4;ZMYM3,2618.0,0.3367329687403977,1.0
252,CHD4;SMARCE1,2806.0,0.7649037416204505,1.0
253,CHD4;IKZF1,2234.0,0.020554558519645123,0.9152519648765606
254,CHD4;EED,2727.5,0.5632562916847595,1.0
255,CHD4;ATR,2823.5,0.8127634724895548,1.0
256,CHD4;SMARCA4,2897.0,0.9843462837018954,1.0
257,CHD4;SFPQ,2618.0,0.3360716867641198,1.0
258,CHD4;TRIM33,2554.0,0.23543361031650767,1.0
259,CHD4;TRRAP,2477.5,0.1429517748634157,1.0
260,CHD4;TOP1,2771.5,0.6718672405174537,1.0
261,CHD4;JUN,2799.0,0.7455132484727163,1.0
262,CHD4;SPEN,2802.5,0.7562468229312106,1.0
263,CHD4;TRIM27,2840.0,0.8584739458168957,1.0
264,CHD4;NUMA1,2537.0,0.21122722846774422,1.0
265,CHD4;SMARCD1,2888.0,0.9929265266140181,1.0
266,CHD4;PBRM1,2813.5,0.784404433757511,1.0
267,CHD4;KMT2A,2685.0,0.4653019581930139,1.0
268,CHD4;FBXW7,2823.0,0.8106913486249876,1.0
269,CHD4;MYC,2682.0,0.4592736807937593,1.0
270,CHD4;CTCF,2876.0,0.9588501803444301,1.0
271,CHD4;ZFHX3,2901.0,0.9733288753746575,1.0
272,MAX;MSH2,3542.5,0.021196642125512994,0.9152519648765606
273,MAX;TMEM127,3548.0,0.020528635540758972,0.9152519648765606
274,MAX;EP300,3628.0,0.008896002319179972,0.7683563293420766
275,MAX;EPAS1,3537.5,0.02133939335824938,0.9152519648765606
276,MAX;SMAD3,3639.5,0.008206247163758717,0.7390531869625201
277,MAX;MEN1,3608.0,0.011111973270460752,0.8802270154644928
278,MAX;FOXO3,3681.5,0.0049904454659237514,0.6062707139264758
279,MAX;KMT2A,3639.0,0.007919250167454029,0.7390531869625201
280,MAX;MYC,3445.0,0.04940882517311721,1.0
281,MAX;TRRAP,3484.5,0.03583109649520487,1.0
282,ZRSR2;STAG2,3119.0,0.42028862756834007,1.0
283,ZRSR2;DNMT3A,3151.0,0.3606015063324941,1.0
284,ZRSR2;TP53,3156.5,0.3510728203318604,1.0
285,ZRSR2;NPM1,3141.5,0.3787717548502021,1.0
286,ZRSR2;RUNX1,3084.5,0.4968265752628984,1.0
287,ZRSR2;SH2B3,3722.0,0.003430431110520608,0.546332097182518
288,ZRSR2;SF3B1,3739.5,0.0028641268123280697,0.4947548090328004
289,ZRSR2;TET2,3029.0,0.6270845769006357,1.0
290,ZRSR2;IDH2,3271.0,0.1813274420893053,1.0
291,ZRSR2;IDH1,3195.0,0.2851525595169583,1.0
292,ZRSR2;PTPN11,3077.5,0.5122913123042997,1.0
293,ZRSR2;JAK2,3037.5,0.6072235773963617,1.0
