drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,14,663,1.0,1.0,0.6190476190476191,0.6684350132625996,21,8,8,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,15,663,1.0,1.0,0.6904761904761905,0.596875,27,5,8,2
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,16,663,1.0,1.0,0.5952380952380952,0.54375,22,10,7,3
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,17,663,1.0,1.0,0.7619047619047619,0.6835016835016835,28,5,5,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,18,663,1.0,1.0,0.5714285714285714,0.5035294117647058,19,6,12,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,19,663,1.0,1.0,0.6666666666666666,0.6148148148148148,22,5,9,6
Atezo,BLCA,KIRC,strict,edge,0.05,0,527,0.992,1.0,0.7142857142857143,0.7836538461538461,22,4,8,8
Atezo,BLCA,KIRC,strict,edge,0.05,1,527,1.0,1.0,0.6190476190476191,0.6049382716049383,21,6,10,5
Atezo,BLCA,KIRC,strict,edge,0.05,2,527,1.0,1.0,0.5714285714285714,0.6233421750663131,17,12,6,7
Atezo,BLCA,KIRC,strict,edge,0.05,3,527,1.0,1.0,0.6190476190476191,0.6760204081632653,23,5,11,3
Atezo,BLCA,KIRC,strict,edge,0.05,4,527,1.0,1.0,0.6190476190476191,0.6125,23,9,7,3
Atezo,BLCA,KIRC,strict,edge,0.05,5,527,0.992,1.0,0.6904761904761905,0.7055555555555556,21,9,4,8
Atezo,BLCA,KIRC,strict,edge,0.05,6,527,0.992,1.0,0.6904761904761905,0.584375,26,6,7,3
Atezo,BLCA,KIRC,strict,edge,0.05,7,527,1.0,1.0,0.7142857142857143,0.6944444444444445,23,7,5,7
Atezo,BLCA,KIRC,strict,edge,0.05,8,527,0.992,1.0,0.7380952380952381,0.6480938416422288,25,6,5,6
Atezo,BLCA,KIRC,strict,edge,0.05,9,527,1.0,1.0,0.5238095238095238,0.5806451612903226,18,13,7,4
Atezo,BLCA,KIRC,strict,edge,0.05,10,527,1.0,1.0,0.6428571428571429,0.5183823529411765,25,9,6,2
Atezo,BLCA,KIRC,strict,edge,0.05,11,527,1.0,1.0,0.5714285714285714,0.5509259259259259,14,10,8,10
Atezo,BLCA,KIRC,strict,edge,0.05,12,527,1.0,1.0,0.7142857142857143,0.6617647058823529,25,9,3,5
Atezo,BLCA,KIRC,strict,edge,0.05,13,527,0.992,1.0,0.6190476190476191,0.5816326530612245,19,9,7,7
Atezo,BLCA,KIRC,strict,edge,0.05,14,527,0.992,1.0,0.7142857142857143,0.7038123167155426,26,5,7,4
Atezo,BLCA,KIRC,strict,edge,0.05,15,527,1.0,1.0,0.6190476190476191,0.5219941348973607,22,9,7,4
Atezo,BLCA,KIRC,strict,edge,0.05,16,527,1.0,1.0,0.7142857142857143,0.6099706744868035,24,7,5,6
Atezo,BLCA,KIRC,strict,edge,0.05,17,527,0.992,1.0,0.6190476190476191,0.5517241379310345,22,7,9,4
Atezo,BLCA,KIRC,strict,edge,0.05,18,527,1.0,1.0,0.6190476190476191,0.6564705882352941,17,8,8,9
Atezo,BLCA,KIRC,strict,edge,0.05,19,527,1.0,1.0,0.6666666666666666,0.6070381231671554,23,8,6,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,0,527,1.0,1.0,0.6428571428571429,0.6301020408163265,23,5,10,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,1,527,1.0,1.0,0.5,0.4305555555555555,20,10,11,1
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,2,527,1.0,1.0,0.6666666666666666,0.6899038461538463,22,4,10,6
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,3,527,1.0,1.0,0.7142857142857143,0.6011730205278593,25,6,6,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,4,527,1.0,1.0,0.6904761904761905,0.6397306397306397,26,7,6,3
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,5,527,1.0,1.0,0.6666666666666666,0.6811224489795917,23,5,9,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,6,527,1.0,1.0,0.7142857142857143,0.7003367003367003,27,6,6,3
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,7,527,1.0,1.0,0.6904761904761905,0.6989795918367347,23,5,8,6
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,8,527,1.0,1.0,0.7142857142857143,0.713527851458886,23,6,6,7
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,9,527,1.0,1.0,0.5714285714285714,0.5805555555555556,21,9,9,3
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,10,527,1.0,1.0,0.7142857142857143,0.7020408163265307,27,8,4,3
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,11,527,1.0,1.0,0.6428571428571429,0.6352040816326531,22,6,9,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,12,527,1.0,1.0,0.6190476190476191,0.6397306397306397,20,13,3,6
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,13,527,1.0,1.0,0.5952380952380952,0.6392961876832844,21,10,7,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,14,527,1.0,1.0,0.7142857142857143,0.7171717171717171,26,7,5,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,15,527,1.0,1.0,0.7142857142857143,0.6047745358090186,25,4,8,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,16,527,1.0,1.0,0.5714285714285714,0.6517647058823529,20,5,13,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,17,527,1.0,1.0,0.5714285714285714,0.5790816326530612,17,11,7,7
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,18,527,1.0,1.0,0.5714285714285714,0.5950617283950618,19,8,10,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.05,19,527,1.0,1.0,0.5952380952380952,0.43265306122448977,24,11,6,1
Atezo,BLCA,KIRC,strict,node,0.1,0,235,0.992,1.0,0.6428571428571429,0.4666666666666667,25,5,10,2
Atezo,BLCA,KIRC,strict,node,0.1,1,235,1.0,1.0,0.5952380952380952,0.5790816326530613,21,7,10,4
Atezo,BLCA,KIRC,strict,node,0.1,2,235,0.984,0.9996767937944409,0.6904761904761905,0.5851851851851851,21,6,7,8
Atezo,BLCA,KIRC,strict,node,0.1,3,235,0.984,1.0,0.5476190476190477,0.6187683284457477,19,12,7,4
Atezo,BLCA,KIRC,strict,node,0.1,4,235,0.968,0.9952380952380953,0.6904761904761905,0.7704081632653061,22,6,7,7
Atezo,BLCA,KIRC,strict,node,0.1,5,235,1.0,1.0,0.5714285714285714,0.6098765432098765,19,8,10,5
Atezo,BLCA,KIRC,strict,node,0.1,6,235,0.976,1.0,0.6666666666666666,0.6233421750663131,23,6,8,5
Atezo,BLCA,KIRC,strict,node,0.1,7,235,0.992,1.0,0.6904761904761905,0.6875,22,10,3,7
Atezo,BLCA,KIRC,strict,node,0.1,8,235,0.976,0.9993412384716732,0.6190476190476191,0.6658653846153846,19,7,9,7
Atezo,BLCA,KIRC,strict,node,0.1,9,235,1.0,1.0,0.7380952380952381,0.711111111111111,24,6,5,7
Atezo,BLCA,KIRC,strict,node,0.1,10,235,1.0,1.0,0.5714285714285714,0.5069444444444444,15,9,9,9
Atezo,BLCA,KIRC,strict,node,0.1,11,235,1.0,1.0,0.5952380952380952,0.5037037037037037,20,7,10,5
Atezo,BLCA,KIRC,strict,node,0.1,12,235,0.984,0.9993857493857494,0.6904761904761905,0.6666666666666666,24,6,7,5
Atezo,BLCA,KIRC,strict,node,0.1,13,235,1.0,1.0,0.7142857142857143,0.6479591836734694,24,4,8,6
Atezo,BLCA,KIRC,strict,node,0.1,14,235,0.976,0.9991055456171736,0.6904761904761905,0.590625,25,7,6,4
Atezo,BLCA,KIRC,strict,node,0.1,15,235,0.984,0.9996825396825397,0.6190476190476191,0.5408163265306123,23,5,11,3
Atezo,BLCA,KIRC,strict,node,0.1,16,235,0.952,1.0,0.6428571428571429,0.6298076923076923,20,6,9,7
Atezo,BLCA,KIRC,strict,node,0.1,17,235,1.0,1.0,0.5952380952380952,0.6530612244897959,19,9,8,6
Atezo,BLCA,KIRC,strict,node,0.1,18,235,1.0,1.0,0.6428571428571429,0.6000000000000001,22,5,10,5
Atezo,BLCA,KIRC,strict,node,0.1,19,235,1.0,1.0,0.6190476190476191,0.5249999999999999,24,6,10,2
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,0,235,0.992,1.0,0.5714285714285714,0.5510204081632654,17,11,7,7
