drug,source tissue,target tissue,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,KIRC,BLCA,edge,0.1,34,167,0.9730941704035875,0.9995440036479708,0.7066666666666667,0.5922920892494928,46,12,10,7
Atezo,KIRC,BLCA,edge,0.1,35,167,0.9192825112107623,0.9844961240310077,0.7066666666666667,0.5699797160243407,48,10,12,5
Atezo,KIRC,BLCA,edge,0.1,36,167,0.9237668161434978,0.9791381668946649,0.68,0.6663286004056795,44,14,10,7
Atezo,KIRC,BLCA,edge,0.1,37,167,0.9775784753363229,0.9997720018239854,0.72,0.6845841784989858,46,12,9,8
Atezo,KIRC,BLCA,edge,0.1,38,167,0.9775784753363229,0.9995440036479708,0.6266666666666667,0.7119675456389452,39,19,9,8
Atezo,KIRC,BLCA,edge,0.1,39,167,0.9910313901345291,1.0,0.7466666666666667,0.6937119675456389,47,11,8,9
Atezo,KIRC,BLCA,edge,0.1,40,167,0.968609865470852,0.998062015503876,0.6533333333333333,0.6551724137931034,43,15,11,6
Atezo,KIRC,BLCA,edge,0.1,41,167,0.968609865470852,0.9933880528955767,0.7333333333333333,0.6308316430020284,48,10,10,7
Atezo,KIRC,BLCA,edge,0.1,42,167,0.9596412556053812,0.9932740538075696,0.68,0.6612576064908722,48,10,14,3
Atezo,KIRC,BLCA,edge,0.1,43,167,0.9551569506726457,0.9952120383036935,0.6666666666666666,0.652129817444219,43,15,10,7
Atezo,KIRC,BLCA,edge,0.1,44,167,0.9910313901345291,1.0,0.72,0.7261663286004056,48,10,11,6
Atezo,KIRC,BLCA,edge,0.1,45,167,0.9461883408071748,0.9914500683994528,0.7733333333333333,0.7525354969574036,49,9,8,9
