,Edge,U,pval,adj_pvals
0,EED;SUZ12,348.0,0.6323076977898076,1.0
266,KIF2C;KIF20A,431.0,0.3685835441379275,1.0
267,KIF2C;CCNA2,328.5,0.42838620410220263,1.0
268,KIF2C;TOP2A,424.0,0.449597613841657,1.0
269,KIF2C;CDC20,398.0,0.7507724801324084,1.0
270,KIF2C;CDC45,357.0,0.7400956092542101,1.0
271,CAPN1;BAX,348.5,0.6398093694044168,1.0
272,CAPN1;BID,394.5,0.7962786076746149,1.0
273,CLTB;CLTC,382.5,0.9485404435660225,1.0
274,CLTB;EPN2,365.5,0.8457053815989305,1.0
275,DRAP1;TBP,332.0,0.4625024832121568,1.0
276,PTPN1;PTPRF,378.0,1.0,1.0
277,PTPN1;SRC,381.0,0.9678116507584176,1.0
278,PTPN1;IGF1R,384.0,0.9292220222983256,1.0
279,PRKACA;NFKBIA,460.5,0.18578922716538193,0.9668672680341771
280,PRKACA;BAX,464.0,0.16774090098302896,0.9647483217424833
281,PRKACA;FOS,452.0,0.2355569285584338,1.0
282,PRKACA;IGF1R,437.0,0.3451500049747268,1.0
283,PRKACA;JUN,476.0,0.11556101670594789,0.9473564122353721
284,PRKACA;PTK2,459.5,0.19119936828918382,0.9828722546592583
285,PRKACA;CSNK1E,451.5,0.23875817893722273,1.0
286,PRKACA;CREB1,414.0,0.566478973668951,1.0
287,PRKACA;FOXO3,469.5,0.14198947238568266,0.9571579355627349
288,PRKACA;RHOA,442.5,0.30176070749694184,1.0
289,PRKACA;BAD,469.0,0.14410906103587146,0.9607270735724764
290,PRKACA;NCOA3,441.5,0.30916870092792925,1.0
291,FOS;CCND1,472.5,0.12924516905438416,0.9473564122353721
292,FOS;STAT3,491.5,0.0681123300787853,0.9146807743001042
293,FOS;NCOA3,489.0,0.07450395387092325,0.9146807743001042
294,FOS;MAPK9,463.5,0.17012750487245398,0.9647483217424833
295,FOS;JUN,475.0,0.11920833918149201,0.9473564122353721
296,FOS;SRC,468.5,0.14625370459000336,0.9647483217424833
297,FOS;SMAD3,462.5,0.17519681142352117,0.9647483217424833
298,FOS;CREB1,499.5,0.05076408674853008,0.8865736440800634
299,FOS;MYC,470.5,0.13764424703904812,0.9571579355627349
300,FOS;STAT1,484.0,0.0885957972064604,0.9154276806164109
301,TFDP1;CDK2,483.0,0.09131136049992251,0.9203034759047309
302,TFDP1;RB1,455.0,0.2162314702832291,1.0
303,TFDP1;SMAD3,459.0,0.19363761899262288,0.9857288433988398
304,TFDP1;CCNA2,510.0,0.0336932719967475,0.8202563900293887
305,PHKB;PHKG2,260.0,0.0555051531075208,0.8865736440800634
306,SMC3;PLK1,400.5,0.7224909689650446,1.0
307,SMC3;PDS5A,354.5,0.7092725013905683,1.0
308,SMC3;SMC1A,368.5,0.8842455972739212,1.0
309,APBB2;APP,293.0,0.1727795444197885,0.9647483217424833
310,LRPAP1;RALA,292.5,0.16978876756287475,0.9647483217424833
311,LRPAP1;RALGDS,261.5,0.060948563090448105,0.8874669651954483
312,STXBP1;STX1A,416.5,0.5398650790604977,1.0
313,STXBP1;STX4,427.5,0.4292729620945549,1.0
314,ETFB;HSD17B10,420.0,0.5028454929326533,1.0
315,CCNE2;SKP1,439.0,0.32903698624135735,1.0
316,CCNE2;CDK2,433.0,0.3791694348618557,1.0
317,CCNE2;RB1,427.0,0.43390731921347425,1.0
318,CCNE2;CCNB2,440.5,0.31720048452299165,1.0
319,CCNE2;CDC25A,444.0,0.29041753174282015,1.0
320,CCNE2;PCNA,438.0,0.33708089208440917,1.0
321,CCNE2;CDK1,442.5,0.30180102262834907,1.0
322,CCNE2;CDKN1A,433.5,0.37494476858756254,1.0
323,CCNE2;CCNA2,429.5,0.4106271142084883,1.0
324,SMC1A;PLK1,422.5,0.4774244371403874,1.0
325,SMC1A;PDS5A,401.5,0.7082195527837174,1.0
326,SMC1A;BRCA1,408.0,0.6340079167202868,1.0
327,PTK2;NCK2,331.0,0.45249171588996073,1.0
328,PTK2;PTPN12,336.5,0.507556018306144,1.0
329,PTK2;PIK3R3,341.0,0.5554438368657129,1.0
330,PTK2;PIK3CA,350.5,0.6623769582883238,1.0
331,PTK2;STAT3,329.0,0.433542797205552,1.0
332,PTK2;PXN,347.0,0.6211100933052844,1.0
333,PTK2;ERBB2,290.0,0.157092506465624,0.9647483217424833
334,PTK2;ITGB5,309.5,0.27141557563236685,1.0
335,PTK2;CRK,329.5,0.4380048482726957,1.0
336,PTK2;FOXO3,324.5,0.392203714738678,1.0
337,PTK2;AKT1,327.0,0.41455505857123376,1.0
338,PTK2;CRKL,331.5,0.4573043714453945,1.0
339,PTK2;RHOA,316.0,0.32033770895660085,1.0
340,PTK2;CTTN,336.0,0.5023454483061118,1.0
341,PTK2;ARHGEF2,349.0,0.6454753747445345,1.0
342,PTK2;ARHGEF12,360.5,0.7836386299157885,1.0
343,PTK2;CDC42,327.0,0.41393622547425624,1.0
344,PTK2;STAT1,292.5,0.16978282212484241,0.9647483217424833
345,PTK2;SHC1,317.0,0.3280739137770149,1.0
346,PTK2;IGF1R,387.5,0.8843946510377387,1.0
347,PTK2;SRC,325.5,0.4003311190931499,1.0
348,PTK2;NCK1,311.0,0.28219665701948304,1.0
349,TIMELESS;RPA3,354.0,0.7041097217878397,1.0
