,Edge,U,pval,adj_pvals
173,CXCR3;CCL2,116.0,1.0,1.0
174,CXCR3;CCL21,116.0,1.0,1.0
175,CXCR3;CCR1,116.0,1.0,1.0
176,CXCR3;CXCL10,116.0,1.0,1.0
177,CXCR3;CXCL11,116.0,1.0,1.0
178,CXCR3;CCL19,116.0,1.0,1.0
179,CXCR3;CCL20,116.0,1.0,1.0
180,CXCR3;CXCL9,116.0,1.0,1.0
181,CXCR3;CXCL2,116.0,1.0,1.0
182,CXCR3;CCL3,116.0,1.0,1.0
183,CXCR3;CCL4,116.0,1.0,1.0
184,CXCR3;CXCL1,116.0,1.0,1.0
185,CXCR3;CCL8,116.0,1.0,1.0
186,CXCR3;CCR3,116.0,1.0,1.0
187,CXCR3;CXCL12,116.0,1.0,1.0
188,EGF;TGFA,116.0,1.0,1.0
189,EGF;ERBB2,116.0,1.0,1.0
190,EGF;NRG1,113.0,0.8857461308731398,1.0
191,EGF;EGFR,116.0,1.0,1.0
192,EGF;ERBB4,116.0,1.0,1.0
193,EGF;AREG,99.0,0.4363550153320416,1.0
194,EGF;ERBB3,120.0,0.7850547444047129,1.0
195,EGF;IGF1R,116.0,1.0,1.0
196,EGF;IGF1,116.0,1.0,1.0
197,EGF;GRB2,112.0,0.6458230910879958,1.0
198,EGF;INS,116.0,1.0,1.0
199,CD44;CD4,101.5,0.06601967502129268,1.0
200,CD44;SELP,101.5,0.06601967502129268,1.0
201,CD44;ICAM1,101.5,0.06601967502129268,1.0
202,CD44;ERBB2,87.0,0.007303941555645174,0.9359479393448173
203,CD44;EGFR,87.0,0.007303941555645174,0.9359479393448173
204,CD44;PKM,120.0,0.8993001454102022,1.0
205,CD44;SRC,87.0,0.007303941555645174,0.9359479393448173
206,CD44;CXCL12,101.5,0.06601967502129268,1.0
207,RPS27A;CBL,139.0,0.4139130678030108,1.0
208,RPS27A;TP53,135.0,0.5023439689473844,1.0
209,RPS27A;BIRC2,159.0,0.11831681603977617,1.0
210,RPS27A;UBB,124.0,0.7861817311532681,1.0
211,RPS27A;TRAF6,155.0,0.1583835172070466,1.0
212,RPS27A;DDX58,152.0,0.19431397932346697,1.0
213,RPS27A;UCHL1,78.0,0.1697803720574119,1.0
214,CD4;CD80,116.0,1.0,1.0
215,CD4;ERVW-1,116.0,1.0,1.0
216,CD4;ITIH4,116.0,1.0,1.0
217,CD4;CD28,116.0,1.0,1.0
218,CD4;CD40LG,116.0,1.0,1.0
219,CD4;TNF,116.0,1.0,1.0
220,CD4;CD86,116.0,1.0,1.0
221,CD4;CTLA4,116.0,1.0,1.0
222,CD4;ICAM1,116.0,1.0,1.0
223,CD80;ICAM1,116.0,1.0,1.0
224,CD80;CTLA4,116.0,1.0,1.0
225,CD80;CD86,116.0,1.0,1.0
226,CD80;CD40LG,116.0,1.0,1.0
227,CD80;ICOS,116.0,1.0,1.0
228,CD80;CD28,116.0,1.0,1.0
229,CD80;CD40,116.0,1.0,1.0
230,ERVW-1;ITIH4,116.0,1.0,1.0
231,CD28;ICAM1,116.0,1.0,1.0
232,CD28;ICOS,116.0,1.0,1.0
233,CD28;CD40,116.0,1.0,1.0
234,CD28;PIK3R1,116.0,1.0,1.0
235,CD28;GRB2,120.0,0.6458230910879958,1.0
236,CD28;ICOSLG,116.0,1.0,1.0
237,CD28;CD40LG,116.0,1.0,1.0
238,CD28;CD86,116.0,1.0,1.0
239,CD28;CTLA4,116.0,1.0,1.0
240,CD40LG;SELP,116.0,1.0,1.0
241,CD40LG;TNFRSF13C,116.0,1.0,1.0
242,CD40LG;ICOS,116.0,1.0,1.0
243,CD40LG;CD86,116.0,1.0,1.0
244,CD40LG;ICOSLG,116.0,1.0,1.0
245,CD40LG;CD40,116.0,1.0,1.0
246,CD40LG;TNFSF13B,116.0,1.0,1.0
247,TNF;CCL2,116.0,1.0,1.0
248,TNF;TRAF2,91.0,0.22992133853237895,1.0
249,TNF;CXCL10,116.0,1.0,1.0
250,TNF;FASLG,116.0,1.0,1.0
251,TNF;CD40,116.0,1.0,1.0
252,TNF;TRAF3,128.0,0.37017873328529394,1.0
253,TNF;CXCL1,116.0,1.0,1.0
254,TNF;RELA,100.0,0.33596992178224894,1.0
255,TNF;TRAF6,132.0,0.2888240236274777,1.0
256,TNF;BIRC2,115.0,0.9811822339277966,1.0
257,TNF;CCL3,116.0,1.0,1.0
258,TNF;CCL4,116.0,1.0,1.0
259,CD86;ICAM1,116.0,1.0,1.0
260,CD86;ICOS,116.0,1.0,1.0
261,CD86;CTLA4,116.0,1.0,1.0
262,CD86;CD40,116.0,1.0,1.0
263,CTLA4;ICOS,116.0,1.0,1.0
264,CTLA4;ICOSLG,116.0,1.0,1.0
265,CTLA4;CD40,116.0,1.0,1.0
266,CTLA4;PTPN11,127.0,0.32298221346472844,1.0
267,ICAM1;CD40,116.0,1.0,1.0
268,ICAM1;MUC1,103.5,0.6547874850343542,1.0
269,ICAM1;PLCG2,124.0,0.7709416761173475,1.0
270,GNB1;GNGT1,112.0,0.6458230910879958,1.0
271,GNB1;GNAQ,138.0,0.3523312211209,1.0
272,GNB1;GNAI2,96.0,0.22610333442583375,1.0
273,GNB1;GNG2,112.0,0.6458230910879958,1.0
274,GNB1;DRD2,112.0,0.7850547444047129,1.0
275,GNB1;GNAI1,112.0,0.6458230910879958,1.0
276,PTK2;VCL,144.0,0.31691482754101347,1.0
277,PTK2;PIK3R3,79.0,0.1779971270319185,1.0
278,PTK2;PIK3CA,75.0,0.13502977272492198,1.0
279,PTK2;ERBB2,120.0,0.8972315577887771,1.0
280,PTK2;EGFR,107.0,0.7537696250088803,1.0
281,PTK2;FOXO3,135.0,0.5023439689473844,1.0
282,PTK2;PTPN11,89.0,0.32811348648572847,1.0
283,PTK2;PIK3R1,71.0,0.10055500061397363,1.0
284,PTK2;JAK2,82.0,0.2164512530370719,1.0
285,PTK2;SHC1,80.0,0.1902594809313065,1.0
286,PTK2;GRB2,73.0,0.11679630541958856,1.0
287,PTK2;IGF1R,77.0,0.15538861040783086,1.0
288,PTK2;SRC,115.0,0.9852814168130164,1.0
289,TP53;MAPK3,119.0,0.9262670446564192,1.0
290,TP53;EP300,126.0,0.7233605983969325,1.0
291,TP53;BRD4,119.0,0.9264244637620361,1.0
292,TP53;RELA,147.0,0.25706547526007884,1.0
293,TP53;HDAC1,111.0,0.866842516800297,1.0
294,TP53;MUC1,94.0,0.4273759851767478,1.0
295,TP53;SMARCA4,176.0,0.026040496249224897,1.0
296,TP53;ESR1,121.0,0.8664017399502727,1.0
297,TP53;TRAF6,150.0,0.21042976467072683,1.0
298,TP53;NPM1,131.0,0.5924567859976053,1.0
299,TP53;MAPK8,113.0,0.9262670446564192,1.0
300,TP53;FOXO3,188.0,0.006459849533853328,0.9359479393448173
301,TP53;MAPK9,151.0,0.2074717118360382,1.0
302,TP53;AKT1,129.0,0.6402797648513538,1.0
303,VCL;SORBS1,139.0,0.4059176908306732,1.0
304,VCL;CTNNB1,152.0,0.19431397932346697,1.0
305,VCL;SRC,173.0,0.03710288225948856,1.0
306,VCL;CDH1,90.0,0.35384896713169955,1.0
307,CTNNB1;CDH1,94.0,0.42754046665281953,1.0
308,CTNNB1;EP300,77.5,0.12662545904835726,1.0
309,CTNNB1;ERBB2,149.0,0.16902640655906798,1.0
310,CTNNB1;EGFR,148.0,0.1825249894224138,1.0
