,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,401.0,0.7163249674223873,1.0
174,ZCCHC8;PPP2R1A,345.5,0.6056222079358383,1.0
175,ZCCHC8;GOPC,361.0,0.7900390933746827,1.0
176,CNTRL;CEP89,422.5,0.4767549499267152,1.0
177,CNTRL;DCTN1,432.0,0.3880762089782843,1.0
178,CNTRL;FGFR1OP,436.0,0.3535124449532062,1.0
179,CNTRL;NIN,421.0,0.49266968517098286,1.0
180,TSC2;MAPK1,302.5,0.2254313536668705,1.0
181,TSC2;NTHL1,307.5,0.25841837775176557,1.0
182,TSC2;CDK4,340.0,0.5434476924302167,1.0
183,TSC2;ATM,293.5,0.17448199775961548,1.0
184,TSC2;IKBKB,334.5,0.48678085848932473,1.0
185,TSC2;YWHAE,306.5,0.2512360073947709,1.0
186,TSC2;RAF1,320.0,0.35237206693221246,1.0
187,TSC2;TSC1,370.0,0.9036601574342169,1.0
188,TSC2;PIK3CA,367.0,0.8654038710370361,1.0
189,TSC2;HSP90AB1,336.0,0.5018199869698399,1.0
190,TSC2;SRC,322.0,0.3701395212501376,1.0
191,TSC2;FLCN,310.5,0.2795651877268802,1.0
192,TSC2;SMAD3,289.5,0.1549194266341894,1.0
193,TSC2;HSP90AA1,297.0,0.19325280707638137,1.0
194,TSC2;AXIN1,313.0,0.296828365742968,1.0
195,TSC2;NF1,325.5,0.40077151224874297,1.0
196,TSC2;AKT2,290.0,0.15646066942851605,1.0
197,TSC2;FOXO3,312.0,0.28841702160063976,1.0
198,TSC2;CCND1,322.5,0.37327950919420083,1.0
199,TSC2;PTEN,314.0,0.3035688383520613,1.0
200,TSC2;MTOR,359.0,0.7648128976333126,1.0
201,TSC2;BRAF,359.5,0.771324265047765,1.0
202,TSC2;AKT1,307.5,0.25784131132960975,1.0
203,TSC2;CDKN1B,331.0,0.4524413116742082,1.0
204,TSC2;KRAS,316.5,0.3241798891127995,1.0
205,TSC2;RABEP1,373.5,0.948525437545761,1.0
206,RARA;ABL1,349.5,0.651378877534152,1.0
207,RARA;ASXL1,353.0,0.6925440114632175,1.0
208,RARA;NPM1,356.0,0.728636524496366,1.0
209,RARA;PRKAR1A,364.0,0.8275916109416478,1.0
210,RARA;PIK3R1,362.0,0.8024412031066676,1.0
211,RARA;TRIM24,343.5,0.5833091433676186,1.0
212,RARA;CTNNB1,355.0,0.7165476909571591,1.0
213,RARA;NCOR1,342.5,0.5720698549273067,1.0
214,RARA;NCOA2,360.0,0.7775519162774512,1.0
215,RARA;NCOR2,349.5,0.6512112913784663,1.0
216,RARA;KDM6A,359.5,0.7713768534257143,1.0
217,RARA;AKT1,352.0,0.6804721142069636,1.0
218,RARA;KMT2D,361.0,0.7899449566404825,1.0
219,RARA;CTCF,367.0,0.8654279763218435,1.0
220,RARA;PML,346.5,0.6168089622823543,1.0
221,RARA;EP300,366.5,0.8590833647535983,1.0
222,RARA;EZH2,349.0,0.6454432129086234,1.0
223,RARA;JUN,361.0,0.7900191355501651,1.0
224,RARA;STAT3,352.5,0.6865496556870474,1.0
225,RARA;SRC,349.0,0.6456452280537507,1.0
226,RARA;CBFB,375.0,0.9678223854216523,1.0
227,RARA;KMT2C,372.5,0.9356640564979941,1.0
228,RARA;NF1,364.5,0.8338344504425185,1.0
229,RARA;MYC,360.5,0.7837766111474365,1.0
230,RARA;BCR,358.0,0.7529917356894402,1.0
231,RARA;NUMA1,348.0,0.6340692146230619,1.0
232,RARA;SUZ12,367.5,0.8717757928536758,1.0
233,RARA;NCOA1,350.0,0.6571400742421125,1.0
234,RARA;CCND3,369.0,0.890904050215404,1.0
235,KDM6A;STAG2,418.0,0.5238867063441539,1.0
236,KDM6A;KMT2C,410.0,0.6110494992582151,1.0
237,KDM6A;EP300,436.5,0.3492016485219509,1.0
238,KDM6A;BRD4,417.5,0.5291083518351013,1.0
239,KDM6A;NCOR1,422.0,0.48260808355024,1.0
240,KDM6A;SETDB1,413.5,0.5721820955649994,1.0
241,KDM6A;ATM,431.0,0.3969743028356889,1.0
242,KDM6A;TSC1,434.5,0.36629043954431606,1.0
243,KDM6A;KMT2D,425.5,0.44740520689351904,1.0
244,KDM6A;USP9X,441.0,0.31325967606328675,1.0
245,KDM6A;SUZ12,434.0,0.3702127957411059,1.0
246,KDM6A;EZH2,418.0,0.5236904142715446,1.0
247,KDM6A;ARID1A,433.5,0.37474561373448423,1.0
248,KDM6A;PHF6,427.0,0.4337411315888675,1.0
249,KDM6A;IDH2,420.5,0.49798847644785327,1.0
250,KDM6A;HSP90AA1,424.5,0.4579554840096268,1.0
251,KDM6A;MEN1,457.0,0.2052000968588914,1.0
252,KDM6A;EED,429.0,0.4150552375082569,1.0
253,KDM6A;RPL5,454.5,0.22016021586646484,1.0
254,KDM6A;JUN,423.5,0.46780058673270886,1.0
255,KDM6A;HSP90AB1,434.0,0.37053225077498164,1.0
256,KDM6A;ATRX,433.0,0.37906338909040327,1.0
257,KDM6A;KDM5C,423.5,0.4676768206151021,1.0
258,KDM6A;ASXL1,429.0,0.41496438896519816,1.0
259,KDM6A;DDX3X,453.5,0.2262326071973132,1.0
260,KDM6A;FBXW7,440.0,0.3210786334453698,1.0
261,KDM6A;SETD2,432.5,0.3834388290743247,1.0
262,KDM6A;POLR2A,453.0,0.22929114475329704,1.0
263,KDM6A;MYC,435.0,0.36195990094811703,1.0
264,KDM6A;IDH1,421.5,0.48786050451862906,1.0
265,KDM6A;SETD1B,417.0,0.5343575127211726,1.0
266,KDM6A;KDM5A,417.0,0.5343063448648047,1.0
267,KDM6A;BIRC6,423.5,0.46783769997948565,1.0
268,KDM6A;MYD88,440.5,0.3170861395874647,1.0
269,KDM6A;PBRM1,429.0,0.4150098184016199,1.0
270,KDM6A;ASXL2,435.5,0.3574530814821443,1.0
271,KDM6A;NCOA2,430.5,0.40127647185681936,1.0
272,KDM6A;NSD1,411.5,0.5943507235521706,1.0
273,KDM6A;CTCF,447.0,0.26892095977143315,1.0
274,SPOP;CDK4,402.5,0.6983122729366869,1.0
275,SPOP;CCNE1,399.5,0.7344435350559386,1.0
276,SPOP;BRD4,383.5,0.9356300840923517,1.0
277,SPOP;CUL3,377.5,1.0,1.0
278,SPOP;DAXX,404.0,0.6801985367384753,1.0
279,SPOP;ATM,392.0,0.8273979247406165,1.0
280,SPOP;FADD,389.5,0.8590367962861691,1.0
281,SPOP;BRD3,388.5,0.8717404185133201,1.0
282,SPOP;TRIM24,370.5,0.9100458434972812,1.0
283,SPOP;SUFU,377.0,0.9935604737095761,1.0
284,SPOP;PTEN,386.5,0.8972250836923865,1.0
285,SPOP;MYC,384.0,0.9292269367080144,1.0
286,SPOP;DEK,393.5,0.8086362295003136,1.0
287,SPOP;SETD2,387.0,0.8908104856443527,1.0
288,SPOP;LZTR1,409.5,0.6164949744956936,1.0
289,SPOP;MYD88,407.5,0.6394365894569782,1.0
290,THRAP3;NCOR1,424.5,0.4570156418987371,1.0
291,THRAP3;RBM15,392.5,0.8210012068630395,1.0
292,THRAP3;SFPQ,496.0,0.05746361222850155,1.0
293,THRAP3;BCLAF1,444.5,0.28602592478123645,1.0
294,THRAP3;MED12,463.0,0.17208653435308618,1.0
295,DCTN1;ATIC,391.5,0.8336314617462977,1.0
296,DCTN1;PLCG1,369.0,0.8908104856443527,1.0
297,DCTN1;STRN,384.0,0.9291688813570521,1.0
298,DCTN1;RANBP2,418.0,0.5236788601794824,1.0
299,DCTN1;KIF5B,386.0,0.9033520672931119,1.0
300,DCTN1;PPFIBP1,333.0,0.471494529455702,1.0
301,DCTN1;EML4,348.5,0.6389877255220575,1.0
302,DCTN1;PCM1,366.5,0.8590251469540653,1.0
303,DCTN1;HSP90AA1,350.5,0.6627654287995519,1.0
304,DCTN1;NUMA1,363.0,0.8147986013812916,1.0
305,DCTN1;TPM4,387.0,0.8907015273231894,1.0
306,DCTN1;CLTC,394.5,0.7960900276535325,1.0
307,DCTN1;CLIP1,357.0,0.7406019408392324,1.0
308,DCTN1;TPM3,382.0,0.9548494398469628,1.0
309,DCTN1;BIRC6,398.0,0.752558637858634,1.0
310,DCTN1;NIN,428.0,0.4245470201423186,1.0
311,ASXL1;STAG2,397.0,0.764678936156926,1.0
312,ASXL1;KRAS,418.0,0.522984085012366,1.0
313,ASXL1;KMT2C,460.5,0.18545271690266218,1.0
314,ASXL1;BRD4,438.0,0.3363007140582305,1.0
315,ASXL1;U2AF1,311.5,0.2862543692663797,1.0
316,ASXL1;NPM1,358.0,0.7527921270591973,1.0
317,ASXL1;RAD21,298.5,0.20096446466391538,1.0
318,ASXL1;ZRSR2,287.5,0.14487067154129474,1.0
319,ASXL1;PPM1D,274.5,0.095977041058721,1.0
320,ASXL1;SUZ12,446.5,0.2716230042593092,1.0
321,ASXL1;EZH2,452.0,0.2350615749131808,1.0
322,ASXL1;ARID1A,408.5,0.6280743843460391,1.0
323,ASXL1;CALR,309.5,0.2724377773721015,1.0
324,ASXL1;SMC1A,300.0,0.20977146642248656,1.0
325,ASXL1;PHF6,411.5,0.593176749213578,1.0
326,ASXL1;IDH2,399.5,0.7345431520052279,1.0
327,ASXL1;EED,400.0,0.7283897801053043,1.0
328,ASXL1;NF1,379.0,0.9935560799067312,1.0
329,ASXL1;NRAS,378.5,1.0,1.0
330,ASXL1;ABL1,362.0,0.8021255769360852,1.0
331,ASXL1;ETV6,243.5,0.030158955788062543,1.0
332,ASXL1;ASXL2,394.5,0.7960400217079739,1.0
333,ASXL1;PTPN11,305.0,0.24055922002855323,1.0
334,ASXL1;AKT1,355.0,0.7162115167932144,1.0
335,ASXL1;BAP1,280.5,0.11676078291959033,1.0
336,ASXL1;SRSF2,313.0,0.2975896354792881,1.0
337,ASXL1;IDH1,395.5,0.7837237984602998,1.0
338,EML4;ATIC,582.5,0.000992561755962029,0.22959943366501637
339,EML4;TFG,600.0,0.000344888904100605,0.22959943366501637
340,EML4;PLCG1,548.5,0.006047545964099178,0.47023601154636735
341,EML4;KRAS,579.0,0.0012047333104478056,0.22959943366501637
342,EML4;CCDC6,569.0,0.002103292989052327,0.26868328319618756
343,EML4;STRN,573.5,0.0016433086871504893,0.24893644956479194
344,EML4;PIK3CA,582.0,0.001021430138779525,0.22959943366501637
345,EML4;STAT3,574.5,0.0015494148819100103,0.24893644956479194
346,EML4;ERBB2,539.0,0.00956198170042405,0.6427847764949033
347,EML4;RANBP2,558.5,0.003675657283227567,0.3426099499261064
348,EML4;BUB1B,600.0,0.0003497850213194757,0.22959943366501637
349,EML4;NPM1,590.0,0.0006357969458151962,0.22959943366501637
350,EML4;KIF5B,566.0,0.0024361331634921712,0.2696494895340397
351,EML4;PPFIBP1,578.0,0.0012787257460232931,0.22959943366501637
352,EML4;MET,567.0,0.0023357234417828126,0.26868328319618756
353,EML4;NRAS,591.0,0.0006049391619757045,0.22959943366501637
354,EML4;AKT1,588.5,0.0006993193899326367,0.22959943366501637
355,EML4;BRAF,592.5,0.0005536546011028626,0.22959943366501637
356,EML4;TPM3,568.0,0.0021976876627578606,0.26868328319618756
357,EML4;ABL1,573.0,0.0016867517757072296,0.24893644956479194
358,EML4;JAK1,581.5,0.0010441348680643031,0.22959943366501637
359,EML4;BIRC6,588.0,0.0007190822458845908,0.22959943366501637
360,EML4;PIK3R1,555.0,0.004351272446803282,0.3713755352768413
361,EML4;PRKAR1A,567.5,0.0022792805009158516,0.26868328319618756
362,EML4;ETV6,570.0,0.0019827174123013555,0.26868328319618756
363,EML4;HRAS,582.0,0.001021098984115914,0.22959943366501637
364,EML4;TPM4,578.5,0.001237133295533529,0.22959943366501637
365,EML4;TPR,581.0,0.0010790816634600768,0.22959943366501637
366,EML4;CLTC,584.0,0.0009087741066884621,0.22959943366501637
367,EML4;PIK3CB,565.0,0.002592690022855108,0.2720804800441277
368,EML4;HSP90AB1,580.5,0.001111163127146556,0.22959943366501637
369,EML4;CLIP1,563.5,0.002819603304538454,0.2853438544192915
370,EML4;HSP90AA1,577.0,0.001347003353824054,0.22959943366501637
371,CASP9;MAPK1,310.5,0.279665465067792,1.0
372,CASP9;CCND1,327.5,0.41970233066372664,1.0
373,CASP9;KRAS,318.0,0.3370607479980544,1.0
374,CASP9;CDK4,332.0,0.4628821624630084,1.0
375,CASP9;MDM2,325.5,0.4015055887390119,1.0
376,CASP9;STAT3,318.0,0.33704731763731277,1.0
377,CASP9;BAX,316.0,0.3211122575925113,1.0
378,CASP9;FADD,332.5,0.46784388477663574,1.0
379,CASP9;CASP3,329.5,0.4385213315064781,1.0
380,CASP9;CDKN1A,335.0,0.4927900201621559,1.0
381,CASP9;MYC,331.5,0.45793048385379986,1.0
382,CASP9;HIF1A,308.5,0.2655682479081609,1.0
383,CASP9;CASP8,345.0,0.5998785210622485,1.0
384,CASP9;DDIT3,386.0,0.9036868088532235,1.0
385,CASP9;SRC,320.5,0.35776062770648676,1.0
386,CASP9;NFE2L2,322.0,0.3704457779723044,1.0
387,CASP9;JUN,314.0,0.30551290616526705,1.0
388,CASP9;AKT1,324.5,0.3924867901272908,1.0
389,CASP9;MTOR,342.5,0.5722194895865679,1.0
390,CASP9;PTEN,322.0,0.3705056474170285,1.0
391,CASP9;FOXO3,322.5,0.3748717664737855,1.0
392,CASP9;AKT2,334.5,0.48778793094663864,1.0
393,CASP9;CTNNB1,330.0,0.44343254285814293,1.0
394,CASP9;ABL1,322.0,0.3705522011600131,1.0
395,CASP9;BIRC6,319.5,0.34940934453693895,1.0
396,NACA;RPL22,342.0,0.5525600000494635,1.0
397,NACA;RPL5,421.0,0.49077534179010873,1.0
398,NACA;RPL10,364.5,0.8330226237251043,1.0
399,KDM5C;USP9X,427.0,0.4337219468616871,1.0
400,KDM5C;SMC1A,382.0,0.9548846859306013,1.0
401,KDM5C;MTOR,443.0,0.29760981492643146,1.0
402,KDM5C;MED12,394.0,0.8024358204674004,1.0
403,KDM5C;SETD2,449.0,0.2548741822536412,1.0
404,KDM5C;DDX3X,455.5,0.2140734079638228,1.0
405,KDM5C;EIF1AX,469.0,0.1440979054040599,1.0
406,KDM5C;PBRM1,421.0,0.49238656428355976,1.0
407,KDM5C;NSD1,404.5,0.674678268094504,1.0
408,GNAS;GNA11,316.5,0.32063123711002783,1.0
409,GNAS;KRAS,326.5,0.40419851560177333,1.0
410,GNAS;PIK3CA,404.0,0.6786748021898787,1.0
411,GNAS;NPM1,323.0,0.3745073359820166,1.0
412,GNAS;PRKACA,309.0,0.2657397177554355,1.0
413,GNAS;IDH2,345.0,0.5973795596461466,1.0
414,GNAS;NRAS,285.5,0.13290613289186104,1.0
415,GNAS;FBXW7,350.5,0.6614846058471365,1.0
416,GNAS;SRC,347.0,0.6199300683007225,1.0
417,GNAS;HRAS,313.0,0.29166182687105424,1.0
418,GNAS;IDH1,344.0,0.5853020753217338,1.0
419,GNAS;CTNNB1,323.5,0.3793780119638397,1.0
420,GNAS;PRKAR1A,302.0,0.2203218570689469,1.0
421,GNAS;BRAF,282.5,0.12322677834239248,1.0
422,APC;BCL9,348.5,0.6396091436550095,1.0
423,APC;KRAS,367.0,0.865479851440895,1.0
424,APC;FEN1,360.5,0.7838791918549276,1.0
425,APC;AXIN1,360.5,0.7838674757324383,1.0
426,APC;CLIP1,302.5,0.2262971320551882,1.0
427,APC;TBL1XR1,343.5,0.5833091433676186,1.0
428,APC;BCL9L,344.5,0.593780449729971,1.0
429,APC;CASP3,386.0,0.9036868088532235,1.0
430,APC;TCF7L2,338.5,0.5291198065479745,1.0
431,APC;MYC,382.0,0.9549668152582872,1.0
432,APC;CTNNB1,370.0,0.9036987947778414,1.0
433,APC;CTNNA1,343.5,0.5833039101053407,1.0
434,APC;RANBP2,362.0,0.8025541370184637,1.0
435,APC;CTNND1,357.5,0.7469471112007029,1.0
436,SUFU;CUL3,440.0,0.3211122575925113,1.0
437,SUFU;PRKACA,439.5,0.3251025770405459,1.0
438,SUFU;SMARCB1,436.5,0.34943613017784014,1.0
439,SUFU;PRKAR1A,432.0,0.38812235940760553,1.0
440,SUFU;CTNNB1,434.0,0.3706053932488149,1.0
441,SUFU;CNBP,444.0,0.2906589614539321,1.0
442,MSH2;NTHL1,448.0,0.261057014243946,1.0
443,MSH2;PMS2,452.0,0.23063847738121934,1.0
444,MSH2;POLD1,505.0,0.03975609698629868,1.0
445,MSH2;BRCA2,402.0,0.7037710508862025,1.0
446,MSH2;NF1,451.5,0.23827455665324537,1.0
447,MSH2;PALB2,446.0,0.2738739599264898,1.0
448,MSH2;FEN1,429.5,0.4075208636518459,1.0
449,MSH2;MSH6,462.0,0.17771313994204307,1.0
450,MSH2;JUN,434.0,0.3700995429550564,1.0
451,MSH2;BARD1,411.0,0.599008144876924,1.0
452,MSH2;ERCC3,429.5,0.4086075783349733,1.0
453,MSH2;ERCC4,437.0,0.3430342463508025,1.0
454,MSH2;XPA,443.5,0.29205242972158996,1.0
455,MSH2;RECQL4,437.5,0.3392906771303803,1.0
456,MSH2;FANCA,438.0,0.33489519627162756,1.0
457,MSH2;BRCA1,417.5,0.5283792747090359,1.0
458,MSH2;BLM,449.5,0.2498513943445252,1.0
459,MSH2;CDKN1A,444.0,0.28995415486112086,1.0
460,MSH2;ARID1A,428.5,0.4190936650328576,1.0
461,MSH2;FANCD2,462.0,0.17529852234439725,1.0
462,MSH2;PIK3CA,448.5,0.258517750344748,1.0
