,Edge,U,pval,adj_pvals
188,CXCR3;CXCL10,465.0,1.0,1.0
189,CXCR3;CXCL11,465.0,1.0,1.0
190,CXCR3;CCL20,465.0,1.0,1.0
191,CXCR3;CXCL9,465.0,1.0,1.0
192,CXCR3;CXCL2,465.0,1.0,1.0
193,CXCR3;CCL4,465.0,1.0,1.0
194,CXCR3;CXCL1,465.0,1.0,1.0
195,CXCR3;CCL8,465.0,1.0,1.0
196,CXCR3;CCR3,465.0,1.0,1.0
197,CXCR3;CXCL12,465.0,1.0,1.0
198,EGF;CSF3,465.0,1.0,1.0
199,EGF;NTRK1,465.0,1.0,1.0
200,EGF;EGFR,465.0,1.0,1.0
201,EGF;FN1,465.0,1.0,1.0
202,EGF;ERBB3,498.0,0.3642638250288299,1.0
203,EGF;IGF1R,465.0,1.0,1.0
204,EGF;IGF1,465.0,1.0,1.0
205,EGF;GRB2,465.0,1.0,1.0
206,EGF;INS,465.0,1.0,1.0
207,CD44;MMP2,553.0,0.2019065931462869,1.0
208,CD44;HGF,465.0,1.0,1.0
209,CD44;EGFR,465.0,1.0,1.0
210,CD44;MET,512.0,0.44662890808561384,1.0
211,CD44;CXCR2,465.0,1.0,1.0
212,CD44;BSG,499.0,0.6288929650355501,1.0
213,CD44;FN1,510.0,0.08669181396649275,0.9664531853301599
214,CD44;MMP9,510.0,0.2460835308600925,1.0
215,CD44;SRC,465.0,1.0,1.0
216,CD44;TLR4,465.0,1.0,1.0
217,CD44;CXCL12,465.0,1.0,1.0
218,HLA-DRB1;PTPN22,396.0,0.21123355923653542,1.0
219,CXCR2;CCL2,465.0,1.0,1.0
220,CXCR2;CXCL6,465.0,1.0,1.0
221,CXCR2;CXCL13,465.0,1.0,1.0
222,CXCR2;PPBP,465.0,1.0,1.0
223,CXCR2;CXCL10,465.0,1.0,1.0
224,CXCR2;CXCL12,465.0,1.0,1.0
225,CXCR2;CXCL1,465.0,1.0,1.0
226,CXCR2;CCL4,465.0,1.0,1.0
227,CXCR2;CXCL2,465.0,1.0,1.0
228,CXCR2;CXCL9,465.0,1.0,1.0
229,IL10;TIMP1,510.0,0.08669181396649275,0.9664531853301599
230,IL10;CCL2,465.0,1.0,1.0
231,IL10;IL2,465.0,1.0,1.0
232,IL10;IFNG,465.0,1.0,1.0
233,IL10;IL4,465.0,1.0,1.0
234,IL10;TLR2,465.0,1.0,1.0
235,IL10;IL1A,465.0,1.0,1.0
236,IL10;IL1B,465.0,1.0,1.0
237,IL10;IL7,465.0,1.0,1.0
238,IL10;IL18,465.0,1.0,1.0
239,IL10;CXCL10,465.0,1.0,1.0
240,IL10;CD163,465.0,1.0,1.0
241,IL10;IL6,465.0,1.0,1.0
242,IL10;CD8A,465.0,1.0,1.0
243,IL10;TNF,465.0,1.0,1.0
244,IFNG;CSF3,465.0,1.0,1.0
245,IFNG;IL2,465.0,1.0,1.0
246,IFNG;CD8A,465.0,1.0,1.0
247,IFNG;IL3,465.0,1.0,1.0
248,IFNG;IL1A,465.0,1.0,1.0
249,IFNG;JAK2,465.0,1.0,1.0
250,IFNG;TNF,465.0,1.0,1.0
251,IFNG;IL1B,465.0,1.0,1.0
252,IFNG;CXCL10,465.0,1.0,1.0
253,IFNG;IL4,465.0,1.0,1.0
254,IFNG;IL6,465.0,1.0,1.0
255,CD8A;IL2,465.0,1.0,1.0
256,CD8A;FYN,483.5,0.5851894632483983,1.0
257,CD8A;TNF,465.0,1.0,1.0
258,FYN;PIK3R2,493.0,0.6081238306330926,1.0
259,FYN;RAC2,418.0,0.49844808615580205,1.0
260,FYN;PIK3CA,535.5,0.13195454092662096,1.0
