"","Gene","Count","Thresh.Name","Thresh.Value"
"257","SCTR",1,"narrow",0.002
"258","PARM1",9,"narrow",0.002
"259","TPSG1",5,"narrow",0.002
"260","TM4SF4",10,"narrow",0.002
"261","SNTN",2,"narrow",0.002
"262","MYPN",112,"narrow",0.002
"263","ZNF366",2,"narrow",0.002
"264","TSPY9P",47,"narrow",0.002
"265","MZF1",79,"narrow",0.002
"266","PARP14",98,"narrow",0.002
"267","UGT1A8",9,"narrow",0.002
"268","SPPL2B",44,"narrow",0.002
"269","TMEM144",200,"narrow",0.002
"270","MYT1L",195,"narrow",0.002
"271","PRSS56",3,"narrow",0.002
"272","SAP25",140,"narrow",0.002
"273","SERPINC1",120,"narrow",0.002
"274","UGT8",5,"narrow",0.002
"275","SLC16A6",31,"narrow",0.002
"276","ABCB9",20,"narrow",0.002
"277","AP3B2",165,"narrow",0.002
"278","ZNF414",38,"narrow",0.002
"279","CRHBP",3,"narrow",0.002
"280","MMP23B",110,"narrow",0.002
"281","SPATA31A5",20,"narrow",0.002
"282","FBLL1",4,"narrow",0.002
"283","SMARCD3",67,"narrow",0.002
"284","POU3F4",129,"narrow",0.002
"285","ZC3H12B",154,"narrow",0.002
"286","CT83",3,"narrow",0.002
"287","ALDH3A1",83,"narrow",0.002
"288","IGFBP3",6,"narrow",0.002
"289","THSD7A",4,"narrow",0.002
"290","KCNH6",134,"narrow",0.002
"291","CPSF2",4,"narrow",0.002
"292","CES2",7,"narrow",0.002
"293","SLC17A7",197,"narrow",0.002
"294","ABCA12",30,"narrow",0.002
"295","SPNS2",15,"narrow",0.002
"296","TWIST2",20,"narrow",0.002
"297","IL20RB",7,"narrow",0.002
"298","ADGRG4",2,"narrow",0.002
"299","SIRPG",142,"narrow",0.002
"300","TM6SF2",28,"narrow",0.002
"301","NEFL",72,"narrow",0.002
"302","NABP1",2,"narrow",0.002
"303","CDH7",2,"narrow",0.002
"304","IRF8",19,"narrow",0.002
"305","SHANK2",28,"narrow",0.002
"306","AIF1L",25,"narrow",0.002
"307","SERPINB2",5,"narrow",0.002
"308","LDOC1",41,"narrow",0.002
"309","ACOT7",1,"narrow",0.002
"310","PAEP",2,"narrow",0.002
"311","SLC5A1",23,"narrow",0.002
"312","TRIM55",115,"narrow",0.002
"313","IL6",2,"narrow",0.002
"314","PCP4L1",180,"narrow",0.002
"315","SLC38A4",18,"narrow",0.002
"316","MYL3",25,"narrow",0.002
"317","INPP4B",9,"narrow",0.002
"318","SLC3A1",185,"narrow",0.002
"319","RASGEF1C",39,"narrow",0.002
"320","ANKH",16,"narrow",0.002
"321","RFFL",17,"narrow",0.002
"322","ACAT1",13,"narrow",0.002
"323","GALNT17",174,"narrow",0.002
"324","SPIRE2",12,"narrow",0.002
"325","LRRC19",88,"narrow",0.002
"326","ANKRD40",12,"narrow",0.002
"327","COMP",6,"narrow",0.002
"328","EHD3",19,"narrow",0.002
"329","HEYL",18,"narrow",0.002
"330","ZNF583",26,"narrow",0.002
"331","SHC3",196,"narrow",0.002
"332","OAF",3,"narrow",0.002
"333","RIMS4",170,"narrow",0.002
"334","PLEKHD1",67,"narrow",0.002
"335","TOX3",5,"narrow",0.002
"336","LGALS7",5,"narrow",0.002
"337","TMEM74B",73,"narrow",0.002
"338","CD300E",1,"narrow",0.002
"339","LONRF2",197,"narrow",0.002
"340","ITK",73,"narrow",0.002
"341","ARHGAP36",11,"narrow",0.002
"342","OR2L2",24,"narrow",0.002
"343","LRRC17",74,"narrow",0.002
"344","SYTL3",1,"narrow",0.002
"345","ISX",129,"narrow",0.002
"346","ZNF541",4,"narrow",0.002
"347","SLC4A1",138,"narrow",0.002
"348","HLA-G",1,"narrow",0.002
"349","APLNR",199,"narrow",0.002
"350","TIMM21",3,"narrow",0.002
"351","COL10A1",21,"narrow",0.002
"352","NTSR1",26,"narrow",0.002
"353","GSG1L",70,"narrow",0.002
"354","PSME2",13,"narrow",0.002
"355","NXPE1",12,"narrow",0.002
"356","PYGM",21,"narrow",0.002
"357","C11orf87",190,"narrow",0.002
"358","GRID2",153,"narrow",0.002
"359","PCSK1N",193,"narrow",0.002
"360","CEBPD",2,"narrow",0.002
"361","AATK",175,"narrow",0.002
"362","MAPK1",1,"narrow",0.002
"363","THSD7B",2,"narrow",0.002
"364","CYP4A11",154,"narrow",0.002
"365","CDR2L",105,"narrow",0.002
"366","GTDC1",41,"narrow",0.002
"367","ISLR",62,"narrow",0.002
"368","FILIP1",41,"narrow",0.002
"369","CXorf49B",3,"narrow",0.002
"370","NSMF",158,"narrow",0.002
"371","GNL2",1,"narrow",0.002
"372","HTR1B",6,"narrow",0.002
"373","C16orf89",195,"narrow",0.002
"374","CFTR",1,"narrow",0.002
"375","PROB1",43,"narrow",0.002
"376","BTBD1",1,"narrow",0.002
"377","SPRR2E",1,"narrow",0.002
"378","MS4A8",4,"narrow",0.002
"379","RHOBTB1",1,"narrow",0.002
"380","F2RL3",25,"narrow",0.002
"381","GALNT16",51,"narrow",0.002
"382","GSTA2",11,"narrow",0.002
"383","WNT7B",91,"narrow",0.002
"384","OSBP2",174,"narrow",0.002
"385","CNTN1",1,"narrow",0.002
"386","TBC1D26",4,"narrow",0.002
"387","ZMAT4",190,"narrow",0.002
"388","SULF2",3,"narrow",0.002
