,Edge,U,pval,adj_pvals
291,DLG4;SHANK1,370.5,0.1676367504431715,1.0
292,DLG4;SYN1,269.0,0.0026074078382051003,0.5929493163379156
293,DLG4;DLGAP1,382.0,0.38269436553334557,1.0
294,DLG4;HOMER1,375.0,0.39632202538730743,1.0
295,DLG4;SHANK2,372.5,0.2772310979537176,1.0
296,DLG4;SHANK3,392.5,0.6232956953913076,1.0
297,CXCL9;PPBP,409.5,1.0,1.0
298,CXCL9;CXCL11,409.5,1.0,1.0
299,CXCL9;CXCL2,409.5,1.0,1.0
300,CXCL9;CXCL12,409.5,1.0,1.0
301,VPREB1;IGLL1,409.5,1.0,1.0
302,JAK2;PDGFRB,440.0,0.5731559712829346,1.0
303,JAK2;PIK3CA,460.5,0.3767673187541539,1.0
304,JAK2;PIK3R1,451.5,0.477036152576358,1.0
305,PIK3R2;PIK3R3,409.0,1.0,1.0
306,PIK3R2;PIK3R1,409.5,1.0,1.0
307,PIK3R2;PDGFRB,405.0,0.9390399710097,1.0
308,PIK3R2;PIK3CB,452.0,0.49706858358779626,1.0
309,PIK3R2;PIK3CA,460.0,0.3629331727252406,1.0
310,PIK3R3;PDGFRB,442.0,0.5834853804197386,1.0
311,PIK3R3;PIK3CA,484.0,0.22337356386781926,1.0
312,PIK3R3;PIK3CB,457.0,0.45656033501314786,1.0
313,PIK3R3;PIK3R1,467.0,0.35414487886048784,1.0
314,PIK3R1;PDGFRA,418.0,0.81176456761309,1.0
315,PIK3R1;PDGFRB,409.0,1.0,1.0
316,PIK3R1;PIK3CA,389.5,0.6090012461350098,1.0
317,PIK3R1;PIK3CB,435.0,0.649184714308952,1.0
318,PDGFRB;PDGFRA,427.0,0.5825728174236532,1.0
319,PDGFRB;PDGFA,466.0,0.22849839703361674,1.0
320,PDGFRB;PDGFB,406.0,0.9403405031513419,1.0
321,PDGFRB;PDGFD,403.0,0.8582418359245509,1.0
322,PDGFRB;INS,409.5,1.0,1.0
323,PDGFRB;PIK3CA,407.5,0.9643837609871005,1.0
324,PDGFRB;PIK3CB,481.0,0.18964083553339128,1.0
325,PDGFRB;PDGFC,409.5,1.0,1.0
326,PDGFRB;KITLG,444.0,0.5074404924056299,1.0
327,PIK3CB;PDGFRA,393.0,0.7638071267208745,1.0
328,PIK3CB;PIK3CA,442.0,0.5603877137722995,1.0
329,PIK3CA;PDGFRA,387.5,0.5727805840627986,1.0
330,RAB3A;SYP,417.0,0.8672686402564302,1.0
331,RAB3A;SYN1,370.5,0.2517545876451015,1.0
332,RAB3A;RIMS1,390.5,0.5073057723221039,1.0
333,RAB3A;RIMS2,409.5,1.0,1.0
334,SYP;SYN1,392.0,0.6365044260589657,1.0
335,SYP;SV2A,445.0,0.5300012437634277,1.0
336,RIMS1;RIMBP2,390.0,0.18423511318051133,1.0
337,RIMS2;RIMBP2,456.0,0.09922207434614913,1.0
338,COMP;CD36,409.5,1.0,1.0
339,CD36;FABP4,390.0,0.43559621548852756,1.0
340,ITGA2;COL1A1,366.0,0.4729328054357518,1.0
341,ITGA2;COL1A2,333.5,0.1957873136187469,1.0
342,ITGA2;COL3A1,367.0,0.4672088828452514,1.0
343,PCOLCE;COL1A2,372.0,0.5218625806901971,1.0
344,PCOLCE;COL3A1,387.0,0.7033337584815846,1.0
345,COL1A2;COL1A1,315.5,0.05059301673892635,0.9697706655740879
346,COL1A2;COL6A3,378.0,0.5274978836571849,1.0
347,COL1A2;COL5A1,474.0,0.22938655252547058,1.0
348,COL1A2;COL5A2,363.0,0.27208419936353756,1.0
349,COL1A2;FBN1,401.0,0.8784352633323459,1.0
350,COL1A2;COL11A1,401.0,0.81176456761309,1.0
351,COL1A2;COL3A1,440.0,0.49083601264052845,1.0
352,COL3A1;COL1A1,363.0,0.32256832591592255,1.0
353,COL3A1;COL6A3,458.0,0.3493979678206074,1.0
354,COL3A1;POSTN,536.0,0.017965883595172313,0.5929493163379156
355,COL3A1;COL5A1,539.0,0.015407276856291468,0.5929493163379156
356,COL3A1;COL5A2,387.0,0.6133819817356889,1.0
357,COL3A1;FBN1,492.0,0.11693499559601428,1.0
358,COL3A1;COL11A1,427.5,0.5305289526554683,1.0
359,CXCL1;CXCL6,409.5,1.0,1.0
360,CXCL1;CXCL3,409.5,1.0,1.0
361,CXCL1;CXCL2,409.5,1.0,1.0
362,CCL8;CXCL6,409.5,1.0,1.0
363,CCL8;PPBP,409.5,1.0,1.0
364,CCL8;CXCL11,409.5,1.0,1.0
365,CCL8;CXCL2,409.5,1.0,1.0
366,CXCL11;CXCL6,409.5,1.0,1.0
367,CXCL11;CXCL3,409.5,1.0,1.0
368,CXCL11;PPBP,409.5,1.0,1.0
369,CXCL11;CXCL12,409.5,1.0,1.0
370,CXCL11;CXCL2,409.5,1.0,1.0
371,PPBP;CXCL6,409.5,1.0,1.0
372,PPBP;CXCL12,409.5,1.0,1.0
373,CXCL12;CXCL6,409.5,1.0,1.0
374,CXCL12;CXCL2,409.5,1.0,1.0
375,COL1A1;COL5A2,359.0,0.30816458303480465,1.0
376,COL1A1;COL5A1,497.5,0.12565699195032864,1.0
377,COL1A1;COL6A3,406.5,0.9602948228730488,1.0
378,COL1A1;COL11A1,406.5,0.9524034230079292,1.0
379,COL5A2;COL11A1,417.0,0.8209537483430234,1.0
380,COL5A2;COL5A1,506.0,0.08905388100691526,1.0
381,ALB;TTR,409.5,1.0,1.0
382,ALB;AMBP,409.0,1.0,1.0
383,ALB;SHBG,409.5,1.0,1.0
384,ALB;SERPINA1,448.5,0.05503555991585648,0.9697706655740879
385,ALB;B2M,504.5,0.013182301721029799,0.5929493163379156
386,ALB;INS,409.5,1.0,1.0
387,CXCL6;CCL7,418.0,0.690136986429554,1.0
388,CXCL6;CXCL2,409.5,1.0,1.0
389,CXCL6;CXCL3,409.5,1.0,1.0
390,CXCL2;CXCL3,409.5,1.0,1.0
391,LPL;FABP4,418.0,0.7743271547953549,1.0
392,IGF2;IGFBP5,418.0,0.690136986429554,1.0
393,IGF2;IGFBP3,409.5,1.0,1.0
394,IGF2;INS,409.5,1.0,1.0
395,INS;IGFBP3,409.5,1.0,1.0
396,IGFBP5;IGFBP3,438.0,0.250572619160632,1.0
397,IGFBP5;IGFALS,429.0,0.18423511318051133,1.0
398,IGFBP5;PAPPA,493.0,0.13097921008842617,1.0
399,IGFBP3;IGFALS,429.0,0.18423511318051133,1.0
400,IL1RL1;IL1RAP,456.0,0.09922207434614913,1.0
401,IL1RL1;IL33,429.0,0.18423511318051133,1.0
402,IL1RAP;IL33,457.0,0.09208958195456876,1.0
403,TTR;RBP4,448.5,0.05503555991585648,0.9697706655740879
404,TTR;SERPINA1,429.0,0.43559621548852756,1.0
405,TTR;B2M,503.5,0.0141837745671226,0.5929493163379156
406,TTR;SERPINA7,409.5,1.0,1.0
407,KITLG;PDGFRA,452.0,0.4029497356704176,1.0
408,PDGFRA;PDGFC,430.5,0.5416895919561391,1.0
409,PDGFRA;PDGFA,416.5,0.8853461236268266,1.0
410,PDGFRA;PDGFB,399.0,0.8029949212244447,1.0
411,PDGFRA;PDGFD,401.0,0.7743271547953549,1.0
412,LIPE;FABP4,409.5,1.0,1.0
413,PSPN;RET,409.5,1.0,1.0
414,PSPN;GFRA1,409.5,1.0,1.0
415,PSPN;GFRA3,409.5,1.0,1.0
416,PSPN;GFRA4,409.5,1.0,1.0
417,PSPN;GFRA2,409.5,1.0,1.0
418,RET;GDF15,409.5,1.0,1.0
419,RET;CCDC6,379.0,0.5662560337397741,1.0
420,RET;GFRA3,409.5,1.0,1.0
421,RET;NRTN,409.5,1.0,1.0
422,RET;GFRA4,409.5,1.0,1.0
423,RET;GFRAL,409.5,1.0,1.0
424,RET;GFRA1,409.5,1.0,1.0
425,RET;GFRA2,409.5,1.0,1.0
426,RET;ARTN,409.5,1.0,1.0
427,RET;GDNF,409.5,1.0,1.0
428,RET;NCOA4,498.0,0.11434023697079396,1.0
429,GFRA1;NRTN,409.5,1.0,1.0
430,GFRA1;ARTN,409.5,1.0,1.0
431,GFRA1;GDNF,409.5,1.0,1.0
432,GFRA3;NRTN,409.5,1.0,1.0
433,GFRA3;ARTN,409.5,1.0,1.0
434,GFRA3;GDNF,409.5,1.0,1.0
435,GFRA4;NRTN,409.5,1.0,1.0
436,GFRA4;GDNF,409.5,1.0,1.0
437,GFRA4;ARTN,409.5,1.0,1.0
438,GFRA2;NRTN,409.5,1.0,1.0
439,GFRA2;ARTN,409.5,1.0,1.0
440,GFRA2;GDNF,409.5,1.0,1.0
441,NCAN;BCAN,409.5,1.0,1.0
442,NCAN;PTPRZ1,409.5,1.0,1.0
443,BCAN;PTPRZ1,409.5,1.0,1.0
444,GDF15;GFRAL,409.5,1.0,1.0
445,PDGFC;PDGFB,463.0,0.18609925850209597,1.0
446,PDGFC;PDGFA,451.5,0.38556413141536383,1.0
447,PDGFC;PDGFD,460.0,0.1645361913783091,1.0
448,PDGFA;PDGFB,506.5,0.04362873587620434,0.9201697021163098
449,PDGFA;PDGFD,452.0,0.36643198504430374,1.0
450,PDGFB;PDGFD,477.0,0.12387231693385467,1.0
451,CCDC6;NCOA4,517.0,0.07627680385991527,1.0
452,AMBP;ITIH2,399.0,0.6815545494467095,1.0
453,AMBP;ITIH1,409.5,1.0,1.0
454,HOMER1;SHANK1,468.0,0.017313209044554398,0.5929493163379156
455,HOMER1;DLGAP1,420.0,0.7464589110850044,1.0
456,HOMER1;SHANK3,464.5,0.10471804434123311,1.0
457,SHANK1;SHANK3,468.0,0.017313209044554398,0.5929493163379156
458,SHANK1;SHANK2,477.0,0.030296602677687242,0.7809790912470489
459,SHANK1;DLGAP1,382.0,0.38269436553334557,1.0
460,SHANK3;DLGAP1,382.0,0.38269436553334557,1.0
461,SHANK3;SHANK2,476.0,0.03285426829782569,0.8023358152732168
462,SHANK2;DLGAP1,411.5,0.9643837609871005,1.0
463,SHBG;SERPINA6,409.5,1.0,1.0
